=============================
Job ID:       599229
Array Task:   13
Node:         evc39
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=1/i=3 --discrete
Using device: cpu
Env: PCP | 1S + 3I | world=5.0 | max_steps=80

=== HetNet/MAHAC | r_comm=1.5 (PCP) | device=cpu ===
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6891 reward_min=-1.0674 reward_max=-0.3354
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6892 reward_min=-1.0654 reward_max=-0.3346
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6892 reward_min=-1.0629 reward_max=-0.3343
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8088 reward_min=-1.4050 reward_max=1.5220
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7286 reward_global_std=0.2839
[HetNet] iter=1/1500 steps=256/384000 | pi_s=0.0005 pi_i=0.0014 v=231.2945 ent_s=1.537 ent_i=1.555 ret=-57.899 ev_s_post=0.001 ev_i_post=0.002 r_s=0.999 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6688 reward_min=-1.0612 reward_max=-0.3710
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6688 reward_min=-1.0602 reward_max=-0.3704
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6687 reward_min=-1.0588 reward_max=-0.3705
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7468 reward_min=-1.4979 reward_max=1.5515
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6916 reward_global_std=0.3237
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6742 reward_min=-1.1285 reward_max=-0.3031
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6743 reward_min=-1.1267 reward_max=-0.3018
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6744 reward_min=-1.1252 reward_max=-0.3007
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8110 reward_min=-1.4711 reward_max=1.4401
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7251 reward_global_std=0.2911
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6685 reward_min=-1.0364 reward_max=1.5418
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6684 reward_min=-1.0370 reward_max=1.5412
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6683 reward_min=-1.0369 reward_max=1.5409
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7073 reward_min=-1.4685 reward_max=1.5900
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6636 reward_global_std=0.3860
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6764 reward_min=-1.1403 reward_max=-0.3311
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6764 reward_min=-1.1389 reward_max=-0.3325
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6763 reward_min=-1.1370 reward_max=-0.3340
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8071 reward_min=-1.4702 reward_max=1.5210
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7290 reward_global_std=0.2343
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6709 reward_min=-1.0339 reward_max=-0.3605
