iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-81.98736423254013,-0.8198736375570297,-81.98736423254013,-0.8198736375570297,0.0,81.98736423254013,0.8198736375570297,0.0,0.0,6.821053800582885,0.0,0.0,-63.31768584251404,-0.6331768584251404,-63.31768584251404,-0.6331768584251404,100.0,5.962521615028382,0.0,0.0,63.31768584251404,0.0,32,-0.004054069462418397,0.6432958722114563,1.6064013838768005,0.3015298515558243,0.07247068658471108,0.07247068658471108,0.2785972446203232,0.0031915049650706752,0.02319375015795231,-0.4494590759277344,1.0,0.01,0.0007,2,0.25,0.25,0.0,0.0,0.0,0.0,56.5
1,6400,-74.50954286754131,-0.7450953793525695,-74.50954286754131,-0.7450953793525695,0.0,74.50954286754131,0.7450953793525695,7.477821364998817,0.07477825820446016,5.56692298412323,0.0003125,4.758697501943109e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.003200149514945139,0.4442764401435852,1.5997186541557311,0.20294088125228882,0.05735026560723781,0.05735026560723781,0.35996354520320895,0.0029973305070601177,0.025706249894574283,0.1160057783126831,1.0,0.01,0.0006988942307692308,2,0.25,0.25,0.03125,0.0353125,0.0,0.0375,53.950625
2,9600,-81.18878838419914,-0.8118879157304764,-81.18878838419914,-0.8118879157304764,0.0,81.18878838419914,0.8118879157304764,0.7985758483409882,0.007985721826553327,5.593328733444213,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0029789539288962883,0.4348566889762878,1.596974754333496,0.19847964346408845,0.05024210959672928,0.05024210959672928,0.3120309352874756,0.0024992507474966494,0.016374999936670066,0.34156787395477295,1.0,0.01,0.0006977884615384615,2,0.25,0.25,0.0,0.1321875,0.0,0.1396875,47.65
3,12800,-73.81048348546028,-0.7381047970056533,-73.81048348546028,-0.7381047970056533,0.0,73.81048348546028,0.7381047970056533,8.17688074707985,0.08176884055137634,5.887303261756897,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.003564611283503538,0.337686288356781,1.5951858043670655,0.1493266761302948,0.07842392958700657,0.07842392958700657,0.2842946335673332,0.0034448418336982603,0.030749999947147444,0.35380810499191284,1.0,0.01,0.0006966826923076923,2,0.25,0.25,0.0,0.07875,0.0,0.0865625,50.415
4,16000,-76.29443156719208,-0.7629443150758743,-76.29443156719208,-0.7629443150758743,0.0,76.29443156719208,0.7629443150758743,5.692932665348053,0.05692932248115534,5.6136695718765255,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0028780598882121923,0.31199944019317627,1.5912581205368042,0.13720908164978027,0.05356501713395119,0.05356501713395119,0.28723749369382856,0.002909712746623372,0.026518750141258353,0.5043604969978333,1.0,0.01,0.0006955769230769231,2,0.25,0.25,0.0,0.040625,0.0,0.050625,51.580625
5,19200,-83.03625458478928,-0.8303624522686005,-83.03625458478928,-0.8303624522686005,0.0,83.03625458478928,0.8303624522686005,-1.0488903522491455,-0.010488814711570815,6.8910377311706545,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0027405004316941373,0.3653726875782013,1.5861655473709106,0.16408418565988542,0.059029459953308105,0.059029459953308105,0.319686459004879,0.003077609804313856,0.02729999996954575,0.3504455089569092,1.0,0.01,0.0006944711538461538,2,0.25,0.25,0.0,0.0096875,0.0,0.015625,53.9853125
6,22400,-73.36440896987915,-0.733644073009491,-73.36440896987915,-0.733644073009491,0.0,73.36440896987915,0.733644073009491,8.62295526266098,0.08622956454753872,6.271346573829651,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.00257845419845566,0.23501327335834504,1.582964050769806,0.09909854158759117,0.06185055710375309,0.06185055710375309,0.27906627058982847,0.002863298552984368,0.026518749445676802,0.6115657091140747,1.0,0.01,0.0006933653846153846,2,0.25,0.25,0.0,0.0240625,0.0,0.025625,54.820625
7,25600,-71.57810968160629,-0.7157811713218689,-71.57810968160629,-0.7157811713218689,0.0,71.57810968160629,0.7157811713218689,10.409254550933838,0.10409246623516077,6.102944378852844,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0020474070752039887,0.2113681599497795,1.5776659011840821,0.08786001577973365,0.049096445366740224,0.049096445366740224,0.27877677232027054,0.00225391025887849,0.015600000158883631,0.5653358697891235,1.0,0.01,0.0006922596153846154,2,0.25,0.25,0.0,0.0121875,0.0,0.0203125,53.7828125
8,28800,-68.11610612273216,-0.6811610972881317,-68.11610612273216,-0.6811610972881317,0.0,68.11610612273216,0.6811610972881317,13.871258109807968,0.138712540268898,5.1150586032867436,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0030228803562698304,0.27701023668050767,1.576379930973053,0.11971844136714935,0.0579799871891737,0.0579799871891737,0.29690752923488617,0.004026957094902683,0.046162499976344404,0.18599998950958252,1.0,0.01,0.0006911538461538461,2,0.25,0.25,0.0,0.1090625,0.0,0.12125,47.9115625
9,32000,-68.69969898462296,-0.6869969427585602,-68.69969898462296,-0.6869969427585602,0.0,68.69969898462296,0.6869969427585602,13.287665247917175,0.13287669479846953,4.923531498908996,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0018617387975332633,0.32761465609073637,1.5762127995491029,0.1461834579706192,0.05069375522434712,0.05069375522434712,0.28205074220895765,0.0031645144626969235,0.028975000220088986,0.18879419565200806,1.0,0.01,0.0006900480769230769,2,0.25,0.25,0.0,0.065625,0.0,0.0865625,47.829375
