iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-76.90765385329723,-0.7690765190124512,-76.90765385329723,-0.7690765190124512,0.0,76.90765385329723,0.7690765190124512,0.0,0.0,6.307735261917114,0.0,0.0,-34.79941588640213,-0.3479941588640213,-34.79941588640213,-0.3479941588640213,100.0,3.3799416959285735,0.0,0.0,34.79941588640213,0.0,32,-0.003390706135704846,0.6422163844108582,1.6046913027763368,0.3016705721616745,0.10219237953424454,0.10219237953424454,0.28998646810650824,0.0050904261064716,0.046474999748170376,-0.4486534595489502,1.0,0.01,0.0007,0,0.75,0.75,0.0,0.083125,0.0,0.0884375,50.20875
1,6400,-84.33580595254898,-0.8433580774068833,-84.33580595254898,-0.8433580774068833,0.0,84.33580595254898,0.8433580774068833,-7.428152099251747,-0.07428155839443207,6.05672616481781,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.001714813577965657,0.46706238090991975,1.6044596672058105,0.21577178090810775,0.06452374011278153,0.06452374011278153,0.32857499867677686,0.002810532526928218,0.018375000345986336,0.030572891235351562,1.0,0.01,0.0006988942307692308,0,0.75,0.75,0.0,0.055,0.0,0.07125,50.0140625
2,9600,-84.53460437059402,-0.8453460705280303,-84.53460437059402,-0.8453460705280303,0.0,84.53460437059402,0.8453460705280303,-7.626950517296791,-0.07626955151557913,6.8782785558700565,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0009006024614919284,0.3922426670789719,1.6043978214263916,0.17917675375938416,0.05320144556462765,0.05320144556462765,0.32219024896621706,0.0011113163311167358,0.0032625000225380064,0.32803022861480713,1.0,0.01,0.0006977884615384615,0,0.75,0.75,0.0,0.0034375,0.0,0.0084375,55.379375
3,12800,-80.98869341611862,-0.8098869180679321,-80.98869341611862,-0.8098869180679321,0.0,80.98869341611862,0.8098869180679321,-4.081039562821388,-0.040810399055480895,5.726777977943421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0006151999178428014,0.34162366986274717,1.6035253882408143,0.1541613832116127,0.048706956580281256,0.048706956580281256,0.3415703237056732,0.0009576550153726108,0.00026874999748542904,0.259735643863678,1.0,0.01,0.0006966826923076923,0,0.75,0.75,0.0,0.0434375,0.0,0.055,52.3509375
4,16000,-84.52927929162979,-0.8452927875518799,-84.52927929162979,-0.8452927875518799,0.0,84.52927929162979,0.8452927875518799,-7.621625438332558,-0.07621626853942864,6.2203442573547365,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0007063366065850118,0.3607780307531357,1.5987431287765503,0.16369524598121643,0.03342168666422367,0.03342168666422367,0.3225907787680626,0.0009585495736248488,0.00010624999849824235,0.38163965940475464,1.0,0.01,0.0006955769230769231,0,0.75,0.75,0.0,0.04375,0.0,0.055625,51.8646875
5,19200,-89.28866910934448,-0.8928866219520569,-89.28866910934448,-0.8928866219520569,0.0,89.28866910934448,0.8928866219520569,-12.381015256047249,-0.1238101029396057,6.923296346664428,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0009937441220564836,0.3640963822603226,1.5939133882522583,0.16511531174182892,0.04586820676922798,0.04586820676922798,0.32970442473888395,0.001149501447617047,0.00015625000232830644,0.3810804486274719,1.0,0.01,0.0006944711538461538,0,0.75,0.75,0.0,0.0209375,0.0,0.02875,53.435625
6,22400,-69.23873755335808,-0.6923873674869537,-69.23873755335808,-0.6923873674869537,0.0,69.23873755335808,0.6923873674869537,7.668916299939156,0.07668915152549749,5.771403317451477,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0010501777712867977,0.22797849774360657,1.5825366139411927,0.09711370542645455,0.042182574048638344,0.042182574048638344,0.27436156421899793,0.0021652245202861513,0.00011249999515712261,0.3799480199813843,1.0,0.01,0.0006933653846153846,0,0.75,0.75,0.0,0.098125,0.0,0.1103125,47.926875
7,25600,-71.52427287399769,-0.7152427583932877,-71.52427287399769,-0.7152427583932877,0.0,71.52427287399769,0.7152427583932877,5.383380979299545,0.05383376061916356,5.698224143981934,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0011953285810712088,0.21842256635427476,1.5712473511695861,0.09230348095297813,0.05177200771868229,0.05177200771868229,0.2580291010439396,0.0020705250164614005,0.0077749999240040776,0.4264529347419739,1.0,0.01,0.0006922596153846154,0,0.75,0.75,0.0,0.03125,0.0,0.03125,54.734375
8,28800,-62.78279656171799,-0.6278279894590377,-62.78279656171799,-0.6278279894590377,0.0,62.78279656171799,0.6278279894590377,14.124857291579247,0.1412485295534135,4.981997051239014,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0015488360068062423,0.16606910079717635,1.5768361568450928,0.06571735329926014,0.05294025503098965,0.05294025503098965,0.2620504304766655,0.003118851504405435,0.0212937495787628,0.48479872941970825,1.0,0.01,0.0006911538461538461,0,0.75,0.75,0.0,0.0625,0.0,0.07625,49.233125
9,32000,-74.84219315648079,-0.7484219348430634,-74.84219315648079,-0.7484219348430634,0.0,74.84219315648079,0.7484219348430634,2.0654606968164444,0.020654584169387813,5.514329562187195,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0014234171069110956,0.2712120398879051,1.581784760951996,0.11836475878953934,0.055319446697831155,0.055319446697831155,0.27543035298585894,0.0022050251565819087,0.014862499764421954,0.29160231351852417,1.0,0.01,0.0006900480769230769,0,0.75,0.75,0.0,0.0453125,0.0,0.05375,51.705
