iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-70.94470834732056,-0.7094471204280853,-70.94470834732056,-0.7094471204280853,0.0,70.94470834732056,0.7094471204280853,0.0,0.0,6.277164793014526,0.0,0.0,-33.222709722816944,-0.33222709722816945,-33.222709722816944,-0.33222709722816945,100.0,2.772710794210434,0.0,0.0,33.222709722816944,0.0,32,-0.0037442616869228116,0.6432628691196441,1.6054362297058105,0.30183281302452086,0.08719643577933311,0.08719643577933311,0.29684225618839266,0.004055185493780339,0.03683125041425228,-0.45799803733825684,1.0,0.01,0.0007,1,0.0,0.0,0.0,0.070625,0.0,0.09625,49.2021875
1,6400,-77.01642268896103,-0.7701642203330994,-77.01642268896103,-0.7701642203330994,0.0,77.01642268896103,0.7701642203330994,-6.071714341640472,-0.06071709990501406,5.706104493141174,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0031092773772776637,0.35854071378707886,1.6012697577476502,0.16017147302627563,0.06227782443165779,0.06227782443165779,0.27291263490915296,0.0024871828820326835,0.01533124988200143,0.25141215324401855,1.0,0.009985576923076923,0.0006988942307692308,1,0.0,0.0,0.0,0.0334375,0.0,0.039375,52.80375
2,9600,-78.96965342760086,-0.7896965962648391,-78.96965342760086,-0.7896965962648391,0.0,78.96965342760086,0.7896965962648391,-8.024945080280304,-0.08024947583675379,6.163006854057312,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0027941568588838008,0.46190446615219116,1.593048667907715,0.21227354407310486,0.05756934881210327,0.05756934881210327,0.34255004227161406,0.0036617491263318063,0.02873124983161688,0.2450597882270813,1.0,0.009971153846153847,0.0006977884615384615,1,0.0,0.0,0.0,0.0625,0.0,0.0625,52.96875
3,12800,-81.7543233036995,-0.8175432175397873,-81.7543233036995,-0.8175432175397873,0.0,81.7543233036995,0.8175432175397873,-10.809614956378937,-0.10809609711170198,6.260688610076905,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.003540468135802044,0.3933109760284424,1.5908016800880431,0.1772758349776268,0.07792567573487759,0.07792567573487759,0.297943140566349,0.0040625266206921005,0.04852500013075769,0.40883779525756836,1.0,0.00995673076923077,0.0006966826923076923,1,0.0,0.0,0.0,0.0071875,0.0,0.01,54.960625
4,16000,-90.9607880115509,-0.9096078509092331,-90.9607880115509,-0.9096078509092331,0.0,90.9607880115509,0.9096078509092331,-20.016079664230347,-0.2001607304811478,7.012148928642273,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0017551679064290227,0.3997856706380844,1.5890022397041321,0.1823393166065216,0.04666131772100925,0.04666131772100925,0.34386137276887896,0.0018344523690761716,0.010656250070314854,0.305550217628479,1.0,0.009942307692307693,0.0006955769230769231,1,0.0,0.0,0.0,0.0196875,0.0,0.0240625,54.003125
5,19200,-61.17936918139458,-0.6117936682701111,-61.17936918139458,-0.6117936682701111,0.0,61.17936918139458,0.6117936682701111,9.76533916592598,0.09765345215797427,4.519032835960388,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.002334436923195682,0.23289773762226104,1.5869184136390686,0.09835968837141991,0.049960196018218994,0.049960196018218994,0.2379796713590622,0.002605224311992528,0.023768749693408607,0.4566740393638611,1.0,0.009927884615384616,0.0006944711538461538,1,0.0,0.0,0.0,0.1640625,0.0,0.1909375,42.711875
6,22400,-69.05890494585037,-0.6905890721082687,-69.05890494585037,-0.6905890721082687,0.0,69.05890494585037,0.6905890721082687,1.8858034014701843,0.018858048319816634,5.1391682004928585,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.00271669211925456,0.2615038797259331,1.5769415378570557,0.11240230053663254,0.07635415121912956,0.07635415121912956,0.28491656482219696,0.0033377008134271384,0.038625000132014975,0.34173762798309326,1.0,0.00991346153846154,0.0006933653846153846,1,0.0,0.0,0.0,0.044375,0.0,0.06125,50.9790625
7,25600,-72.0389398932457,-0.7203893899917603,-72.0389398932457,-0.7203893899917603,0.0,72.0389398932457,0.7203893899917603,-1.0942315459251404,-0.010942269563674945,5.354307398796082,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0018242375144733813,0.3001928269863129,1.5753449559211732,0.1326777756214142,0.05179749019443989,0.05179749019443989,0.29710433036088946,0.0024025189952231866,0.019081250141607598,0.2607147693634033,1.0,0.009899038461538463,0.0006922596153846154,1,0.0,0.0,0.0,0.0546875,0.0,0.065625,49.30875
8,28800,-69.33985498547554,-0.6933985584974289,-69.33985498547554,-0.6933985584974289,0.0,69.33985498547554,0.6933985584974289,1.6048533618450165,0.016048561930656402,5.614182610511779,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.002330510804825536,0.3065603971481323,1.5671833157539368,0.13545868322253227,0.062063584476709364,0.062063584476709364,0.27343268543481825,0.00309148014639564,0.027149999688845128,0.33505505323410034,1.0,0.009884615384615384,0.0006911538461538461,1,0.0,0.0,0.0,0.1,0.0,0.1121875,48.490625
9,32000,-71.6777218580246,-0.7167772746086121,-71.6777218580246,-0.7167772746086121,0.0,71.6777218580246,0.7167772746086121,-0.7330135107040405,-0.007330154180526738,5.389785833358765,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.00253613749179058,0.2316124901175499,1.563624346256256,0.09783683568239213,0.061831970885396006,0.061831970885396006,0.2473975345492363,0.0031982084234193756,0.03236249967012554,0.43354856967926025,1.0,0.009870192307692307,0.0006900480769230769,1,0.0,0.0,0.0,0.01625,0.0,0.025,53.135625
10,35200,-66.56938514113426,-0.6656938755512237,-66.56938514113426,-0.6656938755512237,0.0,66.56938514113426,0.6656938755512237,4.3753232061862946,0.04375324487686161,5.529663033485413,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0023625631226225964,0.18999398797750472,1.5493521809577941,0.07736437320709229,0.06553987301886081,0.06553987301886081,0.25038075596094134,0.0035877382040787943,0.029200000140554037,0.5474050045013428,1.0,0.00985576923076923,0.0006889423076923077,1,0.0,0.0,0.0,0.06875,0.0,0.0796875,50.8671875
11,38400,-75.24676531553268,-0.7524676537513733,-75.24676531553268,-0.7524676537513733,0.0,75.24676531553268,0.7524676537513733,-4.302056968212128,-0.043020533323287924,5.490289311408997,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0020077298447262137,0.22960060089826584,1.5448975205421447,0.09758869931101799,0.05570812150835991,0.05570812150835991,0.24399877041578294,0.0025752535962974,0.02432499984279275,0.5722030401229858,1.0,0.009841346153846154,0.0006878365384615384,1,0.0,0.0,0.0,0.0528125,0.0,0.0571875,51.9746875
