iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-81.72239279747009,-0.8172239780426025,-81.72239279747009,-0.8172239780426025,0.0,81.72239279747009,0.8172239780426025,0.0,0.0,6.823572454452514,0.0,0.0,-83.70665907859802,-0.8370665907859802,-83.70665907859802,-0.8370665907859802,100.0,6.98208379983902,0.0,0.0,83.70665907859802,0.0,32,-0.0016506551909728274,0.5580744087696076,1.6075974822044372,0.26131057888269427,0.035961692407727244,0.035961692407727244,0.2771855488419533,0.0018699338979786477,0.00547499991953373,-0.2595306634902954,1.0,0.01,0.0007,2,0.0,0.0,0.0,0.0,0.0,0.0,56.5
1,6400,-76.05762648582458,-0.7605761629343033,-76.05762648582458,-0.7605761629343033,0.0,76.05762648582458,0.7605761629343033,5.664766311645508,0.05664781510829919,5.679395470619202,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.001255329356761692,0.42027204036712645,1.5990954518318177,0.19291280061006547,0.03551673032343387,0.03551673032343387,0.35618914663791656,0.0015091530221982047,0.003850000153761357,0.061730384826660156,1.0,0.009985576923076923,0.0006988942307692308,2,0.0,0.0,0.0,0.0234375,0.0,0.0303125,53.2675
2,9600,-82.4450615644455,-0.8244506466388702,-82.4450615644455,-0.8244506466388702,0.0,82.4450615644455,0.8244506466388702,-0.7226687669754028,-0.007226668596267749,5.795517249107361,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0008970393207331284,0.531652393937111,1.5887123107910157,0.2490878611803055,0.02890981025993824,0.02890981025993824,0.34098260998725893,0.0010632673052899254,0.00030624999199062585,0.09253466129302979,1.0,0.009971153846153847,0.0006977884615384615,2,0.0,0.0,0.0,0.1215625,0.0,0.1290625,48.521875
3,12800,-77.25387728214264,-0.772538760304451,-77.25387728214264,-0.772538760304451,0.0,77.25387728214264,0.772538760304451,4.468515515327454,0.044685217738151484,6.121199703216552,0.0009375,0.00013164916574050627,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0018630497447215788,0.3977444350719452,1.5765884280204774,0.1813115045428276,0.06355683133006096,0.06355683133006096,0.3195325076580048,0.0022249679699601977,0.019493750296533108,0.36783891916275024,1.0,0.00995673076923077,0.0006966826923076923,2,0.0,0.0,0.03125,0.0525,0.0,0.065,51.8209375
4,16000,-80.14548021554947,-0.801454810500145,-80.14548021554947,-0.801454810500145,0.0,80.14548021554947,0.801454810500145,1.5769125819206238,0.015769167542457496,5.8114347076416015,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0005362454710976294,0.35372903347015383,1.5722826600074769,0.1606961578130722,0.028259798139333724,0.028259798139333724,0.32299629896879195,0.0012481122299509214,0.0017062500526662916,0.3756601810455322,1.0,0.009942307692307693,0.0006955769230769231,2,0.0,0.0,0.0,0.0190625,0.0,0.0259375,53.724375
5,19200,-90.13504952192307,-0.9013505136966705,-90.13504952192307,-0.9013505136966705,0.0,90.13504952192307,0.9013505136966705,-8.412656724452972,-0.08412653565406802,7.3752405023574825,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0009896402913355472,0.4038649171590805,1.5789029240608214,0.1852676525712013,0.03429210316389799,0.03429210316389799,0.36648075878620145,0.0010806754333320216,0.0025187500403262677,0.2740035653114319,1.0,0.009927884615384616,0.0006944711538461538,2,0.0,0.0,0.0,0.0028125,0.0,0.005625,55.9328125
6,22400,-79.09612709283829,-0.7909612768888473,-79.09612709283829,-0.7909612768888473,0.0,79.09612709283829,0.7909612768888473,2.6262657046318054,0.026262701153755175,6.723551001548767,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0017913210482916498,0.28295738995075226,1.5704333782196045,0.12411894351243973,0.04394337572157383,0.04394337572157383,0.30849412381649016,0.0016489945130164798,0.0036749999846506396,0.5401948094367981,1.0,0.00991346153846154,0.0006933653846153846,2,0.0,0.0,0.0,0.063125,0.0,0.0653125,52.0465625
7,25600,-79.16161847114563,-0.7916161799430848,-79.16161847114563,-0.7916161799430848,0.0,79.16161847114563,0.7916161799430848,2.560774326324463,0.025607798099517742,6.670358891487122,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0012166510579932678,0.2563186287879944,1.5601894497871398,0.11149828806519509,0.04225000012665987,0.04225000012665987,0.3162952780723572,0.0025905669011995055,0.013875000085681677,0.5302966833114624,1.0,0.009899038461538463,0.0006922596153846154,2,0.0,0.0,0.0,0.0046875,0.0,0.01125,55.295
8,28800,-72.50085812807083,-0.7250086230039596,-72.50085812807083,-0.7250086230039596,0.0,72.50085812807083,0.7250086230039596,9.221534669399261,0.09221535503864287,5.406162075996399,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0007546277264701473,0.2874502629041672,1.5533995389938355,0.12761574536561965,0.031502767279744145,0.031502767279744145,0.3262334018945694,0.0006615453035925025,0.0,0.2505730390548706,1.0,0.009884615384615384,0.0006911538461538461,2,0.0,0.0,0.0,0.080625,0.0,0.091875,49.783125
9,32000,-74.03586775064468,-0.7403586798906326,-74.03586775064468,-0.7403586798906326,0.0,74.03586775064468,0.7403586798906326,7.686525046825409,0.07686529815196985,5.470628004074097,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.001373971331305812,0.3290066450834274,1.5636561274528504,0.14769576638936996,0.04476754255592823,0.04476754255592823,0.33160252273082735,0.002041889129760009,0.012431250419467688,0.19358158111572266,1.0,0.009870192307692307,0.0006900480769230769,2,0.0,0.0,0.0,0.0096875,0.0,0.02125,52.8196875
