iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-76.91588406264782,-0.7691588276624679,-76.91588406264782,-0.7691588276624679,0.0,76.91588406264782,0.7691588276624679,0.0,0.0,6.312493081092835,0.0,0.0,-92.57025492191315,-0.9257025492191314,-92.57025492191315,-0.9257025492191314,100.0,5.171504216194153,0.0,0.0,92.57025492191315,0.0,32,-0.002001699005090618,0.6970125794410705,1.607502555847168,0.33042956292629244,0.04169350489974022,0.04169350489974022,0.30309105962514876,0.0019504913041601152,0.003724999912083149,-0.5743600130081177,1.0,0.01,0.0007,0,0.0,0.0,0.0,0.084375,0.0,0.091875,50.0790625
1,6400,-84.64025682210922,-0.8464025843143463,-84.64025682210922,-0.8464025843143463,0.0,84.64025682210922,0.8464025843143463,-7.724372759461403,-0.07724375665187844,6.069079189300537,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.001138839752844234,0.5148269414901734,1.597670578956604,0.24032096266746522,0.042071552202105525,0.042071552202105525,0.35405592769384386,0.0017032063195076442,0.0013687499798834325,0.04945892095565796,1.0,0.009985576923076923,0.0006988942307692308,0,0.0,0.0,0.0,0.046875,0.0,0.0496875,53.0715625
2,9600,-87.73866879940033,-0.8773865824937821,-87.73866879940033,-0.8773865824937821,0.0,87.73866879940033,0.8773865824937821,-10.82278473675251,-0.1082277548313142,7.203218541145325,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0012712729391525456,0.4140723139047623,1.5878438472747802,0.18993224650621415,0.04358095377683639,0.04358095377683639,0.32172110229730605,0.0012906045325510635,0.0016437500715255737,0.2633057236671448,1.0,0.009971153846153847,0.0006977884615384615,0,0.0,0.0,0.0,0.0028125,0.0,0.0046875,55.508125
3,12800,-80.17423206567764,-0.8017422711849213,-80.17423206567764,-0.8017422711849213,0.0,80.17423206567764,0.8017422711849213,-3.2583480030298233,-0.03258344352245335,5.544327807426453,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.001704948013485108,0.3294997960329056,1.5805289506912232,0.14730804711580275,0.05274802520871162,0.05274802520871162,0.3331135705113411,0.0018366955777313284,0.009837499679997563,0.37810808420181274,1.0,0.00995673076923077,0.0006966826923076923,0,0.0,0.0,0.0,0.0740625,0.0,0.0771875,51.216875
4,16000,-82.0986699461937,-0.8209866183996201,-82.0986699461937,-0.8209866183996201,0.0,82.0986699461937,0.8209866183996201,-5.1827858835458755,-0.05182779073715216,6.130585131645202,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0010686905800426417,0.35332255363464354,1.5649741172790528,0.16003313213586806,0.033913475647568705,0.033913475647568705,0.3236985966563225,0.001161997561940067,0.002681249985471368,0.3116381764411926,1.0,0.009942307692307693,0.0006955769230769231,0,0.0,0.0,0.0,0.0265625,0.0,0.0384375,52.50125
5,19200,-88.71972888708115,-0.8871972304582596,-88.71972888708115,-0.8871972304582596,0.0,88.71972888708115,0.8871972304582596,-11.803844824433327,-0.1180384027957917,7.104337038993836,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0012108375470738508,0.3657542854547501,1.5658805966377258,0.16612042486667633,0.04866679236292839,0.04866679236292839,0.3435403361916542,0.0016853058248675098,0.010374999977648259,0.3473416566848755,1.0,0.009927884615384616,0.0006944711538461538,0,0.0,0.0,0.0,0.0178125,0.0,0.0225,53.9946875
6,22400,-68.37841618061066,-0.6837841564416886,-68.37841618061066,-0.6837841564416886,0.0,68.37841618061066,0.6837841564416886,8.537467882037163,0.08537467122077935,5.7122828483581545,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0014474950043309675,0.21502579152584075,1.5658161997795106,0.09054274186491966,0.05159791000187397,0.05159791000187397,0.26392565220594405,0.002064350514047434,0.010862499941140413,0.3901129961013794,1.0,0.00991346153846154,0.0006933653846153846,0,0.0,0.0,0.0,0.1134375,0.0,0.1240625,47.0596875
7,25600,-69.36053985357285,-0.6936054134368896,-69.36053985357285,-0.6936054134368896,0.0,69.36053985357285,0.6936054134368896,7.555344209074974,0.07555341422557826,5.646991047859192,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0009183458892453977,0.22582114040851592,1.5747275710105897,0.09640393555164337,0.0375682033598423,0.0375682033598423,0.2724290132522583,0.0013978864393725085,0.0018812499940395356,0.43176937103271484,1.0,0.009899038461538463,0.0006922596153846154,0,0.0,0.0,0.0,0.03125,0.0,0.03125,54.734375
8,28800,-61.90903490781784,-0.6190903431177139,-61.90903490781784,-0.6190903431177139,0.0,61.90903490781784,0.6190903431177139,15.006849154829979,0.15006848454475397,5.187338919639587,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0017328650228562558,0.1898820474743843,1.5761169791221619,0.07762884944677353,0.05142555013298988,0.05142555013298988,0.2652165949344635,0.0020688300002806906,0.014593749865889549,0.4135001301765442,1.0,0.009884615384615384,0.0006911538461538461,0,0.0,0.0,0.0,0.0840625,0.0,0.0934375,48.5703125
9,32000,-70.35010860860348,-0.7035011583566666,-70.35010860860348,-0.7035011583566666,0.0,70.35010860860348,0.7035011583566666,6.565775454044342,0.0656576693058013,5.401369495391846,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0007163170079788727,0.262231157720089,1.5710554838180542,0.1148926429450512,0.042408329993486406,0.042408329993486406,0.2798336520791054,0.0013012057195741899,0.006818749941885471,0.31365156173706055,1.0,0.009870192307692307,0.0006900480769230769,0,0.0,0.0,0.0,0.06875,0.0,0.07625,49.633125
10,35200,-65.69616881012917,-0.6569617003202438,-65.69616881012917,-0.6569617003202438,0.0,65.69616881012917,0.6569617003202438,11.219715252518654,0.11219712734222409,5.703316621780395,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0008727252746524528,0.2381460636854172,1.5722779393196107,0.10270429626107216,0.03623945601284504,0.03623945601284504,0.2798352465033531,0.0008551792649090747,0.0005437500192783773,0.42252904176712036,1.0,0.00985576923076923,0.0006889423076923077,0,0.0,0.0,0.0,0.1578125,0.0,0.1703125,44.138125
11,38400,-74.54496550559998,-0.745449668765068,-74.54496550559998,-0.745449668765068,0.0,74.54496550559998,0.745449668765068,2.370918557047844,0.023709158897399885,5.863168125152588,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.001287715924496169,0.2867661118507385,1.5672932386398315,0.12667106613516807,0.03956384845077991,0.03956384845077991,0.29012884944677353,0.0014696505742908686,0.005675000022165477,0.42428719997406006,1.0,0.009841346153846154,0.0006878365384615384,0,0.0,0.0,0.0,0.0884375,0.0,0.1003125,48.856875
12,41600,-71.59429544210434,-0.7159429234266281,-71.59429544210434,-0.7159429234266281,0.0,71.59429544210434,0.7159429234266281,5.32158862054348,0.05321590423583977,5.9447296667099,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0011672153186403022,0.27551124393939974,1.5592107772827148,0.12126616463065147,0.042342386394739154,0.042342386394739154,0.26665163934230807,0.001659764989381517,0.00932499987538904,0.11700725555419922,1.0,0.009826923076923077,0.0006867307692307692,0,0.0,0.0,0.0,0.1290625,0.0,0.1390625,46.641875
13,44800,-60.33245077729225,-0.6033245024085044,-60.33245077729225,-0.6033245024085044,0.0,60.33245077729225,0.6033245024085044,16.583433285355568,0.16583432525396347,4.286152975559235,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,-0.0007808055171407702,0.17552240043878556,1.544875693321228,0.07182130068540574,0.034280025586485866,0.034280025586485866,0.20644547045230865,0.0013526438207923457,0.0003624999895691872,0.3945803642272949,1.0,0.0098125,0.000685625,0,0.0,0.0,0.0,0.1259375,0.0,0.1375,45.6684375
14,48000,-73.9719967842102,-0.7397200095653534,-73.9719967842102,-0.7397200095653534,0.0,73.9719967842102,0.7397200095653534,2.9438872784376144,0.02943881809711446,5.829731254577637,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480,-0.0009162600771640328,0.23030661344528197,1.5360493540763855,0.09918671697378159,0.03351799640804529,0.03351799640804529,0.2885167062282562,0.0016332109589717078,0.0005562500096857548,0.433773398399353,1.0,0.009798076923076923,0.0006845192307692307,0,0.0,0.0,0.0,0.0771875,0.0,0.085625,50.418125
15,51200,-62.16464954614639,-0.6216465193033218,-62.16464954614639,-0.6216465193033218,0.0,62.16464954614639,0.6216465193033218,14.751234516501427,0.14751230835914608,5.66071355342865,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,512,-0.0013845029507532302,0.18895152509212493,1.5122400641441345,0.07829602733254433,0.033170460164546965,0.033170460164546965,0.22991461902856827,0.001793337945128427,0.0029812499968102204,0.4549667239189148,1.0,0.009783653846153846,0.0006834134615384615,0,0.0,0.0,0.0,0.0678125,0.0,0.08625,48.37125
16,54400,-53.88777197897434,-0.5388777577877044,-53.88777197897434,-0.5388777577877044,0.0,53.88777197897434,0.5388777577877044,23.028112083673477,0.2302810698747635,4.65240074634552,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,544,-0.0016867276348639492,0.10270271152257919,1.4841355562210083,0.035165765322744846,0.062223268672823906,0.062223268672823906,0.16550707817077637,0.003040071955184164,0.028650000353809445,0.5803991556167603,1.0,0.00976923076923077,0.0006823076923076923,0,0.0,0.0,0.0,0.13,0.0,0.1525,44.31875
17,57600,-51.526977360248566,-0.5152697910368442,-51.526977360248566,-0.5152697910368442,0.0,51.526977360248566,0.5152697910368442,25.388906702399254,0.2538890366256237,4.99804671049118,0.00625,0.001042005889862133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,576,-0.0007892028256144101,0.3925692528486252,1.4661596059799193,0.1811933159828186,0.03642640262842178,0.03642640262842178,0.2676155388355255,0.0018558233990923173,0.006493750172376167,0.21615415811538696,1.0,0.009754807692307693,0.000681201923076923,0,0.0,0.0,0.03125,0.174375,0.0,0.185,43.2878125
18,60800,-52.98138937354088,-0.5298138950765133,-52.98138937354088,-0.5298138950765133,0.0,52.98138937354088,0.5298138950765133,23.93449468910694,0.23934493258595457,4.554452617168426,0.0009375,0.00016878350840589633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,608,-0.0008189261354740295,0.14727993458509445,1.456750226020813,0.058631733804941175,0.03804145008325577,0.03804145008325577,0.22663572654128075,0.0018750111194101866,0.01153750013327226,0.45000606775283813,1.0,0.009740384615384616,0.0006800961538461538,0,0.0,0.0,0.03125,0.1971875,0.0,0.213125,41.5921875
19,64000,-50.44015008211136,-0.5044014930725098,-50.44015008211136,-0.5044014930725098,0.0,50.44015008211136,0.5044014930725098,26.47573398053646,0.2647573345899581,3.8784901690483093,0.001875,0.0003843402231075466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,640,-0.0017654547881102544,0.1642757311463356,1.4574137806892395,0.06619765944778919,0.06628178283572198,0.06628178283572198,0.18101910948753358,0.0020397142518057423,0.01579374999855645,0.18741536140441895,1.0,0.00972596153846154,0.0006789903846153847,0,0.0,0.0,0.03125,0.1840625,0.0,0.200625,40.7246875
20,67200,-60.154532581567764,-0.601545330286026,-60.154532581567764,-0.601545330286026,0.0,60.154532581567764,0.601545330286026,16.761351481080055,0.16761349737644193,4.9172065997123715,0.0,0.0,-30.443867325782776,-0.30443867325782775,-30.443867325782776,-0.30443867325782775,100.0,2.9443866726756096,0.0,0.0,30.443867325782776,62.12638759613037,672,-0.001094384811294713,0.19812993705272675,1.4773074865341187,0.08362365439534188,0.05231820046901703,0.05231820046901703,0.21362717896699907,0.002541852623836166,0.018793749809265136,0.32544487714767456,1.0,0.009711538461538462,0.0006778846153846154,0,0.0,0.0,0.0,0.1753125,0.0,0.19625,41.4328125
21,70400,-57.81731075048447,-0.5781730724871159,-57.81731075048447,-0.5781730724871159,0.0,57.81731075048447,0.5781730724871159,19.098573312163353,0.190985755175352,4.580617077350617,0.001875,0.00033598434976121874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,704,-0.0013695242537302478,0.19439731389284134,1.4683503746986388,0.08159037083387374,0.04487976506352424,0.04487976506352424,0.21977637112140655,0.0016082156711497986,0.004918750002980232,0.33187252283096313,1.0,0.009697115384615386,0.0006767788461538462,0,0.0,0.0,0.03125,0.173125,0.0,0.1803125,43.121875
22,73600,-59.182143330574036,-0.5918214252591133,-59.182143330574036,-0.5918214252591133,0.0,59.182143330574036,0.5918214252591133,17.733740732073784,0.1773374024033546,5.165700812339782,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,736,-0.001397888499347033,0.1499304324388504,1.4541066408157348,0.05948766022920608,0.05658925548195839,0.05658925548195839,0.2058895379304886,0.00309787666847189,0.024562500230968,0.2153700590133667,1.0,0.009682692307692307,0.000675673076923077,0,0.0,0.0,0.0,0.1903125,0.0,0.204375,40.7878125
23,76800,-56.913516879081726,-0.5691352155804634,-56.913516879081726,-0.5691352155804634,0.0,56.913516879081726,0.5691352155804634,20.002367183566093,0.20002361208200448,4.884987356662751,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,768,-0.0010206915667048122,0.12350197359919549,1.4354204535484314,0.046852264925837515,0.04435047283768654,0.04435047283768654,0.1628259003162384,0.002030187849596459,0.013706249929964543,0.3401549458503723,1.0,0.00966826923076923,0.0006745673076923077,0,0.0,0.0,0.0,0.1109375,0.0,0.1278125,44.8065625
24,80000,-56.19006896018982,-0.5619006931781769,-56.19006896018982,-0.5619006931781769,0.0,56.19006896018982,0.5619006931781769,20.725815102458,0.20725813448429098,4.544860818386078,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800,-0.0008352374382549988,0.1365576334297657,1.4430469155311585,0.05351262837648392,0.04051696434617043,0.04051696434617043,0.16554722487926482,0.00199767731683177,0.01294999994279351,0.231134295463562,1.0,0.009653846153846153,0.0006734615384615385,0,0.0,0.0,0.0,0.1403125,0.0,0.1646875,41.0234375
25,83200,-42.9350109398365,-0.4293501353263855,-42.9350109398365,-0.4293501353263855,0.0,42.9350109398365,0.4293501353263855,33.98087312281132,0.3398086923360824,3.5864241552352905,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,832,-0.0018696637480403399,0.09986390545964241,1.4524498581886292,0.03406151011586189,0.07713254988193512,0.07713254988193512,0.15564076080918313,0.0028156192031027097,0.028650000505149365,0.3159630298614502,1.0,0.009639423076923077,0.0006723557692307693,0,0.0,0.0,0.0,0.314375,0.0,0.3325,31.90375
26,86400,-45.415776416659355,-0.45415774673223497,-45.415776416659355,-0.45415774673223497,0.0,45.415776416659355,0.45415774673223497,31.500107645988464,0.31500108093023294,4.026092500686645,0.0015625,0.0003108776847593906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,864,-0.0009555136819486609,0.15568408221006394,1.4566864967346191,0.06286591999232768,0.041102539375424386,0.041102539375424386,0.18514814898371695,0.0020668304459839576,0.007131250004022149,0.1526305079460144,1.0,0.009625,0.00067125,0,0.0,0.0,0.03125,0.2903125,0.0,0.310625,33.274375
27,89600,-52.65377363562584,-0.5265377262234687,-52.65377363562584,-0.5265377262234687,0.0,52.65377363562584,0.5265377262234687,24.26211042702198,0.24262110143899918,4.552224934101105,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,896,-0.0008645210573944518,0.09570479169487953,1.4478386878967284,0.033073309995234015,0.039946002513170244,0.039946002513170244,0.14084380939602853,0.0019357472410782514,0.011399999808054418,0.3319808840751648,1.0,0.009610576923076923,0.0006701442307692308,0,0.0,0.0,0.0,0.13375,0.0,0.14625,44.28375
28,92800,-42.11506229639053,-0.42115060895681383,-42.11506229639053,-0.42115060895681383,0.0,42.11506229639053,0.42115060895681383,34.800821766257286,0.34800821870565407,3.697094979286194,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,928,-0.0016061125549254984,0.08776100128889083,1.459685754776001,0.028267018683254718,0.054394548386335374,0.054394548386335374,0.14331822991371154,0.0027153422342970344,0.019743750151246787,0.5194457173347473,1.0,0.009596153846153846,0.0006690384615384616,0,0.0,0.0,0.0,0.2703125,0.0,0.2934375,34.699375
29,96000,-62.8509016931057,-0.6285089913010597,-62.8509016931057,-0.6285089913010597,0.0,62.8509016931057,0.6285089913010597,14.064982369542122,0.14064983636140815,5.03070766210556,0.003125,0.0005181813105676123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,960,-0.0009854998114127156,0.335791876912117,1.460856032371521,0.15291290879249572,0.03917800076305866,0.03917800076305866,0.25627812296152114,0.0009385518154893399,0.00011249999515712261,0.11598241329193115,1.0,0.00958173076923077,0.0006679326923076923,0,0.0,0.0,0.03125,0.1728125,0.0,0.1884375,41.9240625
