cell,seed,r2_post,r2_raw,r2_ceil,branch
identity,0,0.1799,0.1092,0.9921,INTERMEDIATE
identity,1,0.1702,0.0887,0.9912,INTERMEDIATE
identity,2,0.2205,0.1038,0.9909,INTERMEDIATE
broadcast,0,0.8793,0.0877,0.9909,HIGH
broadcast,1,0.8628,0.0977,0.9913,HIGH
broadcast,2,0.847,0.0946,0.9914,HIGH
broadcast_zm,0,0.2459,0.1159,0.9916,INTERMEDIATE
broadcast_zm,1,0.2224,0.0943,0.9914,INTERMEDIATE
broadcast_zm,2,0.2193,0.0958,0.9915,INTERMEDIATE
attention,0,0.7625,0.1004,0.9917,HIGH
attention,1,0.7149,0.0957,0.9908,HIGH
attention,2,0.7956,0.0937,0.9909,HIGH
attention_zm,0,0.2194,0.0936,0.9916,INTERMEDIATE
attention_zm,1,0.2383,0.1109,0.9911,INTERMEDIATE
attention_zm,2,0.2066,0.095,0.9912,INTERMEDIATE
