iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-76.90765385329723,-0.7690765190124512,-76.90765385329723,-0.7690765190124512,0.0,76.90765385329723,0.7690765190124512,0.0,0.0,6.311557669639587,0.0,0.0,-73.56050096079707,-0.7356050096079707,-73.56050096079707,-0.7356050096079707,100.0,7.2560500594973565,0.0,0.0,73.56050096079707,0.0,32,-0.0033167733843903592,0.6414389133453369,1.6045300841331482,0.3013573855161667,0.10221591591835022,0.10221591591835022,0.2902248285710812,0.005054222317994602,0.035450000688433646,-0.44692790508270264,1.0,0.01,0.0007,0,0.0,0.0,0.0,0.083125,0.0,0.0884375,50.20875
1,6400,-84.15139600634575,-0.8415140068531036,-84.15139600634575,-0.8415140068531036,0.0,84.15139600634575,0.8415140068531036,-7.243742153048515,-0.0724374878406524,5.9892820501327515,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0014650227419217288,0.46964962482452394,1.6023330211639404,0.21733645647764205,0.056887342035770415,0.056887342035770415,0.3237490639090538,0.002591031904740043,0.014643750240793452,0.023953557014465332,1.0,0.01,0.0006988942307692308,0,0.0,0.0,0.0,0.0721875,0.0,0.0796875,50.8859375
2,9600,-83.70102381706238,-0.8370102053880691,-83.70102381706238,-0.8370102053880691,0.0,83.70102381706238,0.8370102053880691,-6.793369963765144,-0.06793368637561792,6.897349066734314,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0011185776480296284,0.3777990758419037,1.604461908340454,0.17173634022474288,0.05423583127558231,0.05423583127558231,0.3249190703034401,0.0008582393858889259,0.001575000025331974,0.3452070951461792,1.0,0.01,0.0006977884615384615,0,0.0,0.0,0.0,0.0021875,0.0,0.00375,55.5434375
3,12800,-78.49164718389511,-0.7849164646863938,-78.49164718389511,-0.7849164646863938,0.0,78.49164718389511,0.7849164646863938,-1.5839933305978775,-0.015839945673942535,5.678723130226135,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0014106264150353098,0.32565937340259554,1.597322702407837,0.14544583335518838,0.05349564924836159,0.05349564924836159,0.33515331000089643,0.001840220984741088,0.011793750058859586,0.2662680745124817,1.0,0.01,0.0006966826923076923,0,0.0,0.0,0.0,0.030625,0.0,0.0459375,52.600625
4,16000,-83.14904832839966,-0.8314904457330704,-83.14904832839966,-0.8314904457330704,0.0,83.14904832839966,0.8314904457330704,-6.241394475102425,-0.062413926720619184,6.2046118211746215,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0015589035269222506,0.3567322760820389,1.5789221048355102,0.16101801693439483,0.06739407889544964,0.06739407889544964,0.3089538007974625,0.0026037932955663,0.01840000073425472,0.3851768374443054,1.0,0.01,0.0006955769230769231,0,0.0,0.0,0.0,0.0209375,0.0,0.02875,53.6378125
5,19200,-87.81168109178543,-0.8781168740987778,-87.81168109178543,-0.8781168740987778,0.0,87.81168109178543,0.8781168740987778,-10.904027238488197,-0.10904035508632659,7.122929673194886,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.001822815243922804,0.3728865921497345,1.5657153964042663,0.16896332800388336,0.05581571161746979,0.05581571161746979,0.33104256093502044,0.0030221121123763465,0.026506249536760153,0.3158217668533325,1.0,0.01,0.0006944711538461538,0,0.0,0.0,0.0,0.03125,0.0,0.03875,53.00625
6,22400,-55.06159633398056,-0.5506160145998001,-55.06159633398056,-0.5506160145998001,0.0,55.06159633398056,0.5506160145998001,21.846057519316673,0.21846050441265108,5.773442101478577,0.013125,0.0019377149466052036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0018619961374323423,1.025891947746277,1.5519903779029847,0.49556408226490023,0.061901389807462695,0.061901389807462695,0.3830572307109833,0.0034747321617037705,0.03426875029690564,-0.0076798200607299805,1.0,0.01,0.0006933653846153846,0,0.0,0.0,0.03125,0.103125,0.0,0.1140625,47.6075
7,25600,-71.72974717617035,-0.7172974383831024,-71.72974717617035,-0.7172974383831024,0.0,71.72974717617035,0.7172974383831024,5.1779066771268845,0.05177908062934877,5.923105769157409,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.001569559470168258,0.18776241987943648,1.5588033080101014,0.07672361731529236,0.0729754202067852,0.0729754202067852,0.24376797527074814,0.004265133399167556,0.033775000087916854,0.4883427023887634,1.0,0.01,0.0006922596153846154,0,0.0,0.0,0.0,0.036875,0.0,0.036875,54.1859375
8,28800,-62.37659314274788,-0.6237660020589828,-62.37659314274788,-0.6237660020589828,0.0,62.37659314274788,0.6237660020589828,14.531060710549355,0.14531051695346842,5.085484805107117,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0022247315157670755,0.14095451533794404,1.5551823854446412,0.05270070284605026,0.06801602765917777,0.06801602765917777,0.23057297468185425,0.0027780464755783212,0.016968750115484,0.5604315996170044,1.0,0.01,0.0006911538461538461,0,0.0,0.0,0.0,0.110625,0.0,0.116875,47.535
9,32000,-72.74681729078293,-0.727468169927597,-72.74681729078293,-0.727468169927597,0.0,72.74681729078293,0.727468169927597,4.160836562514305,0.041608349084854224,5.664644298553466,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0018123229946709785,0.20441663265228271,1.554210364818573,0.08485388979315758,0.06516221798956394,0.06516221798956394,0.23363714814186096,0.0038435795344417185,0.04186250020284206,0.4019206762313843,1.0,0.01,0.0006900480769230769,0,0.0,0.0,0.0,0.019375,0.0,0.025625,54.000625
10,35200,-66.94500163197517,-0.6694500565528869,-66.94500163197517,-0.6694500565528869,0.0,66.94500163197517,0.6694500565528869,9.96265222132206,0.0996264624595643,5.685553951263428,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0012199368023374292,0.1930911973118782,1.5542457699775696,0.07978320419788361,0.048227560520172116,0.048227560520172116,0.24687289148569108,0.002019902954635213,0.0116812500404194,0.4875931739807129,1.0,0.01,0.0006889423076923077,0,0.0,0.0,0.0,0.135625,0.0,0.1525,44.4709375
