iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-81.72239279747009,-0.8172239780426025,-81.72239279747009,-0.8172239780426025,0.0,81.72239279747009,0.8172239780426025,0.0,0.0,6.823572454452514,0.0,0.0,-83.70665907859802,-0.8370665907859802,-83.70665907859802,-0.8370665907859802,100.0,6.98208379983902,0.0,0.0,83.70665907859802,0.0,32,-0.0016506551909728274,0.5580744087696076,1.6075974822044372,0.26131057888269427,0.035961692407727244,0.035961692407727244,0.2771855488419533,0.0018699338979786477,0.00547499991953373,-0.2595306634902954,1.0,0.01,0.0007,2,0.0,0.0,0.0,0.0,0.0,0.0,56.5
1,6400,-75.74512672424316,-0.7574511629343033,-75.74512672424316,-0.7574511629343033,0.0,75.74512672424316,0.7574511629343033,5.977266073226929,0.05977281510829924,5.679395470619202,0.0003125,4.6785671154612775e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0012608827285120582,0.4251742959022522,1.5991364955902099,0.19533489644527435,0.03539432119578123,0.03539432119578123,0.359040293097496,0.0015097056810193118,0.004206250188872218,0.05395674705505371,1.0,0.01,0.0006988942307692308,2,0.0,0.0,0.03125,0.0234375,0.0,0.0303125,53.2675
2,9600,-82.4425219297409,-0.824425236582756,-82.4425219297409,-0.824425236582756,0.0,82.4425219297409,0.824425236582756,-0.720129132270813,-0.007201258540153521,5.793735308647156,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0008977816154711604,0.5304939776659012,1.5887283444404603,0.24846192449331284,0.02882978543639183,0.02882978543639183,0.34047272354364394,0.0010873656396145949,0.00043750000186264514,0.09345448017120361,1.0,0.01,0.0006977884615384615,2,0.0,0.0,0.0,0.1215625,0.0,0.1290625,48.521875
3,12800,-75.38528245687485,-0.7538527879118919,-75.38528245687485,-0.7538527879118919,0.0,75.38528245687485,0.7538527879118919,6.337110340595245,0.06337119013071058,6.118639721870422,0.0028125,0.000395089526916108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0019983376544201793,0.4705334842205048,1.576183295249939,0.21750657260417938,0.061322315409779546,0.061322315409779546,0.3134919390082359,0.0022904705001568653,0.01721249967813492,0.2751407027244568,1.0,0.01,0.0006966826923076923,2,0.0,0.0,0.03125,0.0503125,0.0,0.0625,51.14
4,16000,-80.05594772100449,-0.8005594706535339,-80.05594772100449,-0.8005594706535339,0.0,80.05594772100449,0.8005594706535339,1.6664450764656067,0.01666450738906855,5.7704880857467655,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.00048744632033201893,0.3458549976348877,1.5694029927253723,0.1567460224032402,0.025134481117129327,0.025134481117129327,0.3209045216441154,0.001036602406020827,0.0003749999916180968,0.37750279903411865,1.0,0.01,0.0006955769230769231,2,0.0,0.0,0.0,0.02375,0.0,0.03375,53.1746875
5,19200,-89.65413564443588,-0.8965413707494736,-89.65413564443588,-0.8965413707494736,0.0,89.65413564443588,0.8965413707494736,-7.93174284696579,-0.0793173927068711,7.318334431648254,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0009614599394168977,0.38916557729244233,1.576058566570282,0.17786074578762054,0.03316695839166641,0.03316695839166641,0.35944334119558335,0.0011072051045634586,0.0034750000573694705,0.28115397691726685,1.0,0.01,0.0006944711538461538,2,0.0,0.0,0.0,0.0025,0.0,0.0053125,55.9603125
6,22400,-78.16192162036896,-0.7816191899776459,-78.16192162036896,-0.7816191899776459,0.0,78.16192162036896,0.7816191899776459,3.5604711771011353,0.035604788064956594,6.6720587682724,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0017958929543382852,0.276347228884697,1.5720725178718566,0.12065699771046638,0.04337825030088425,0.04337825030088425,0.30214670300483704,0.0017940093304791489,0.004656250000698492,0.5430107116699219,1.0,0.01,0.0006933653846153846,2,0.0,0.0,0.0,0.07,0.0,0.070625,51.826875
7,25600,-78.71531766653061,-0.7871531647443771,-78.71531766653061,-0.7871531647443771,0.0,78.71531766653061,0.7871531647443771,3.0070751309394836,0.030070813298225363,6.622582225799561,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.001264004950405706,0.24289899915456772,1.5655367016792296,0.10453012660145759,0.048844675347208974,0.048844675347208974,0.31051842123270035,0.002692190527887283,0.016318750008940695,0.5259062051773071,1.0,0.01,0.0006922596153846154,2,0.0,0.0,0.0,0.0046875,0.0,0.01125,55.295
8,28800,-72.85583031177521,-0.728558229804039,-72.85583031177521,-0.728558229804039,0.0,72.85583031177521,0.728558229804039,8.866562485694885,0.08866574823856355,5.439892959594727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0009090252125548481,0.2789463743567467,1.5683121919631957,0.12288103997707367,0.03638561367988587,0.03638561367988587,0.3256509378552437,0.0008600783487058908,5.6249997578561305e-05,0.25410258769989014,1.0,0.01,0.0006911538461538461,2,0.0,0.0,0.0,0.08,0.0,0.0878125,50.4340625
9,32000,-73.27754932641983,-0.7327755355834961,-73.27754932641983,-0.7327755355834961,0.0,73.27754932641983,0.7327755355834961,8.444843471050262,0.08444844245910643,5.495147395133972,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0009541952334023662,0.32292174696922304,1.576686441898346,0.14473981261253357,0.036999029107391834,0.036999029107391834,0.3213307663798332,0.0012807165880080614,0.0025124999636318536,0.2002805471420288,1.0,0.01,0.0006900480769230769,2,0.0,0.0,0.0,0.0253125,0.0,0.038125,52.90375
10,35200,-59.95521396398544,-0.5995521521568299,-59.95521396398544,-0.5995521521568299,0.0,59.95521396398544,0.5995521521568299,21.76717883348465,0.2176718258857726,6.395749297142029,0.0146875,0.00198593805845687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0018648490216583101,1.1015847444534301,1.5859856128692627,0.5330676734447479,0.06424580812454224,0.06424580812454224,0.4057081058621407,0.0017112206529422357,0.008750000037252903,0.12203937768936157,1.0,0.01,0.0006889423076923077,2,0.0,0.0,0.03125,0.033125,0.0,0.05375,52.1103125
11,38400,-82.663519769907,-0.8266351318359375,-82.663519769907,-0.8266351318359375,0.0,82.663519769907,0.8266351318359375,-0.9411269724369049,-0.009411153793335014,6.401046056747436,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0012722217587288309,0.28628327548503874,1.5776628971099853,0.1260927900671959,0.04362026806920767,0.04362026806920767,0.3044226855039597,0.001739630498559943,0.013406249787658453,0.5637727975845337,1.0,0.01,0.0006878365384615384,2,0.0,0.0,0.0,0.0359375,0.0,0.0440625,53.1828125
12,41600,-95.03168892860413,-0.9503168994188309,-95.03168892860413,-0.9503168994188309,0.0,95.03168892860413,0.9503168994188309,-13.309296131134033,-0.1330929213762284,8.254321780204773,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0016594844711249833,0.31525894701480867,1.5735611319541931,0.14023437723517418,0.03861019685864449,0.03861019685864449,0.3462780624628067,0.0024094257089022483,0.010700000124052167,0.3889020085334778,1.0,0.01,0.0006867307692307692,2,0.0,0.0,0.0,0.0446875,0.0,0.05375,51.61375
13,44800,-66.3220265507698,-0.6632202625274658,-66.3220265507698,-0.6632202625274658,0.0,66.3220265507698,0.6632202625274658,15.400366246700287,0.1540037155151367,6.105910692214966,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,-0.0012801715225737808,0.12513926178216933,1.5713532209396361,0.045575926452875136,0.03193958234041929,0.03193958234041929,0.20290090888738632,0.0009036708475837043,0.0021187500038649886,0.6066979169845581,1.0,0.01,0.000685625,2,0.0,0.0,0.0,0.0546875,0.0,0.0609375,52.2125
14,48000,-89.54328790307045,-0.8954328447580338,-89.54328790307045,-0.8954328447580338,0.0,89.54328790307045,0.8954328447580338,-7.820895105600357,-0.07820886671543126,6.98230284690857,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480,-0.0014738292227732153,0.28927106559276583,1.568495547771454,0.12747674956917762,0.04245304875075817,0.04245304875075817,0.2937357619404793,0.002144742821110822,0.009443749871570617,0.2878108024597168,1.0,0.01,0.0006845192307692307,2,0.0,0.0,0.0,0.0521875,0.0,0.0521875,53.2059375
15,51200,-66.63177251815796,-0.6663177302479744,-66.63177251815796,-0.6663177302479744,0.0,66.63177251815796,0.6663177302479744,15.090620279312134,0.15090624779462813,5.5712712955474855,0.0009375,0.0001426664579554377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,512,-0.0009127647582211296,0.09988684356212615,1.5508008480072022,0.033522648923099044,0.028022127225995064,0.028022127225995064,0.20741015970706939,0.0009825898239801346,4.3750001350417736e-05,0.4546321630477905,1.0,0.01,0.0006834134615384615,2,0.0,0.0,0.03125,0.0678125,0.0,0.0696875,52.07125
