iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-77.13015632331371,-0.7713015294075012,-77.13015632331371,-0.7713015294075012,0.0,77.13015632331371,0.7713015294075012,0.0,0.0,6.320284676551819,0.0,0.0,-30.54537134617567,-0.3054537134617567,-30.54537134617567,-0.3054537134617567,100.0,2.9545372036099433,0.0,0.0,30.54537134617567,0.0,32,-0.0019069335955890665,0.6166880071163178,1.6079374313354493,0.2903577029705048,0.03964784257113933,0.03964784257113933,0.2862368643283844,0.001564432690429407,0.0003749999916180968,-0.3970024585723877,1.0,0.01,0.0007,0,0.0,0.0,0.0,0.0825,0.0,0.08625,51.1196875
1,6400,-84.01430082321167,-0.8401429510116577,-84.01430082321167,-0.8401429510116577,0.0,84.01430082321167,0.8401429510116577,-6.884144499897957,-0.06884142160415652,6.073868932723999,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.000982568314145027,0.4738185077905655,1.598464834690094,0.21994203925132752,0.036333199217915536,0.036333199217915536,0.3157702460885048,0.0017879651968544074,0.00425000018440187,0.09399503469467163,1.0,0.01,0.0006988942307692308,0,0.0,0.0,0.0,0.05875,0.0,0.0646875,51.855625
2,9600,-86.37891280651093,-0.8637890648841858,-86.37891280651093,-0.8637890648841858,0.0,86.37891280651093,0.8637890648841858,-9.248756483197212,-0.09248753547668465,7.081635947227478,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.001571096670976857,0.40188207924366,1.588797664642334,0.18348196446895598,0.04912893660366535,0.04912893660366535,0.325690695643425,0.0015911137332298639,0.0031312501057982446,0.2484009861946106,1.0,0.01,0.0006977884615384615,0,0.0,0.0,0.0,0.0065625,0.0,0.01125,55.3021875
3,12800,-79.74472492933273,-0.7974472284317017,-79.74472492933273,-0.7974472284317017,0.0,79.74472492933273,0.7974472284317017,-2.61456860601902,-0.026145699024200497,5.470947666168213,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0016848734366710972,0.36452809572219846,1.5750622630119324,0.1648285508155823,0.05376825593411923,0.05376825593411923,0.3506569564342499,0.002300984093017537,0.0136312504298985,0.1727602481842041,1.0,0.01,0.0006966826923076923,0,0.0,0.0,0.0,0.0759375,0.0,0.0809375,50.88375
4,16000,-82.86965453624725,-0.8286965441703796,-82.86965453624725,-0.8286965441703796,0.0,82.86965453624725,0.8286965441703796,-5.73949821293354,-0.05739501476287845,6.220391654968262,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0010535223346320067,0.3673176020383835,1.5548891186714173,0.16705638617277146,0.030550107732415198,0.030550107732415198,0.33047484904527663,0.0009447353470027163,0.0028562500141561032,0.30012887716293335,1.0,0.01,0.0006955769230769231,0,0.0,0.0,0.0,0.0275,0.0,0.0328125,53.374375
5,19200,-89.89024955034256,-0.8989025068283081,-89.89024955034256,-0.8989025068283081,0.0,89.89024955034256,0.8989025068283081,-12.760093227028847,-0.1276009774208069,7.253461623191834,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0017667283756765072,0.3631708949804306,1.5597444295883178,0.16422127187252045,0.057380997389554975,0.057380997389554975,0.3267869770526886,0.0026148628814558193,0.01663750046864152,0.4038904905319214,1.0,0.01,0.0006944711538461538,0,0.0,0.0,0.0,0.0078125,0.0,0.014375,54.37125
6,22400,-69.1908837556839,-0.6919088786840439,-69.1908837556839,-0.6919088786840439,0.0,69.1908837556839,0.6919088786840439,7.939272567629814,0.07939265072345725,5.836488466262818,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0012882275925715446,0.20182832926511765,1.5615303277969361,0.0840106338262558,0.045510956272482875,0.045510956272482875,0.2721995458006859,0.002759190694633197,0.012312499852851034,0.47560960054397583,1.0,0.01,0.0006933653846153846,0,0.0,0.0,0.0,0.0815625,0.0,0.0971875,48.2165625
7,25600,-71.0906725525856,-0.7109067326784134,-71.0906725525856,-0.7109067326784134,0.0,71.0906725525856,0.7109067326784134,6.039483770728111,0.06039479672908776,5.776317763328552,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0010783939934569276,0.23009494543075562,1.5713448524475098,0.09825563207268714,0.04002749770879745,0.04002749770879745,0.28236022442579267,0.0015283541124522324,0.006325000058859586,0.46347880363464355,1.0,0.01,0.0006922596153846154,0,0.0,0.0,0.0,0.03125,0.0,0.03125,54.734375
8,28800,-64.12483167648315,-0.6412483876943589,-64.12483167648315,-0.6412483876943589,0.0,64.12483167648315,0.6412483876943589,13.005324646830559,0.1300531417131423,5.446921405792236,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0017264044665264322,0.1942583978176117,1.566094732284546,0.07974184826016426,0.06396348923444747,0.06396348923444747,0.25514935702085495,0.0021360259317593647,0.021656250115484,0.46702396869659424,1.0,0.01,0.0006911538461538461,0,0.0,0.0,0.0,0.0759375,0.0,0.083125,50.0196875
9,32000,-74.99272859096527,-0.749927276968956,-74.99272859096527,-0.749927276968956,0.0,74.99272859096527,0.749927276968956,2.137427732348442,0.021374252438545183,5.734654178619385,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0010340272586996768,0.3055324465036392,1.5659438133239747,0.13607275933027269,0.037504497542977334,0.037504497542977334,0.30473746061325074,0.0012181216221510975,0.002500000013969839,0.259243369102478,1.0,0.01,0.0006900480769230769,0,0.0,0.0,0.0,0.0534375,0.0,0.05375,52.79625
