iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-90.41407832503319,-0.9041407382488251,-90.41407832503319,-0.9041407382488251,0.0,90.41407832503319,0.9041407382488251,0.0,0.0,7.1162914419174195,0.0,0.0,-95.5414455384016,-0.955414455384016,-95.5414455384016,-0.955414455384016,100.0,5.690234760046005,0.0,0.0,95.5414455384016,0.0,32,-0.0034952223312572526,0.6960808455944061,1.6062389850616454,0.3284828156232834,0.07862242683768272,0.07862242683768272,0.29942957907915113,0.0032912328344537334,0.029118750151246785,-0.5617861747741699,1.0,0.01,0.0007,7,0.0,0.0,0.0,0.035625,0.0,0.03875,53.94125
1,6400,-96.5393534898758,-0.9653934854269027,-96.5393534898758,-0.9653934854269027,0.0,96.5393534898758,0.9653934854269027,-6.125275164842606,-0.061252747178077604,6.322854113578797,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.003534089960716358,0.4040074944496155,1.6002318263053894,0.18246733844280244,0.06534515917301179,0.06534515917301179,0.30726384818553926,0.0036429083746045816,0.032631249877158555,0.2666889429092407,1.0,0.01,0.0006988942307692308,7,0.0,0.0,0.0,0.0,0.0,0.0,56.5
2,9600,-78.02797815203667,-0.7802798169851303,-78.02797815203667,-0.7802798169851303,0.0,78.02797815203667,0.7802798169851303,12.386100172996521,0.12386092126369486,6.082773823738098,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0022617093358189067,0.30539880096912386,1.5968647241592406,0.13446904346346855,0.04311056360602379,0.04311056360602379,0.282499672472477,0.002504084062821122,0.01508750005159527,0.22309142351150513,1.0,0.01,0.0006977884615384615,7,0.0,0.0,0.0,0.0746875,0.0,0.08375,50.458125
3,12800,-81.06488531827927,-0.8106489044427871,-81.06488531827927,-0.8106489044427871,0.0,81.06488531827927,0.8106489044427871,9.349193006753922,0.09349183380603798,5.972435097694397,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0023593726579099914,0.29729737639427184,1.5944882035255432,0.13034443110227584,0.0463299922645092,0.0463299922645092,0.2718532085418701,0.002100770228571821,0.010425000125542283,0.39902156591415405,1.0,0.01,0.0006966826923076923,7,0.0,0.0,0.0,0.0621875,0.0,0.06875,52.2134375
4,16000,-68.77045086026192,-0.6877045315504074,-68.77045086026192,-0.6877045315504074,0.0,68.77045086026192,0.6877045315504074,21.64362746477127,0.21643620669841768,5.220690598487854,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.002066625146055756,0.27173323929309845,1.5869178771972656,0.11793081685900689,0.04332396201789379,0.04332396201789379,0.26746774166822435,0.0023282613321502386,0.01947499974630773,0.36291563510894775,1.0,0.01,0.0006955769230769231,7,0.0,0.0,0.0,0.0990625,0.0,0.1115625,48.4434375
5,19200,-78.44210529327393,-0.7844210875034332,-78.44210529327393,-0.7844210875034332,0.0,78.44210529327393,0.7844210875034332,11.971973031759262,0.11971965074539193,5.666116995811462,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0027365534411742942,0.29479518830776213,1.585063111782074,0.1288104087114334,0.055507839843630793,0.055507839843630793,0.3048903405666351,0.0026253951597031695,0.020681249964400194,0.4439019560813904,1.0,0.01,0.0006944711538461538,7,0.0,0.0,0.0,0.04125,0.0,0.0475,52.6415625
6,22400,-65.44942525029182,-0.6544942635297776,-65.44942525029182,-0.6544942635297776,0.0,65.44942525029182,0.6544942635297776,24.964653074741364,0.24964647471904755,5.291905546188355,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.002853923888446275,0.2004839152097702,1.579861295223236,0.08158942088484764,0.06923497430980205,0.06923497430980205,0.2708872646093369,0.0037815565105124805,0.04563749947119504,0.538933515548706,1.0,0.01,0.0006933653846153846,7,0.0,0.0,0.0,0.149375,0.0,0.166875,44.5171875
7,25600,-73.8952064216137,-0.7389520406723022,-73.8952064216137,-0.7389520406723022,0.0,73.8952064216137,0.7389520406723022,16.518871903419495,0.16518869757652288,5.214474573135376,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0020510857220273236,0.3324193686246872,1.5765942931175232,0.1483926519751549,0.055644840002059937,0.055644840002059937,0.3177101731300354,0.0034466976212575414,0.0302374996477738,0.2884819507598877,1.0,0.01,0.0006922596153846154,7,0.0,0.0,0.0,0.063125,0.0,0.06875,51.990625
8,28800,-64.68903794884682,-0.6468903505802155,-64.68903794884682,-0.6468903505802155,0.0,64.68903794884682,0.6468903505802155,25.72504037618637,0.25725038766860964,5.064002771377563,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.001727681875694742,0.14430749043822289,1.5659449696540833,0.054766613990068436,0.041932806745171546,0.041932806745171546,0.22185213416814803,0.0020019780895387316,0.015543749846983701,0.6390275359153748,1.0,0.01,0.0006911538461538461,7,0.0,0.0,0.0,0.0915625,0.0,0.0990625,49.7671875
9,32000,-78.19983583688736,-0.7819984197616577,-78.19983583688736,-0.7819984197616577,0.0,78.19983583688736,0.7819984197616577,12.214242488145828,0.12214231848716739,5.382172412872315,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0021642282101559827,0.2611864134669304,1.566805899143219,0.11276092082262039,0.04774779304862022,0.04774779304862022,0.3392983257770538,0.002836703715730095,0.02539375008782372,0.5513323545455933,1.0,0.01,0.0006900480769230769,7,0.0,0.0,0.0,0.0753125,0.0,0.081875,51.0725
10,35200,-43.41203063726425,-0.4341204053163528,-43.41203063726425,-0.4341204053163528,0.0,43.41203063726425,0.4341204053163528,47.002047687768936,0.4700203329324723,5.343569049835205,0.02625,0.0041380490688726615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0013047409722581448,1.7819926142692566,1.5574426293373107,0.8741171419620514,0.055692899972200394,0.055692899972200394,0.39535773545503616,0.0021063767046150123,0.013006250211037695,-0.0007768869400024414,1.0,0.01,0.0006889423076923077,7,0.0,0.0,0.03125,0.0990625,0.0,0.109375,49.5915625
11,38400,-67.50216183066368,-0.6750216311216355,-67.50216183066368,-0.6750216311216355,0.0,67.50216183066368,0.6750216311216355,22.911916494369507,0.22911910712718964,4.830380578041076,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0024967128020826125,0.1221726506948471,1.559424376487732,0.04299536868929863,0.06424816176295281,0.06424816176295281,0.1904368981719017,0.0036725452329853135,0.03746874989010394,0.5875537395477295,1.0,0.01,0.0006878365384615384,7,0.0,0.0,0.0,0.051875,0.0,0.0690625,49.4375
12,41600,-69.70168033242226,-0.6970168679952622,-69.70168033242226,-0.6970168679952622,0.0,69.70168033242226,0.6970168679952622,20.71239799261093,0.20712387025356294,5.737555646896363,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.003071223655296507,0.18446444422006608,1.5512335419654846,0.07364866361021996,0.06899122744798661,0.06899122744798661,0.23780648708343505,0.0036220907830290206,0.038393750134855506,0.5855770111083984,1.0,0.01,0.0006867307692307692,7,0.0,0.0,0.0,0.096875,0.0,0.1125,47.635
13,44800,-66.1689145565033,-0.6616891694068908,-66.1689145565033,-0.6616891694068908,0.0,66.1689145565033,0.6616891694068908,24.245163768529892,0.2424515688419343,5.556573596000671,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,-0.0017950174294877996,0.12935377806425094,1.5534742951393128,0.04734712801873684,0.0580135527998209,0.0580135527998209,0.20313557535409926,0.0025127910703310664,0.017062500031897798,0.6147198677062988,1.0,0.01,0.000685625,7,0.0,0.0,0.0,0.1003125,0.0,0.1190625,46.3821875
14,48000,-65.36434033513069,-0.6536433917284011,-65.36434033513069,-0.6536433917284011,0.0,65.36434033513069,0.6536433917284011,25.049737989902496,0.250497346520424,5.8594315719604495,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480,-0.002773730085510806,0.14389000609517097,1.5462244272232055,0.053709029033780095,0.06689542606472969,0.06689542606472969,0.2196771487593651,0.0028173698214238947,0.02777500052470714,0.5527922511100769,1.0,0.01,0.0006845192307692307,7,0.0,0.0,0.0,0.1578125,0.0,0.1690625,45.344375
15,51200,-68.80861365795135,-0.6880861473083496,-68.80861365795135,-0.6880861473083496,0.0,68.80861365795135,0.6880861473083496,21.605464667081833,0.21605459094047552,5.920756492614746,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,512,-0.002453233337658478,0.13628023043274878,1.5274160146713256,0.050412722304463385,0.05801262743771076,0.05801262743771076,0.21266595870256425,0.0036159833980499018,0.032525000750320034,0.5424990653991699,1.0,0.01,0.0006834134615384615,7,0.0,0.0,0.0,0.03125,0.0,0.0434375,51.878125
16,54400,-72.46730506420135,-0.7246730417013169,-72.46730506420135,-0.7246730417013169,0.0,72.46730506420135,0.7246730417013169,17.946773260831833,0.17946769654750827,5.82604871749878,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,544,-0.00293490896394939,0.15483847558498381,1.516372287273407,0.05932060591876507,0.0698963724076748,0.0698963724076748,0.21998813301324843,0.0038199652917691616,0.041200000641401856,0.3453556299209595,1.0,0.01,0.0006823076923076923,7,0.0,0.0,0.0,0.0215625,0.0,0.0325,52.5871875
