iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-90.34227260947227,-0.9034226655960083,-90.34227260947227,-0.9034226655960083,0.0,90.34227260947227,0.9034226655960083,0.0,0.0,7.108945784568786,0.0,0.0,-46.743383318185806,-0.46743383318185805,-46.743383318185806,-0.46743383318185805,100.0,3.5884861648082733,0.0,0.0,46.743383318185806,0.0,32,-0.0033854643412865927,0.6962536156177521,1.6044764280319215,0.32869658470153806,0.11150985956192017,0.11150985956192017,0.3003783136606216,0.004977813587174781,0.04750000014901161,-0.5626763105392456,1.0,0.01,0.0007,7,0.0,0.0,0.0,0.035625,0.0,0.03875,53.94125
1,6400,-96.08203518390656,-0.9608203589916229,-96.08203518390656,-0.9608203589916229,0.0,96.08203518390656,0.9608203589916229,-5.73976257443428,-0.057397693395614624,6.289107909202576,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0016213653701591113,0.4049739420413971,1.6029579520225525,0.18483602851629258,0.05547253750264645,0.05547253750264645,0.30564953237771986,0.002490856510121595,0.015256249718368054,0.25558680295944214,1.0,0.01,0.0006988942307692308,7,0.0,0.0,0.0,0.0,0.0,0.0,56.5
2,9600,-77.14632648229599,-0.771463286280632,-77.14632648229599,-0.771463286280632,0.0,77.14632648229599,0.771463286280632,13.195946127176285,0.13195937931537627,6.033120632171631,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0010288726232190015,0.3056111127138138,1.6008458018302918,0.13576822727918625,0.044288090988993646,0.044288090988993646,0.2765114188194275,0.0012409703522282512,0.003618750028545037,0.2251240611076355,1.0,0.01,0.0006977884615384615,7,0.0,0.0,0.0,0.0725,0.0,0.08625,50.379375
3,12800,-79.51921826601028,-0.7951921963691712,-79.51921826601028,-0.7951921963691712,0.0,79.51921826601028,0.7951921963691712,10.82305434346199,0.1082304692268371,5.9525054883956905,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.00179353352348528,0.2974389672279358,1.5905757427215577,0.1310201905667782,0.06987119428813457,0.06987119428813457,0.26900368481874465,0.002122698728999498,0.014312500157393515,0.3834288716316223,1.0,0.01,0.0006966826923076923,7,0.0,0.0,0.0,0.070625,0.0,0.0759375,51.138125
4,16000,-66.84308651089668,-0.6684309250116348,-66.84308651089668,-0.6684309250116348,0.0,66.84308651089668,0.6684309250116348,23.499186098575592,0.23499174058437344,5.174208626747132,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0011856824805785316,0.26377296447753906,1.5789858460426331,0.1149109423160553,0.05330906510353088,0.05330906510353088,0.25900052189826966,0.0019460085997710839,0.010437500127591193,0.36580944061279297,1.0,0.01,0.0006955769230769231,7,0.0,0.0,0.0,0.1134375,0.0,0.1240625,47.9075
5,19200,-78.58536887168884,-0.7858537566661835,-78.58536887168884,-0.7858537566661835,0.0,78.58536887168884,0.7858537566661835,11.756903737783432,0.11756890892982474,5.702944650650024,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0015426399799529644,0.307729098200798,1.5722939729690553,0.13659896850585937,0.05837065353989601,0.05837065353989601,0.30746990740299224,0.0022929771956118157,0.016150000353809445,0.43467003107070923,1.0,0.01,0.0006944711538461538,7,0.0,0.0,0.0,0.023125,0.0,0.030625,54.0496875
6,22400,-66.32056757807732,-0.663205634355545,-66.32056757807732,-0.663205634355545,0.0,66.32056757807732,0.663205634355545,24.02170503139496,0.24021703124046323,5.452509732246399,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.00098497095695933,0.20764678716659546,1.5666550755500794,0.08717187196016311,0.05253969021141529,0.05253969021141529,0.27422166913747786,0.0015430532344912341,0.006975000072270632,0.5491124391555786,1.0,0.01,0.0006933653846153846,7,0.0,0.0,0.0,0.1275,0.0,0.144375,46.734375
7,25600,-73.09262016415596,-0.7309261792898178,-73.09262016415596,-0.7309261792898178,0.0,73.09262016415596,0.7309261792898178,17.249652445316315,0.1724964863061904,5.21785159111023,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0011524806111003372,0.3410808652639389,1.5608866214752197,0.15377908945083618,0.047852322831749915,0.047852322831749915,0.3225293099880219,0.0018391390229230715,0.013774999929592014,0.2573755383491516,1.0,0.01,0.0006922596153846154,7,0.0,0.0,0.0,0.09625,0.0,0.1046875,49.0053125
8,28800,-61.33280989527702,-0.6133281189203262,-61.33280989527702,-0.6133281189203262,0.0,61.33280989527702,0.6133281189203262,29.00946271419525,0.290094546675682,4.857689657211304,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.001205117722385296,0.13137007355690003,1.5538968443870544,0.048940951377153395,0.055621009692549704,0.055621009692549704,0.21320895254611968,0.0019795390682707395,0.0067749999463558195,0.6486283540725708,1.0,0.01,0.0006911538461538461,7,0.0,0.0,0.0,0.120625,0.0,0.124375,47.8675
9,32000,-76.10134878754616,-0.7610135006904603,-76.10134878754616,-0.7610135006904603,0.0,76.10134878754616,0.7610135006904603,14.240923821926117,0.142409164905548,5.191235976219177,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0015200244602979751,0.2534641116857529,1.5640652537345887,0.10957138016819953,0.05200120583176613,0.05200120583176613,0.3238411694765091,0.0026095557652302233,0.012125000020023435,0.5524351596832275,1.0,0.01,0.0006900480769230769,7,0.0,0.0,0.0,0.0634375,0.0,0.0696875,51.61125
10,35200,-48.288724571466446,-0.48288733303546905,-48.288724571466446,-0.48288733303546905,0.0,48.288724571466446,0.48288733303546905,42.05354803800583,0.4205353325605392,5.155983324050903,0.0203125,0.003299635319127781,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0010936251487582815,1.2442092061042787,1.5603612065315247,0.6054073691368103,0.052578499913215636,0.052578499913215636,0.3844028890132904,0.003500675593386901,0.038693749823141846,0.03987908363342285,1.0,0.01,0.0006889423076923077,7,0.0,0.0,0.03125,0.12125,0.0,0.1278125,48.200625
11,38400,-64.88991975784302,-0.6488991945981979,-64.88991975784302,-0.6488991945981979,0.0,64.88991975784302,0.6488991945981979,25.452352851629257,0.25452347099781036,4.519535517692566,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0022325955255073637,0.14486889988183976,1.5645342707633971,0.0545565128326416,0.07590149641036988,0.07590149641036988,0.20780696719884872,0.003318318630045285,0.03253750051371753,0.5090765357017517,1.0,0.01,0.0006878365384615384,7,0.0,0.0,0.0,0.13625,0.0,0.1525,44.49875
12,41600,-70.56702244281769,-0.7056702226400375,-70.56702244281769,-0.7056702226400375,0.0,70.56702244281769,0.7056702226400375,19.775250166654587,0.19775244295597072,5.6959231662750245,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0009080853188526916,0.24081698805093765,1.5612758159637452,0.10388765260577201,0.0464754618704319,0.0464754618704319,0.2711287304759026,0.002451470519009049,0.009606249997159467,0.5246410369873047,1.0,0.01,0.0006867307692307692,7,0.0,0.0,0.0,0.1221875,0.0,0.13375,46.6634375
13,44800,-65.93811970949173,-0.6593811595439911,-65.93811970949173,-0.6593811595439911,0.0,65.93811970949173,0.6593811595439911,24.404152899980545,0.24404150605201713,5.268619427680969,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,-0.0010794481972347114,0.16295289844274521,1.5609564423561095,0.06478743627667427,0.04145257975906134,0.04145257975906134,0.22636037319898605,0.0016677973268092682,0.010231250105425716,0.5739754438400269,1.0,0.01,0.000685625,7,0.0,0.0,0.0,0.1353125,0.0,0.15125,45.3975
14,48000,-62.77367877960205,-0.6277367740869522,-62.77367877960205,-0.6277367740869522,0.0,62.77367877960205,0.6277367740869522,27.568593829870224,0.2756858915090561,5.539067506790161,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480,-0.001724872613511863,0.16171832233667374,1.5622740387916565,0.06351154930889606,0.06811876706779003,0.06811876706779003,0.22272607386112214,0.0022515622502401397,0.02204999979585409,0.5031951665878296,1.0,0.01,0.0006845192307692307,7,0.0,0.0,0.0,0.148125,0.0,0.1534375,46.625625
15,51200,-70.1638668179512,-0.7016386836767197,-70.1638668179512,-0.7016386836767197,0.0,70.1638668179512,0.7016386836767197,20.178405791521072,0.2017839819192886,5.906905708312988,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,512,-0.0016470214467204868,0.1580838680267334,1.5601391315460205,0.06179352141916752,0.05535121001303196,0.05535121001303196,0.23524808883666992,0.0018838041090934944,0.009431249788030982,0.5209896564483643,1.0,0.01,0.0006834134615384615,7,0.0,0.0,0.0,0.05625,0.0,0.0646875,51.133125
16,54400,-66.08903002738953,-0.6608903181552886,-66.08903002738953,-0.6608903181552886,0.0,66.08903002738953,0.6608903181552886,24.25324258208275,0.2425323474407196,5.4615089893341064,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,544,-0.0015851640577078997,0.14304278194904327,1.540157949924469,0.054534648358821866,0.06197663508355618,0.06197663508355618,0.21098123490810394,0.002630346894875949,0.014893750171177089,0.3656516671180725,1.0,0.01,0.0006823076923076923,7,0.0,0.0,0.0,0.09375,0.0,0.1021875,48.2328125
17,57600,-58.209051460027695,-0.5820904564857483,-58.209051460027695,-0.5820904564857483,0.0,58.209051460027695,0.5820904564857483,32.13322114944458,0.32133220911025995,4.647091169357299,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,576,-0.0014146606032735321,0.1075913667678833,1.5366602659225463,0.037014419585466383,0.04917113427072763,0.04917113427072763,0.17728362530469893,0.003462078787561618,0.029837499756831677,0.5871194005012512,1.0,0.01,0.000681201923076923,7,0.0,0.0,0.0,0.14,0.0,0.15125,45.4725
