iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-86.17846035957336,-0.8617846816778183,-86.17846035957336,-0.8617846816778183,0.0,86.17846035957336,0.8617846816778183,0.0,0.0,6.170991716384887,0.0,0.0,-108.20892560482025,-1.0820892560482025,-108.20892560482025,-1.0820892560482025,100.0,8.083937373161316,0.0,0.0,108.20892560482025,0.0,32,-0.0015787773284827722,0.6265775740146637,1.6079035520553588,0.29563096463680266,0.03040835652500391,0.03040835652500391,0.29365074932575225,0.0015655408056773248,0.0013312499970197678,-0.4196147918701172,1.0,0.01,0.0007,4,0.0,0.0,0.0,0.0609375,0.0,0.069375,51.685625
1,6400,-71.98625525832176,-0.7198625910282135,-71.98625525832176,-0.7198625910282135,0.0,71.98625525832176,0.7198625910282135,14.192205101251602,0.14192209064960482,5.967937254905701,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0018921498694805194,0.38555518388748167,1.6004441142082215,0.17488100230693818,0.04407925046980381,0.04407925046980381,0.29648114144802096,0.0017935173425941836,0.003268750011920929,0.3004853129386902,1.0,0.01,0.0006988942307692308,4,0.0,0.0,0.0,0.043125,0.0,0.050625,53.089375
2,9600,-74.87464112043381,-0.7487464451789856,-74.87464112043381,-0.7487464451789856,0.0,74.87464112043381,0.7487464451789856,11.303819239139557,0.11303823649883271,6.017702317237854,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0014490420957798734,0.46362005174160004,1.5844836950302124,0.21451614648103715,0.03906073980033398,0.03906073980033398,0.3334380447864532,0.0028835050965429323,0.015649999864399432,0.3025510311126709,1.0,0.01,0.0006977884615384615,4,0.0,0.0,0.0,0.11375,0.0,0.131875,47.0696875
3,12800,-59.481449499726295,-0.5948145458102226,-59.481449499726295,-0.5948145458102226,0.0,59.481449499726295,0.5948145458102226,26.69701085984707,0.26697013586759566,5.578740048408508,0.0146875,0.002232570354190103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0012373286168557486,1.1585046768188476,1.5690344333648683,0.5623246669769287,0.046176426112651825,0.046176426112651825,0.36366256028413774,0.0015826413087783532,0.011368749849498271,0.007269799709320068,1.0,0.01,0.0006966826923076923,4,0.0,0.0,0.03125,0.1065625,0.0,0.115625,49.2896875
4,16000,-84.6810852587223,-0.8468108212947846,-84.6810852587223,-0.8468108212947846,0.0,84.6810852587223,0.8468108212947846,1.497375100851059,0.014973860383033721,6.532567930221558,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0007045931596440624,0.287540066242218,1.566838002204895,0.12739706113934518,0.033283653855323794,0.033283653855323794,0.27973438799381256,0.0010541965832094314,0.00034374999813735485,0.4305024743080139,1.0,0.01,0.0006955769230769231,4,0.0,0.0,0.0,0.0303125,0.0,0.035,54.238125
5,19200,-73.5978656411171,-0.7359787034988403,-73.5978656411171,-0.7359787034988403,0.0,73.5978656411171,0.7359787034988403,12.580594718456268,0.12580597817897798,5.466410784721375,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0017006481095918958,0.20905406922101974,1.571478044986725,0.0871116079390049,0.05053335800766945,0.05053335800766945,0.22552643120288848,0.00214208808938605,0.012549999821931123,0.4683935046195984,1.0,0.01,0.0006944711538461538,4,0.0,0.0,0.0,0.0909375,0.0,0.0975,50.7134375
6,22400,-76.79425337910652,-0.7679425835609436,-76.79425337910652,-0.7679425835609436,0.0,76.79425337910652,0.7679425835609436,9.384206980466843,0.09384209811687472,5.929419150352478,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.001286115687544509,0.23506763577461243,1.5702281832695006,0.10054542049765587,0.037999919056892394,0.037999919056892394,0.2732181802392006,0.001632253091520801,0.004087500052264659,0.41952598094940186,1.0,0.01,0.0006933653846153846,4,0.0,0.0,0.0,0.0596875,0.0,0.06875,51.644375
7,25600,-67.95328933000565,-0.6795328879356384,-67.95328933000565,-0.6795328879356384,0.0,67.95328933000565,0.6795328879356384,18.22517102956772,0.18225179374217992,6.0832668924331665,0.0034375,0.00048529866969606553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.001277454825455493,0.2747629821300507,1.557600748538971,0.12052802667021752,0.03505474124103784,0.03505474124103784,0.27907305806875227,0.0021214119682558532,0.007237499926122837,0.2609686255455017,1.0,0.01,0.0006922596153846154,4,0.0,0.0,0.03125,0.0675,0.0,0.0771875,51.0059375
8,28800,-78.72256168723106,-0.7872255778312683,-78.72256168723106,-0.7872255778312683,0.0,78.72256168723106,0.7872255778312683,7.4558986723423,0.07455910384654996,5.968637957572937,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0014724252807063465,0.2691892087459564,1.5379179120063782,0.11774300187826156,0.0455651018768549,0.0455651018768549,0.2843885153532028,0.000982438029678226,0.001000000024214387,0.4671160578727722,1.0,0.01,0.0006911538461538461,4,0.0,0.0,0.0,0.0575,0.0,0.06875,51.0140625
9,32000,-67.45862400531769,-0.6745862954854965,-67.45862400531769,-0.6745862954854965,0.0,67.45862400531769,0.6745862954854965,18.719836354255676,0.18719838619232176,5.346794657707214,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.001561445789295135,0.15674543380737305,1.523498809337616,0.06157628297805786,0.03777092583477497,0.03777092583477497,0.20282364934682845,0.0023368312380631405,0.011543750061537138,0.570436954498291,1.0,0.01,0.0006900480769230769,4,0.0,0.0,0.0,0.0953125,0.0,0.1184375,47.726875
