iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
0,3200,-66.92481848597527,-0.6692481774091721,-66.92481848597527,-0.6692481774091721,0.0,66.92481848597527,0.6692481774091721,0.0,0.0,5.4467571306228635,0.0,0.0,-62.04733907431364,-0.6204733907431365,-62.04733907431364,-0.6204733907431365,100.0,5.7107558780908585,0.0,0.0,62.04733907431364,0.0,32,-0.0018739199350591208,0.647754555940628,1.607975435256958,0.3059236079454422,0.037534932419657704,0.037534932419657704,0.29832870364189146,0.0014378921539901245,0.000800000037997961,-0.4614429473876953,1.0,0.01,0.0007,3,0.0,0.0,0.0,0.076875,0.0,0.088125,51.1134375
1,6400,-71.16057866811752,-0.7116057783365249,-71.16057866811752,-0.7116057783365249,0.0,71.16057866811752,0.7116057783365249,-4.235760182142258,-0.042357600927352856,5.889935851097107,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0008456171624886544,0.44160306453704834,1.6000799417495728,0.2039551168680191,0.034823255985975264,0.034823255985975264,0.30118759870529177,0.00108911328970881,0.0,0.12424033880233765,1.0,0.01,0.0006988942307692308,3,0.0,0.0,0.0,0.0603125,0.0,0.06875,51.4596875
2,9600,-80.65551900863647,-0.8065552073717117,-80.65551900863647,-0.8065552073717117,0.0,80.65551900863647,0.8065552073717117,-13.730700522661209,-0.13730702996253963,6.124743824005127,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0005784241071246754,0.47414819002151487,1.590700101852417,0.22058867067098617,0.026315886154770853,0.026315886154770853,0.3563795119524002,0.0009863454419249136,0.0,0.3649865388870239,1.0,0.01,0.0006977884615384615,3,0.0,0.0,0.0,0.065625,0.0,0.07875,49.92375
3,12800,-72.91232745349407,-0.7291232830286026,-72.91232745349407,-0.7291232830286026,0.0,72.91232745349407,0.7291232830286026,-5.9875089675188065,-0.059875105619430546,5.418445658683777,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0013014314742292755,0.37066529095172884,1.5808356642723083,0.16822285801172257,0.041290034726262095,0.041290034726262095,0.3155357077717781,0.0016098788208185875,0.00764999995008111,0.33705848455429077,1.0,0.01,0.0006966826923076923,3,0.0,0.0,0.0,0.07375,0.0,0.0809375,50.8003125
4,16000,-73.7364316880703,-0.7373643457889557,-73.7364316880703,-0.7373643457889557,0.0,73.7364316880703,0.7373643457889557,-6.811613202095032,-0.06811616837978363,5.938871893882752,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0016351325715309173,0.38549886345863343,1.553449320793152,0.17557980716228486,0.053746314719319344,0.053746314719319344,0.33087157607078554,0.002203307153832145,0.015806250181049107,0.41493552923202515,1.0,0.01,0.0006955769230769231,3,0.0,0.0,0.0,0.0684375,0.0,0.0796875,50.0815625
5,19200,-74.03479713201523,-0.740347980260849,-74.03479713201523,-0.740347980260849,0.0,74.03479713201523,0.740347980260849,-7.109978646039963,-0.07109980285167694,6.225199418067932,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0009526779419349651,0.3108856022357941,1.5396169662475585,0.13909395262598992,0.04088555462658405,0.04088555462658405,0.29698878079652785,0.00162631983475926,0.0010187500156462193,0.49508732557296753,1.0,0.01,0.0006944711538461538,3,0.0,0.0,0.0,0.0515625,0.0,0.0603125,50.7871875
6,22400,-79.47632029652596,-0.7947632336616516,-79.47632029652596,-0.7947632336616516,0.0,79.47632029652596,0.7947632336616516,-12.55150181055069,-0.1255150562524795,5.24705620765686,0.00375,0.000600282737236095,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0010358557003782743,0.5220908194780349,1.527638304233551,0.24473317414522172,0.03469861578196287,0.03469861578196287,0.3893238440155983,0.002368891294464046,0.015768750011920928,0.2469344139099121,1.0,0.01,0.0006933653846153846,3,0.0,0.0,0.0625,0.05,0.0,0.0603125,51.4765625
7,25600,-64.42408302426338,-0.6442408049106598,-64.42408302426338,-0.6442408049106598,0.0,64.42408302426338,0.6442408049106598,2.5007354617118835,0.02500737249851226,5.553314671516419,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0008510233825187897,0.21617921441793442,1.5191370606422425,0.09204721227288246,0.0295177660882473,0.0295177660882473,0.24079979956150055,0.0012323001814371355,0.0014937499843654222,0.48305338621139526,1.0,0.01,0.0006922596153846154,3,0.0,0.0,0.0,0.069375,0.0,0.074375,50.1025
8,28800,-73.45667797327042,-0.7345668554306031,-73.45667797327042,-0.7345668554306031,0.0,73.45667797327042,0.7345668554306031,-6.531859487295151,-0.06531867802143099,5.83987717628479,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.001368105260416641,0.31026090681552887,1.4973063230514527,0.13878928497433662,0.04347415417432785,0.04347415417432785,0.2845926687121391,0.0014806652707199243,0.00400000000372529,0.2920147180557251,1.0,0.01,0.0006911538461538461,3,0.0,0.0,0.0,0.104375,0.0,0.115,47.7303125
9,32000,-53.369994074106216,-0.5336999121308327,-53.369994074106216,-0.5336999121308327,0.0,53.369994074106216,0.5336999121308327,13.554824411869049,0.1355482652783394,4.595356872081757,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.00078377776353733,0.12862731888890266,1.5251038908958434,0.04827884361147881,0.03981658928096295,0.03981658928096295,0.18891189247369766,0.00208082064855321,0.007287500007078051,0.523261308670044,1.0,0.01,0.0006900480769230769,3,0.0,0.0,0.0,0.07375,0.0,0.0909375,49.0703125
10,35200,-60.50419019162655,-0.6050418978929519,-60.50419019162655,-0.6050418978929519,0.0,60.50419019162655,0.6050418978929519,6.420628294348717,0.06420627951622015,5.069637751579284,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0007951591528723156,0.199596506357193,1.5281023025512694,0.08372207209467888,0.036149412393569946,0.036149412393569946,0.22228172570466995,0.0011889914960198677,0.0005187499802559615,0.39083170890808105,1.0,0.01,0.0006889423076923077,3,0.0,0.0,0.0,0.1140625,0.0,0.1296875,47.0496875
11,38400,-66.32013034820557,-0.6632012957334519,-66.32013034820557,-0.6632012957334519,0.0,66.32013034820557,0.6632012957334519,0.6046881377696991,0.006046881675720206,5.937528409957886,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0018178047777389849,0.24528133869171143,1.5025853753089904,0.10579701364040375,0.06745630577206611,0.06745630577206611,0.25068651884794235,0.0026047478175320704,0.02962500061839819,0.44518136978149414,1.0,0.01,0.0006878365384615384,3,0.0,0.0,0.0,0.14125,0.0,0.15375,44.5875
12,41600,-54.709648340940475,-0.5470964989066124,-54.709648340940475,-0.5470964989066124,0.0,54.709648340940475,0.5470964989066124,12.21517014503479,0.1221516785025597,4.929783954620361,0.0021875,0.00036890045518362383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.00225178681442042,0.25326061695814134,1.5211267709732055,0.10916725397109986,0.06779559627175331,0.06779559627175331,0.244991497695446,0.004068324991386062,0.04883125127526,0.39702242612838745,1.0,0.01,0.0006867307692307692,3,0.0,0.0,0.03125,0.2165625,0.0,0.2278125,40.2059375
13,44800,-59.06431823968887,-0.5906431806087494,-59.06431823968887,-0.5906431806087494,0.0,59.06431823968887,0.5906431806087494,7.860500246286392,0.07860499680042266,5.101078519821167,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,-0.00073526034832323,0.2507632777094841,1.4981911540031434,0.1096644677221775,0.036121326871216296,0.036121326871216296,0.2347198024392128,0.0009049441076064632,0.0006437500007450581,0.25806725025177,1.0,0.01,0.000685625,3,0.0,0.0,0.0,0.2303125,0.0,0.2440625,38.1625
14,48000,-57.722449868917465,-0.5772245174646378,-57.722449868917465,-0.5772245174646378,0.0,57.722449868917465,0.5772245174646378,9.2023686170578,0.09202365994453432,4.389218862056732,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480,-0.0010727382744779134,0.17102719396352767,1.4833690881729127,0.06960716843605042,0.03848973624408245,0.03848973624408245,0.22775888442993164,0.0017753045773140279,0.008275000005960464,0.5593234300613403,1.0,0.01,0.0006845192307692307,3,0.0,0.0,0.0,0.1403125,0.0,0.149375,46.2871875
15,51200,-67.87258666753769,-0.6787258440256119,-67.87258666753769,-0.6787258440256119,0.0,67.87258666753769,0.6787258440256119,-0.9477681815624237,-0.009477666616439784,5.925821166038514,0.003125,0.00045121003345043953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,512,-0.0017229520773748065,0.30537385642528536,1.4718163847923278,0.13624581471085548,0.05242405645549297,0.05242405645549297,0.2811112806200981,0.0029145438064012716,0.023718749545514582,0.44442659616470337,1.0,0.01,0.0006834134615384615,3,0.0,0.0,0.03125,0.07,0.0,0.0846875,50.159375
