cell,seed,r2_post,r2_raw,r2_ceil,branch
attention,0,0.7796,0.0947,0.9914,HIGH
attention,1,0.7487,0.0965,0.9911,HIGH
attention,2,0.7266,0.091,0.9916,HIGH
attention,3,0.792,0.0999,0.9915,HIGH
attention,4,0.7278,0.0956,0.9921,HIGH
attention,5,0.7238,0.103,0.9914,HIGH
attention,6,0.7272,0.0988,0.9917,HIGH
attention,7,0.7804,0.0919,0.991,HIGH
attention,8,0.779,0.0902,0.992,HIGH
attention,9,0.7061,0.1032,0.9915,HIGH
attention_zm,0,0.1521,0.0937,0.9913,INTERMEDIATE
attention_zm,1,0.1969,0.1111,0.9916,INTERMEDIATE
attention_zm,2,0.1656,0.1094,0.9916,INTERMEDIATE
attention_zm,3,0.2084,0.1091,0.9919,INTERMEDIATE
attention_zm,4,0.2153,0.0975,0.9915,INTERMEDIATE
attention_zm,5,0.1624,0.0945,0.9918,INTERMEDIATE
attention_zm,6,0.1519,0.0882,0.9912,INTERMEDIATE
attention_zm,7,0.1877,0.1041,0.9913,INTERMEDIATE
attention_zm,8,0.1793,0.0924,0.9918,INTERMEDIATE
attention_zm,9,0.1576,0.0831,0.9917,INTERMEDIATE
broadcast,0,0.8571,0.0991,0.9921,HIGH
broadcast,1,0.9008,0.0968,0.9917,HIGH
broadcast,2,0.8876,0.0965,0.9912,HIGH
broadcast,3,0.8549,0.093,0.9909,HIGH
broadcast,4,0.8671,0.0974,0.9908,HIGH
broadcast,5,0.8817,0.0995,0.9912,HIGH
broadcast,6,0.8829,0.1105,0.9911,HIGH
broadcast,7,0.8798,0.0938,0.9914,HIGH
broadcast,8,0.8633,0.1029,0.9917,HIGH
broadcast,9,0.8923,0.1024,0.9913,HIGH
broadcast_zm,0,0.2334,0.0976,0.9911,INTERMEDIATE
broadcast_zm,1,0.1814,0.1083,0.9909,INTERMEDIATE
broadcast_zm,2,0.2184,0.0963,0.9903,INTERMEDIATE
broadcast_zm,3,0.1705,0.091,0.9918,INTERMEDIATE
broadcast_zm,4,0.2,0.1055,0.9917,INTERMEDIATE
broadcast_zm,5,0.2185,0.1018,0.9916,INTERMEDIATE
broadcast_zm,6,0.2464,0.0883,0.9915,INTERMEDIATE
broadcast_zm,7,0.2318,0.0973,0.9911,INTERMEDIATE
broadcast_zm,8,0.2084,0.1107,0.9912,INTERMEDIATE
broadcast_zm,9,0.1741,0.1064,0.9916,INTERMEDIATE
graph,0,0.8354,0.0905,0.9915,HIGH
graph,1,0.8735,0.0916,0.9916,HIGH
graph,2,0.8565,0.0922,0.9912,HIGH
graph,3,0.8707,0.1017,0.9912,HIGH
graph,4,0.8568,0.0985,0.9911,HIGH
graph,5,0.8711,0.0956,0.9914,HIGH
graph,6,0.8607,0.0955,0.9912,HIGH
graph,7,0.875,0.1118,0.9919,HIGH
graph,8,0.8839,0.0909,0.9916,HIGH
graph,9,0.8385,0.1125,0.9916,HIGH
graph_zm,0,0.1601,0.0962,0.9903,INTERMEDIATE
graph_zm,1,0.2265,0.0923,0.9917,INTERMEDIATE
graph_zm,2,0.1944,0.0961,0.9919,INTERMEDIATE
graph_zm,3,0.2093,0.0899,0.9914,INTERMEDIATE
graph_zm,4,0.1807,0.0997,0.9917,INTERMEDIATE
graph_zm,5,0.2393,0.0882,0.9904,INTERMEDIATE
graph_zm,6,0.2695,0.1071,0.992,INTERMEDIATE
graph_zm,7,0.2666,0.098,0.9911,INTERMEDIATE
graph_zm,8,0.1975,0.0995,0.9906,INTERMEDIATE
graph_zm,9,0.2244,0.0989,0.9916,INTERMEDIATE
identity,0,0.2166,0.0938,0.9918,INTERMEDIATE
identity,1,0.2086,0.1028,0.991,INTERMEDIATE
identity,2,0.2093,0.1088,0.9916,INTERMEDIATE
identity,3,0.1842,0.1194,0.9911,INTERMEDIATE
identity,4,0.1921,0.0994,0.9915,INTERMEDIATE
identity,5,0.1841,0.1009,0.9903,INTERMEDIATE
identity,6,0.2272,0.1,0.992,INTERMEDIATE
identity,7,0.1676,0.0878,0.9914,INTERMEDIATE
identity,8,0.1757,0.0985,0.9904,INTERMEDIATE
identity,9,0.2142,0.0978,0.9916,INTERMEDIATE
