iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-1321.096061706543,-13.210960903167724,-1321.096061706543,-13.210960903167724,0.0,1321.096061706543,13.210960903167724,0.0,0.0,6.322124047279358,0.0,0.0,-1346.3120622634888,-13.463120622634888,-1346.3120622634888,-13.463120622634888,100.0,5.497258298397064,0.0,0.0,1346.3120622634888,0.0,32,-0.004210183960618963,0.6639954566955566,1.6061744093894958,0.3117258012294769,0.07915330976247788,0.07915330976247788,0.26369354873895645,0.0033365327268256805,0.021518749895039945,-0.47630131244659424,1.0,0.01,0.0007,0,0.5,0.5,0.0,0.0,nan,6.322124047279358,0.0,nan
1,6400,-1178.6402015686035,-11.786401987075806,-1178.6402015686035,-11.786401987075806,0.0,1178.6402015686035,11.786401987075806,142.45586013793945,1.424558916091918,5.982943596839905,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0031285729822243978,0.4125517189502716,1.6017634987831115,0.18712965101003648,0.05912926010787487,0.05912926010787487,0.32419637590646744,0.002984387063770555,0.02310000006109476,0.023793280124664307,1.0,0.01,0.0006988942307692308,0,0.5,0.5,0.0,0.0,nan,5.982943596839905,0.0,nan
2,9600,-1389.9644012451172,-13.899643621444703,-1389.9644012451172,-13.899643621444703,0.0,1389.9644012451172,13.899643621444703,-68.86833953857422,-0.6886827182769792,6.910426626205444,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0027412746625021358,0.5180412411689759,1.5975287795066833,0.2403040573000908,0.05077689848840237,0.05077689848840237,0.4036624073982239,0.00297889024586766,0.030224999692291022,0.3137599229812622,1.0,0.01,0.0006977884615384615,0,0.5,0.5,0.0,0.0,nan,6.910426626205444,0.0,nan
3,12800,-1241.1896419525146,-12.411896409988403,-1241.1896419525146,-12.411896409988403,0.0,1241.1896419525146,12.411896409988403,79.90641975402832,0.7990644931793209,5.759691381454468,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0027428220680221216,0.35183411836624146,1.594668734073639,0.15722755044698716,0.051312795281410216,0.051312795281410216,0.3641187816858292,0.0021334322904294823,0.01537500013364479,0.41362684965133667,1.0,0.01,0.0006966826923076923,0,0.5,0.5,0.0,0.0,nan,5.759691381454468,0.0,nan
4,16000,-1281.758005142212,-12.817580013275146,-1281.758005142212,-12.817580013275146,0.0,1281.758005142212,12.817580013275146,39.338056564331055,0.3933808898925779,6.195841565132141,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0030260871591039516,0.35262482762336733,1.5928937077522278,0.15735738724470139,0.0715834740549326,0.0715834740549326,0.3523944616317749,0.0034525404713349416,0.030468750110594557,0.45581305027008057,1.0,0.01,0.0006955769230769231,0,0.5,0.5,0.0,0.0,nan,6.195841565132141,0.0,nan
5,19200,-1285.7493915557861,-12.857494106292725,-1285.7493915557861,-12.857494106292725,0.0,1285.7493915557861,12.857494106292725,35.346670150756836,0.35346679687499893,7.019062352180481,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0017971744069129158,0.3446107268333435,1.5872406363487244,0.15463578402996064,0.04253167323768139,0.04253167323768139,0.3398758590221405,0.002075945754040731,0.014606249728240072,0.6191138029098511,1.0,0.01,0.0006944711538461538,0,0.5,0.5,0.0,0.0,nan,7.019062352180481,0.0,nan
6,22400,-1224.4455738067627,-12.24445520401001,-1224.4455738067627,-12.24445520401001,0.0,1224.4455738067627,12.24445520401001,96.65048789978027,0.9665056991577146,5.983894877433777,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.002012123728217574,0.34076820909976957,1.5880618691444397,0.15249136388301848,0.04781430810689926,0.04781430810689926,0.35799114406108856,0.0020474710712733214,0.013800000108312815,0.43057429790496826,1.0,0.01,0.0006933653846153846,0,0.5,0.5,0.0,0.0,nan,5.983894877433777,0.0,nan
7,25600,-1253.490894317627,-12.534908304214477,-1253.490894317627,-12.534908304214477,0.0,1253.490894317627,12.534908304214477,67.60516738891602,0.6760525989532464,5.986028060913086,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0022690947025781226,0.29876852929592135,1.585759949684143,0.13125757053494452,0.05429666601121426,0.05429666601121426,0.3293852567672729,0.0028776860766811297,0.027868750045308845,0.6165288686752319,1.0,0.01,0.0006922596153846154,0,0.5,0.5,0.0,0.0,nan,5.986028060913086,0.0,nan
8,28800,-1093.7550601959229,-10.937550277709962,-1093.7550601959229,-10.937550277709962,0.0,1093.7550601959229,10.937550277709962,227.34100151062012,2.273410625457762,5.125680913925171,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.002905663619050358,0.19798290282487868,1.5820058703422546,0.08026572912931443,0.06788295432925225,0.06788295432925225,0.28928767144680023,0.003313558916124748,0.03398124989762437,0.5419232845306396,1.0,0.01,0.0006911538461538461,0,0.5,0.5,0.0,0.0,nan,5.125680913925171,0.0,nan
9,32000,-1218.578691482544,-12.18578673362732,-1218.578691482544,-12.18578673362732,0.0,1218.578691482544,12.18578673362732,102.51737022399902,1.0251741695404046,5.781282844543457,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0025479476004257153,0.2798273667693138,1.5759681463241577,0.12160605639219284,0.05890132859349251,0.05890132859349251,0.3011626750230789,0.002923006950004492,0.021662500337697566,0.43388062715530396,1.0,0.01,0.0006900480769230769,0,0.5,0.5,0.0,0.0,nan,5.781282844543457,0.0,nan
