iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-1182.9208698272705,-11.829208421707154,-1182.9208698272705,-11.829208421707154,0.0,1182.9208698272705,11.829208421707154,0.0,0.0,6.334309668540954,0.0,0.0,-1137.4384546279907,-11.374384546279908,-1137.4384546279907,-11.374384546279908,100.0,6.434047418832779,0.0,0.0,1137.4384546279907,0.0,32,-0.0032297489637976183,0.6677653193473816,1.6052283883094787,0.3146006345748901,0.10015964284539222,0.10015964284539222,0.2900332406163216,0.004228595845052072,0.0417812492698431,-0.4998812675476074,1.0,0.01,0.0007,1,0.5,0.5,0.0,0.0,nan,6.334309668540954,0.0,nan
1,6400,-1181.8222408294678,-11.818222227096557,-1181.8222408294678,-11.818222227096557,0.0,1181.8222408294678,11.818222227096557,1.0986289978027344,0.010986194610596911,5.910623211860656,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0016051321500683002,0.36575703620910643,1.602713942527771,0.16524625122547149,0.05023347847163677,0.05023347847163677,0.29094303399324417,0.002727828080969831,0.014481250289827585,0.18060165643692017,1.0,0.01,0.0006988942307692308,1,0.5,0.5,0.0,0.0,nan,5.910623211860656,0.0,nan
2,9600,-1245.4198570251465,-12.454198331832886,-1245.4198570251465,-12.454198331832886,0.0,1245.4198570251465,12.454198331832886,-62.49898719787598,-0.6249899101257324,6.132712426185608,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0010634078635192168,0.4645930379629135,1.5994354128837585,0.215238755941391,0.03866259530186653,0.03866259530186653,0.35391639471054076,0.0008477108196532363,0.0012625000439584256,0.36351144313812256,1.0,0.01,0.0006977884615384615,1,0.5,0.5,0.0,0.0,nan,6.132712426185608,0.0,nan
3,12800,-1281.883508682251,-12.818834762573243,-1281.883508682251,-12.818834762573243,0.0,1281.883508682251,12.818834762573243,-98.96263885498047,-0.9896263408660886,6.554032082557678,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0020684717716420663,0.3944755792617798,1.5947361826896667,0.1792219564318657,0.06027496196329594,0.06027496196329594,0.3240034967660904,0.002371522110843474,0.010543749894713983,0.5275726914405823,1.0,0.01,0.0006966826923076923,1,0.5,0.5,0.0,0.0,nan,6.554032082557678,0.0,nan
4,16000,-1336.8209762573242,-13.36820963859558,-1336.8209762573242,-13.36820963859558,0.0,1336.8209762573242,13.36820963859558,-153.9001064300537,-1.5390012168884262,7.291562151908875,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0013822146756922392,0.4162316471338272,1.5887821197509766,0.19084579348564149,0.07245341651141643,0.07245341651141643,0.356144380569458,0.0025869761135257573,0.025931250141002237,0.42435240745544434,1.0,0.01,0.0006955769230769231,1,0.5,0.5,0.0,0.0,nan,7.291562151908875,0.0,nan
5,19200,-1204.8366603851318,-12.048367385864259,-1204.8366603851318,-12.048367385864259,0.0,1204.8366603851318,12.048367385864259,-21.915790557861328,-0.21915896415710456,5.0264089393615725,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.001634421777190198,0.29527588188648224,1.5927468180656432,0.13007605373859404,0.06536298505961895,0.06536298505961895,0.2921957015991211,0.0024795575609462737,0.01571249997941777,0.630187451839447,1.0,0.01,0.0006944711538461538,1,0.5,0.5,0.0,0.0,nan,5.0264089393615725,0.0,nan
6,22400,-1178.6349506378174,-11.786349382400513,-1178.6349506378174,-11.786349382400513,0.0,1178.6349506378174,11.786349382400513,4.285919189453125,0.04285903930664148,5.2715977191925045,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0009899453954190563,0.260013847053051,1.5823567748069762,0.11319340914487838,0.041365118324756624,0.041365118324756624,0.3170632228255272,0.0014149638089296398,0.0019437500101048498,0.5437629222869873,1.0,0.01,0.0006933653846153846,1,0.5,0.5,0.0,0.0,nan,5.2715977191925045,0.0,nan
7,25600,-1204.7733268737793,-12.047733612060547,-1204.7733268737793,-12.047733612060547,0.0,1204.7733268737793,12.047733612060547,-21.85245704650879,-0.21852519035339313,5.701659607887268,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0015781606979430763,0.30342703461647036,1.5778396606445313,0.13435696065425873,0.051472385227680204,0.051472385227680204,0.32337513118982314,0.0023146725186965413,0.01870624991133809,0.5742895603179932,1.0,0.01,0.0006922596153846154,1,0.5,0.5,0.0,0.0,nan,5.701659607887268,0.0,nan
8,28800,-1301.5014419555664,-13.015013990402222,-1301.5014419555664,-13.015013990402222,0.0,1301.5014419555664,13.015013990402222,-118.5805721282959,-1.1858055686950681,5.77896171092987,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0015017146966769702,0.38179542124271393,1.562247395515442,0.17377352416515351,0.06703247427940369,0.06703247427940369,0.3557466775178909,0.0025726359213881235,0.019456249638460578,0.48375046253204346,1.0,0.01,0.0006911538461538461,1,0.5,0.5,0.0,0.0,nan,5.77896171092987,0.0,nan
9,32000,-1179.250389099121,-11.792503614425659,-1179.250389099121,-11.792503614425659,0.0,1179.250389099121,11.792503614425659,3.670480728149414,0.03670480728149528,5.441496434211731,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0018682495151182365,0.24400005787611007,1.5664036631584168,0.1044677436351776,0.08350173905491828,0.08350173905491828,0.28029620349407197,0.003994216688443464,0.04548124922439456,0.4883885979652405,1.0,0.01,0.0006900480769230769,1,0.5,0.5,0.0,0.0,nan,5.441496434211731,0.0,nan
