iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-1181.1395225524902,-11.81139521598816,-1181.1395225524902,-11.81139521598816,0.0,1181.1395225524902,11.81139521598816,0.0,0.0,6.349532480239868,0.0,0.0,-1044.0917603969574,-10.440917603969574,-1044.0917603969574,-10.440917603969574,100.0,5.161029552221298,0.0,0.0,1044.0917603969574,0.0,32,-0.002221361407660538,0.5575182139873505,1.6073174476623535,0.2604645684361458,0.04945150539278984,0.04945150539278984,0.2627048149704933,0.002119781112560304,0.011962499609217048,-0.2584956884384155,1.0,0.01,0.0007,1,0.5,0.5,0.0,0.0,nan,6.349532480239868,0.0,nan
1,6400,-1169.8030338287354,-11.698030300140381,-1169.8030338287354,-11.698030300140381,0.0,1169.8030338287354,11.698030300140381,11.336488723754883,0.11336491584777875,5.7121342754364015,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0008335173810017693,0.4211502104997635,1.6024312853813172,0.19371727705001832,0.02931558880954981,0.02931558880954981,0.3363850340247154,0.0004857230132984114,0.0,0.11302244663238525,1.0,0.01,0.0006988942307692308,1,0.5,0.5,0.0,0.0,nan,5.7121342754364015,0.0,nan
2,9600,-1226.5896263122559,-12.265896253585815,-1226.5896263122559,-12.265896253585815,0.0,1226.5896263122559,12.265896253585815,-45.450103759765625,-0.45450103759765526,6.049417328834534,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0010487575830659067,0.4534463405609131,1.5975335955619812,0.2096990779042244,0.03226066567003727,0.03226066567003727,0.352191698551178,0.0008744710188693716,0.00015625000232830644,0.34468209743499756,1.0,0.01,0.0006977884615384615,1,0.5,0.5,0.0,0.0,nan,6.049417328834534,0.0,nan
3,12800,-1244.4151363372803,-12.444151153564453,-1244.4151363372803,-12.444151153564453,0.0,1244.4151363372803,12.444151153564453,-63.27561378479004,-0.6327559375762934,6.235291485786438,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.001580638463934747,0.4255093067884445,1.5914830327033997,0.19525918513536453,0.04606365039944649,0.04606365039944649,0.346436208486557,0.0021384286927059295,0.007993750087916852,0.3529868721961975,1.0,0.01,0.0006966826923076923,1,0.5,0.5,0.0,0.0,nan,6.235291485786438,0.0,nan
4,16000,-1287.5306415557861,-12.875306339263917,-1287.5306415557861,-12.875306339263917,0.0,1287.5306415557861,12.875306339263917,-106.3911190032959,-1.0639111232757568,6.911937265396118,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0016102513046789113,0.43498618006706236,1.5842245221138,0.20004059374332428,0.05157186165452003,0.05157186165452003,0.34232525527477264,0.0019818589735223213,0.01069999965839088,0.3850509524345398,1.0,0.01,0.0006955769230769231,1,0.5,0.5,0.0,0.0,nan,6.911937265396118,0.0,nan
5,19200,-1166.1318645477295,-11.66131802558899,-1166.1318645477295,-11.66131802558899,0.0,1166.1318645477295,11.66131802558899,15.007658004760742,0.15007719039916978,4.802875199317932,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0011209503080166882,0.2966689050197601,1.5775823593139648,0.1314376786351204,0.03811001069843769,0.03811001069843769,0.30141032189130784,0.0016797666099591878,0.003150000108871609,0.4760017395019531,1.0,0.01,0.0006944711538461538,1,0.5,0.5,0.0,0.0,nan,4.802875199317932,0.0,nan
6,22400,-1140.4655666351318,-11.404654970169068,-1140.4655666351318,-11.404654970169068,0.0,1140.4655666351318,11.404654970169068,40.6739559173584,0.4067402458190923,5.064551343917847,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0016007834175603363,0.27230261713266374,1.569171392917633,0.11885881274938584,0.04080306254327297,0.04080306254327297,0.33065402656793597,0.002633313941623783,0.010162499733269215,0.5466699004173279,1.0,0.01,0.0006933653846153846,1,0.5,0.5,0.0,0.0,nan,5.064551343917847,0.0,nan
7,25600,-1173.307258605957,-11.733072385787963,-1173.307258605957,-11.733072385787963,0.0,1173.307258605957,11.733072385787963,7.832263946533203,0.07832283020019659,5.567764534950256,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0011479471882452686,0.3043431878089905,1.5609617114067078,0.13541403263807297,0.03910616058856249,0.03910616058856249,0.3361706644296646,0.0016797668584331404,0.01393125015310943,0.5298565030097961,1.0,0.01,0.0006922596153846154,1,0.5,0.5,0.0,0.0,nan,5.567764534950256,0.0,nan
8,28800,-1250.3440628051758,-12.503440313339233,-1250.3440628051758,-12.503440313339233,0.0,1250.3440628051758,12.503440313339233,-69.20454025268555,-0.6920450973510732,5.486584539413452,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0017066921170332705,0.3780734330415726,1.556021475791931,0.17176981121301652,0.052478314563632014,0.052478314563632014,0.36965731382369993,0.0020832541569689054,0.014424999896436929,0.33690375089645386,1.0,0.01,0.0006911538461538461,1,0.5,0.5,0.0,0.0,nan,5.486584539413452,0.0,nan
9,32000,-1129.9794788360596,-11.299795160293579,-1129.9794788360596,-11.299795160293579,0.0,1129.9794788360596,11.299795160293579,51.160043716430664,0.511600055694581,4.873256211280823,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.001537097296072254,0.25362064987421035,1.5559266686439515,0.10971396192908286,0.04534266479313374,0.04534266479313374,0.28105659037828445,0.0024390484410105272,0.01588124977424741,0.5602344274520874,1.0,0.01,0.0006900480769230769,1,0.5,0.5,0.0,0.0,nan,4.873256211280823,0.0,nan
