iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-1181.1395225524902,-11.81139521598816,-1181.1395225524902,-11.81139521598816,0.0,1181.1395225524902,11.81139521598816,0.0,0.0,6.349532480239868,0.0,0.0,-1025.540328502655,-10.255403285026551,-1025.540328502655,-10.255403285026551,100.0,4.980661438703537,0.0,0.0,1025.540328502655,0.0,32,-0.002199062192462975,0.5575182139873505,1.6073246955871583,0.2604867950081825,0.049034380540251735,0.049034380540251735,0.2627048149704933,0.0021125272294739263,0.011950000212527812,-0.2584956884384155,1.0,0.01,0.0007,1,0.5,0.5,0.0,0.0,nan,6.349532480239868,0.0,nan
1,6400,-1169.6128158569336,-11.696127920150756,-1169.6128158569336,-11.696127920150756,0.0,1169.6128158569336,11.696127920150756,11.52670669555664,0.1152672958374037,5.707060146331787,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0007815253676213274,0.42119901180267333,1.602372133731842,0.19379426091909407,0.02912005875259638,0.02912005875259638,0.33631281554698944,0.00048514861500734694,0.0,0.11308997869491577,1.0,0.01,0.0006988942307692308,1,0.5,0.5,0.0,0.0,nan,5.707060146331787,0.0,nan
2,9600,-1226.7179279327393,-12.267179403305054,-1226.7179279327393,-12.267179403305054,0.0,1226.7179279327393,12.267179403305054,-45.57840538024902,-0.45578418731689396,6.0442550134658815,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0009737077999425025,0.4530899167060852,1.5976562976837159,0.20959468930959702,0.031735959462821484,0.031735959462821484,0.35159915685653687,0.0008409928692344693,0.0001812499947845936,0.34436237812042236,1.0,0.01,0.0006977884615384615,1,0.5,0.5,0.0,0.0,nan,6.0442550134658815,0.0,nan
3,12800,-1246.9502449035645,-12.469501943588257,-1246.9502449035645,-12.469501943588257,0.0,1246.9502449035645,12.469501943588257,-65.81072235107422,-0.6581067276000976,6.286615767478943,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0016181747296712956,0.4263224184513092,1.5917396664619445,0.1956256404519081,0.04763909801840782,0.04763909801840782,0.3473107099533081,0.002211526872270042,0.008668750058859587,0.3521106243133545,1.0,0.01,0.0006966826923076923,1,0.5,0.5,0.0,0.0,nan,6.286615767478943,0.0,nan
4,16000,-1292.5259418487549,-12.92525915145874,-1292.5259418487549,-12.92525915145874,0.0,1292.5259418487549,12.92525915145874,-111.38641929626465,-1.1138639354705795,6.982849035263062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.001586021941466953,0.4360998868942261,1.5843652606010437,0.20062026679515838,0.053657880052924156,0.053657880052924156,0.342334708571434,0.002123183570074616,0.013956250343471765,0.3893069624900818,1.0,0.01,0.0006955769230769231,1,0.5,0.5,0.0,0.0,nan,6.982849035263062,0.0,nan
5,19200,-1166.9304113388062,-11.669303503036499,-1166.9304113388062,-11.669303503036499,0.0,1166.9304113388062,11.669303503036499,14.209111213684082,0.142091712951661,4.850745944976807,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0011145233426532286,0.29520191848278043,1.5796228528022767,0.13069020882248877,0.03898707777261734,0.03898707777261734,0.29986711144447326,0.0015787424996233312,0.0023812498897314073,0.4779425263404846,1.0,0.01,0.0006944711538461538,1,0.5,0.5,0.0,0.0,nan,4.850745944976807,0.0,nan
6,22400,-1142.876049041748,-11.428760614395141,-1142.876049041748,-11.428760614395141,0.0,1142.876049041748,11.428760614395141,38.26347351074219,0.38263460159301843,5.090821805000306,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0014137788086202364,0.2735259860754013,1.5728205442428589,0.11962101310491562,0.03936734348535538,0.03936734348535538,0.331203593313694,0.002264354866929352,0.006343749887309969,0.5415920615196228,1.0,0.01,0.0006933653846153846,1,0.5,0.5,0.0,0.0,nan,5.090821805000306,0.0,nan
7,25600,-1172.8171863555908,-11.728170976638793,-1172.8171863555908,-11.728170976638793,0.0,1172.8171863555908,11.728170976638793,8.322336196899414,0.08322423934936651,5.603031597137451,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0010200849346873042,0.3025129735469818,1.5654728651046752,0.13458167463541032,0.03687557578086853,0.03687557578086853,0.3336540162563324,0.0015131490228668554,0.007337500176799949,0.5266014337539673,1.0,0.01,0.0006922596153846154,1,0.5,0.5,0.0,0.0,nan,5.603031597137451,0.0,nan
8,28800,-1251.2003650665283,-12.512003135681152,-1251.2003650665283,-12.512003135681152,0.0,1251.2003650665283,12.512003135681152,-70.06084251403809,-0.7006079196929917,5.5147840738296505,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0016359826809144273,0.37627486884593964,1.5576963067054748,0.17092448920011521,0.05762636251747608,0.05762636251747608,0.37002784609794614,0.002258992602219223,0.020200000144541264,0.33999717235565186,1.0,0.01,0.0006911538461538461,1,0.5,0.5,0.0,0.0,nan,5.5147840738296505,0.0,nan
9,32000,-1130.649642944336,-11.306496524810791,-1130.649642944336,-11.306496524810791,0.0,1130.649642944336,11.306496524810791,50.4898796081543,0.5048986911773685,5.006543731689453,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0015203936739595747,0.25518828481435774,1.5551998734474182,0.11052175089716912,0.05117135271430016,0.05117135271430016,0.2812648802995682,0.0025192835018970072,0.020312499813735486,0.5421460866928101,1.0,0.01,0.0006900480769230769,1,0.5,0.5,0.0,0.0,nan,5.006543731689453,0.0,nan
