iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-1319.218276977539,-13.192182378768921,-1319.218276977539,-13.192182378768921,0.0,1319.218276977539,13.192182378768921,0.0,0.0,6.324391584396363,0.0,0.0,-1407.2714538574219,-14.07271453857422,-1407.2714538574219,-14.07271453857422,100.0,3.126700211763382,0.0,0.0,1407.2714538574219,0.0,32,-0.002278011441556771,0.6202041983604432,1.6071152687072754,0.29175294041633604,0.04614749066531658,0.04614749066531658,0.2502397269010544,0.0022744615111151057,0.007656249962747097,-0.38528621196746826,1.0,0.01,0.0007,0,0.5,0.5,0.0,0.0,nan,6.324391584396363,0.0,nan
1,6400,-1178.633144378662,-11.78633071899414,-1178.633144378662,-11.78633071899414,0.0,1178.633144378662,11.78633071899414,140.58513259887695,1.4058516597747808,5.929534497261048,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0016702993357426976,0.48302617073059084,1.5984334826469422,0.22385845333337784,0.050117123499512674,0.050117123499512674,0.3456031411886215,0.0015175876415016772,0.007906249864026904,0.15579700469970703,1.0,0.01,0.0006988942307692308,0,0.5,0.5,0.0,0.0,nan,5.929534497261048,0.0,nan
2,9600,-1395.2203216552734,-13.952202157974243,-1395.2203216552734,-13.952202157974243,0.0,1395.2203216552734,13.952202157974243,-76.00204467773438,-0.7600197792053223,6.918710222244263,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.001386678997444335,0.5413402825593948,1.5934040427207947,0.25334941893815993,0.04234787188470364,0.04234787188470364,0.41412211656570436,0.0014000650066012168,0.004156250017695129,0.2470153570175171,1.0,0.01,0.0006977884615384615,0,0.5,0.5,0.0,0.0,nan,6.918710222244263,0.0,nan
3,12800,-1229.612741470337,-12.296127128601075,-1229.612741470337,-12.296127128601075,0.0,1229.612741470337,12.296127128601075,89.60553550720215,0.896055250167846,5.606176843643189,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.001560900522727593,0.376089945435524,1.5911352515220643,0.1705727159976959,0.04374588951468468,0.04374588951468468,0.3504979431629181,0.0014350323701367734,0.004200000024866313,0.47672468423843384,1.0,0.01,0.0006966826923076923,0,0.5,0.5,0.0,0.0,nan,5.606176843643189,0.0,nan
4,16000,-1271.6846294403076,-12.71684606552124,-1271.6846294403076,-12.71684606552124,0.0,1271.6846294403076,12.71684606552124,47.533647537231445,0.47533631324768066,5.970731892585754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0020851131320227976,0.4058535635471344,1.5838788628578186,0.18500288128852843,0.056102029234170916,0.056102029234170916,0.3442464530467987,0.003041084002325427,0.0288437495008111,0.41054314374923706,1.0,0.01,0.0006955769230769231,0,0.5,0.5,0.0,0.0,nan,5.970731892585754,0.0,nan
5,19200,-1252.9947547912598,-12.52994686126709,-1252.9947547912598,-12.52994686126709,0.0,1252.9947547912598,12.52994686126709,66.2235221862793,0.6622355175018306,6.442199869155884,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0016423703638487551,0.3470427215099335,1.5841380953788757,0.15603760927915572,0.0371627688407898,0.0371627688407898,0.33615427017211913,0.0014852999338476603,0.006956249975337414,0.5427818298339844,1.0,0.01,0.0006944711538461538,0,0.5,0.5,0.0,0.0,nan,6.442199869155884,0.0,nan
6,22400,-1190.0663871765137,-11.900663661956788,-1190.0663871765137,-11.900663661956788,0.0,1190.0663871765137,11.900663661956788,129.1518898010254,1.2915187168121331,5.517421565055847,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0013372292141312415,0.3346529543399811,1.5875720381736755,0.15011352747678758,0.03581367507576942,0.03581367507576942,0.3221679970622063,0.001265973068075602,0.0017562499844643753,0.42436349391937256,1.0,0.01,0.0006933653846153846,0,0.5,0.5,0.0,0.0,nan,5.517421565055847,0.0,nan
7,25600,-1244.2423629760742,-12.442423448562622,-1244.2423629760742,-12.442423448562622,0.0,1244.2423629760742,12.442423448562622,74.97591400146484,0.7497589302062995,5.508349046707154,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0018179497307279746,0.3396948307752609,1.5865911841392517,0.15216355174779891,0.07023633234202861,0.07023633234202861,0.36683176308870313,0.0024284597282534346,0.02165625032503158,0.5096651911735535,1.0,0.01,0.0006922596153846154,0,0.5,0.5,0.0,0.0,nan,5.508349046707154,0.0,nan
8,28800,-1093.0101432800293,-10.930100860595703,-1093.0101432800293,-10.930100860595703,0.0,1093.0101432800293,10.930100860595703,226.20813369750977,2.2620815181732183,5.191482291221619,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.002292870114604284,0.23455665707588197,1.5755932211875916,0.09922952875494957,0.06107134148478508,0.06107134148478508,0.30262445509433744,0.0031660193191786977,0.026562499348074198,0.5315071940422058,1.0,0.01,0.0006911538461538461,0,0.5,0.5,0.0,0.0,nan,5.191482291221619,0.0,nan
9,32000,-1183.9920864105225,-11.839920673370361,-1183.9920864105225,-11.839920673370361,0.0,1183.9920864105225,11.839920673370361,135.2261905670166,1.3522617053985595,5.242983422279358,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0015806909016561122,0.26642771661281583,1.5743982791900635,0.11588918641209603,0.04518320262432098,0.04518320262432098,0.31002116203308105,0.00226194618808267,0.01696875020279549,0.3722214698791504,1.0,0.01,0.0006900480769230769,0,0.5,0.5,0.0,0.0,nan,5.242983422279358,0.0,nan
