iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-1256.5797729492188,-12.565797605514526,-1256.5797729492188,-12.565797605514526,0.0,1256.5797729492188,12.565797605514526,0.0,0.0,6.7997658061981205,0.0,0.0,-725.8052704334259,-7.258052704334259,-725.8052704334259,-7.258052704334259,100.0,4.057646993100644,0.0,0.0,725.8052704334259,0.0,32,-0.0016791607036488188,0.7413133442401886,1.607727837562561,0.352900230884552,0.03562542721629143,0.03562542721629143,0.3087625429034233,0.0016193083516555123,0.0026937499176710846,-0.6537154912948608,1.0,0.01,0.0007,2,0.5,0.5,0.0,0.0,nan,6.7997658061981205,0.0,nan
1,6400,-1250.37038230896,-12.503702821731567,-1250.37038230896,-12.503702821731567,0.0,1250.37038230896,12.503702821731567,6.209390640258789,0.06209478378295863,5.233702569007874,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0010244835277670283,0.43795972466468813,1.6004616260528564,0.20195076018571853,0.03252030424773693,0.03252030424773693,0.33457663357257844,0.0011182691603609737,0.0,0.23303061723709106,1.0,0.01,0.0006988942307692308,2,0.5,0.5,0.0,0.0,nan,5.233702569007874,0.0,nan
2,9600,-1199.3184032440186,-11.993183670043946,-1199.3184032440186,-11.993183670043946,0.0,1199.3184032440186,11.993183670043946,57.261369705200195,0.5726139354705797,5.411734027862549,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.001163299737393686,0.41577689349651337,1.5906781554222107,0.19081836342811584,0.04125967770814896,0.04125967770814896,0.3328915536403656,0.0011696590900103685,0.0022187500260770323,0.42348235845565796,1.0,0.01,0.0006977884615384615,2,0.5,0.5,0.0,0.0,nan,5.411734027862549,0.0,nan
3,12800,-1167.738356590271,-11.67738307952881,-1167.738356590271,-11.67738307952881,0.0,1167.738356590271,11.67738307952881,88.84141635894775,0.8884145259857164,5.3440949869155885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0015434193896826543,0.4237098187208176,1.5789082884788512,0.1945224091410637,0.04542696960270405,0.04542696960270405,0.36600923240184785,0.0017372571950548892,0.004812500160187483,0.3960701823234558,1.0,0.01,0.0006966826923076923,2,0.5,0.5,0.0,0.0,nan,5.3440949869155885,0.0,nan
4,16000,-1129.641845703125,-11.296418972015381,-1129.641845703125,-11.296418972015381,0.0,1129.641845703125,11.296418972015381,126.93792724609375,1.2693786334991444,5.054195418357849,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.00038386666553407166,0.33376903235912325,1.5762852668762206,0.15073779672384263,0.03009672127664089,0.03009672127664089,0.3014035940170288,0.0011005113789000626,0.00025625000707805155,0.4799473285675049,1.0,0.01,0.0006955769230769231,2,0.5,0.5,0.0,0.0,nan,5.054195418357849,0.0,nan
5,19200,-1184.4953241348267,-11.844952850341796,-1184.4953241348267,-11.844952850341796,0.0,1184.4953241348267,11.844952850341796,72.08444881439209,0.7208447551727293,6.382983975410461,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0007186965887839847,0.3429394274950027,1.579949712753296,0.1549515187740326,0.026175486855208874,0.026175486855208874,0.3426931619644165,0.001024599615994168,0.0009250000119209289,0.49424803256988525,1.0,0.01,0.0006944711538461538,2,0.5,0.5,0.0,0.0,nan,6.382983975410461,0.0,nan
6,22400,-1215.512092590332,-12.155121288299561,-1215.512092590332,-12.155121288299561,0.0,1215.512092590332,12.155121288299561,41.06768035888672,0.4106763172149641,5.90831654548645,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0008176730600915505,0.34858507215976714,1.5772980451583862,0.15770188421010972,0.03305026590824127,0.03305026590824127,0.3312459379434586,0.0009518641392791327,0.00011249999515712261,0.5295215845108032,1.0,0.01,0.0006933653846153846,2,0.5,0.5,0.0,0.0,nan,5.90831654548645,0.0,nan
7,25600,-1219.9656925201416,-12.199656362533569,-1219.9656925201416,-12.199656362533569,0.0,1219.9656925201416,12.199656362533569,36.61408042907715,0.36614124298095696,5.75029191493988,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0013749000925798783,0.3245398610830307,1.5722924828529359,0.1451721079647541,0.04330359287559986,0.04330359287559986,0.33886091113090516,0.0023073266944269866,0.013693749811500311,0.5260639190673828,1.0,0.01,0.0006922596153846154,2,0.5,0.5,0.0,0.0,nan,5.75029191493988,0.0,nan
8,28800,-1152.5066623687744,-11.525066900253297,-1152.5066623687744,-11.525066900253297,0.0,1152.5066623687744,11.525066900253297,104.07311058044434,1.040730705261229,4.910426921844483,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0011975139363610055,0.31500309705734253,1.565204632282257,0.14065198674798013,0.041136236488819124,0.041136236488819124,0.32037376910448073,0.0011659591498760034,0.004156249883817509,0.32966703176498413,1.0,0.01,0.0006911538461538461,2,0.5,0.5,0.0,0.0,nan,4.910426921844483,0.0,nan
9,32000,-1148.618200302124,-11.486181793212891,-1148.618200302124,-11.486181793212891,0.0,1148.618200302124,11.486181793212891,107.96157264709473,1.0796158123016344,4.836555905342102,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.000804970999038801,0.28259751498699187,1.5693951010704041,0.12479983419179916,0.03104307781904936,0.03104307781904936,0.3037163957953453,0.0013189595170847034,0.001168750022770837,0.3796997666358948,1.0,0.01,0.0006900480769230769,2,0.5,0.5,0.0,0.0,nan,4.836555905342102,0.0,nan
