iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate
0,3200,-265.83976793289185,-2.6583976316452027,-265.83976793289185,-2.6583976316452027,0.0,265.83976793289185,2.6583976316452027,0.0,0.0,2.6483975672721862,0.0,0.0,-134.4168228507042,-1.344168228507042,-134.4168228507042,-1.344168228507042,100.0,1.3341682380437851,0.0,0.0,134.4168228507042,0.0,32,-0.0035410091014113298,0.6515824556350708,1.6061888813972474,0.30618833005428314,0.06645423509180545,0.06645423509180545,0.26705470830202105,0.0031302099392632953,0.020049999840557574,-0.4687979221343994,1.0,0.01,0.0007,0,0.25,0.25,0.0
1,6400,-242.17342221736908,-2.421734182834625,-242.17342221736908,-2.421734182834625,0.0,242.17342221736908,2.421734182834625,23.666345715522766,0.23666344881057766,2.411734154224396,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.002791157451365223,0.43051621615886687,1.5997364163398742,0.19649266004562377,0.05977512337267399,0.05977512337267399,0.26499738097190856,0.00401974867854733,0.03436250011436641,0.11629486083984375,1.0,0.009985576923076923,0.0006988942307692308,0,0.25,0.25,0.0
2,9600,-295.20028162002563,-2.9520029401779175,-295.20028162002563,-2.9520029401779175,0.0,295.20028162002563,2.9520029401779175,-29.36051368713379,-0.2936053085327148,2.942002921104431,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.002910559214209485,0.483244526386261,1.592275619506836,0.22283487766981125,0.060220157727599144,0.060220157727599144,0.3175796329975128,0.0028084735247830396,0.025018749805167318,0.1135779619216919,1.0,0.009971153846153847,0.0006977884615384615,0,0.25,0.25,0.0
3,12800,-239.91823029518127,-2.3991821241378783,-239.91823029518127,-2.3991821241378783,0.0,239.91823029518127,2.3991821241378783,25.92153763771057,0.25921550750732436,2.411057102680206,0.0021875,0.0006412967986613864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0032739652709569355,0.3950287848711014,1.5841713070869445,0.17846726179122924,0.0868299201130867,0.0868299201130867,0.28877927660942077,0.003824397255812073,0.04380624974146485,0.2223607897758484,1.0,0.00995673076923077,0.0006966826923076923,0,0.25,0.25,0.03125
4,16000,-254.93466091156006,-2.5493465733528136,-254.93466091156006,-2.5493465733528136,0.0,254.93466091156006,2.5493465733528136,10.905107021331787,0.10905105829238915,2.5393465399742126,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0017287652779138796,0.35394591093063354,1.5845975041389466,0.15948963314294815,0.050425628572702406,0.050425628572702406,0.28986768424510956,0.002539476194942836,0.018137500155717134,0.42499494552612305,1.0,0.009942307692307693,0.0006955769230769231,0,0.25,0.25,0.0
5,19200,-291.131340354681,-2.911313576698303,-291.131340354681,-2.911313576698303,0.0,291.131340354681,2.911313576698303,-25.29157242178917,-0.25291594505310044,2.9106885480880735,0.0009375,0.00023972760511913984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0017430922284546568,0.5025069206953049,1.5856793165206908,0.23376792818307876,0.04096259754151106,0.04096259754151106,0.30918703973293304,0.0016817479470773832,0.007437499926891178,0.18033736944198608,1.0,0.009927884615384616,0.0006944711538461538,0,0.25,0.25,0.03125
6,22400,-254.34681272506714,-2.543468143939972,-254.34681272506714,-2.543468143939972,0.0,254.34681272506714,2.543468143939972,11.492955207824707,0.11492948770523093,2.5334681224823,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0013619475414159866,0.3451302021741867,1.5875155448913574,0.15546537786722184,0.042272234335541725,0.042272234335541725,0.29457692950963976,0.0016175347900571069,0.007912500016391277,0.2280559539794922,1.0,0.00991346153846154,0.0006933653846153846,0,0.25,0.25,0.0
7,25600,-258.29687774181366,-2.5829687762260436,-258.29687774181366,-2.5829687762260436,0.0,258.29687774181366,2.5829687762260436,7.542890191078186,0.07542885541915911,2.5729687452316283,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.002094704287219429,0.3613415420055389,1.5875474214553833,0.1628608763217926,0.0603975772857666,0.0603975772857666,0.27013062983751296,0.0025343991816043853,0.017256249847559958,0.4389171004295349,1.0,0.009899038461538463,0.0006922596153846154,0,0.25,0.25,0.0
8,28800,-240.25086855888367,-2.4025088024139403,-240.25086855888367,-2.4025088024139403,0.0,240.25086855888367,2.4025088024139403,25.58889937400818,0.25588882923126244,2.398758773803711,0.000625,0.00018389066173723568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.002109174010437087,0.2638079360127449,1.5842689275741577,0.11413490325212479,0.054900862649083136,0.054900862649083136,0.256050144135952,0.002577559053315781,0.01743750022724271,0.2804792523384094,1.0,0.009884615384615384,0.0006911538461538461,0,0.25,0.25,0.03125
9,32000,-257.62094700336456,-2.5762095785140993,-257.62094700336456,-2.5762095785140993,0.0,257.62094700336456,2.5762095785140993,8.218820929527283,0.08218805313110344,2.5849595403671266,0.001875,0.0005230184549887517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0012443112965961234,0.29562442004680634,1.578087842464447,0.13099186792969703,0.03661644347012043,0.03661644347012043,0.2681149661540985,0.0010272603143675952,0.003706250095274299,0.28554463386535645,1.0,0.009870192307692307,0.0006900480769230769,0,0.25,0.25,0.03125
