iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate
0,3200,-324.54154658317566,-3.2454155707359313,-324.54154658317566,-3.2454155707359313,0.0,324.54154658317566,3.2454155707359313,0.0,0.0,2.6395707893371583,0.0,0.0,-237.39001482725143,-2.373900148272514,-237.39001482725143,-2.373900148272514,100.0,1.8735358941555023,0.0,0.0,237.39001482725143,0.0,32,-0.001417326500313365,0.6702329635620117,1.6075198650360107,0.31762396097183226,0.02794956583529711,0.02794956583529711,0.26655429154634475,0.0019582970864576296,0.0029500000877305866,-0.5033750534057617,1.0,0.01,0.0007,1,1.0,1.0,0.0
1,6400,-306.12289905548096,-3.061229043006897,-306.12289905548096,-3.061229043006897,0.0,306.12289905548096,3.061229043006897,18.418647527694702,0.1841865277290342,2.41773903131485,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0013564385751962504,0.3621459275484085,1.597301995754242,0.1637665420770645,0.03511973544955253,0.03511973544955253,0.256402325630188,0.0016560672149355255,0.003368750051595271,0.35192590951919556,1.0,0.009985576923076923,0.0006988942307692308,1,1.0,1.0,0.0
2,9600,-314.27214646339417,-3.1427213311195374,-314.27214646339417,-3.1427213311195374,0.0,314.27214646339417,3.1427213311195374,10.269400119781494,0.1026942396163939,2.470400803089142,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.001100007581451834,0.5017160505056382,1.589697539806366,0.23390689939260484,0.033113198913633825,0.033113198913633825,0.2958799242973328,0.0010423816376718068,0.0033687499584630133,0.21558725833892822,1.0,0.009971153846153847,0.0006977884615384615,1,1.0,1.0,0.0
3,12800,-328.18806624412537,-3.2818807196617126,-328.18806624412537,-3.2818807196617126,0.0,328.18806624412537,3.2818807196617126,-3.646519660949707,-0.03646514892578123,2.531255631446838,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.001981470509921213,0.44999373853206637,1.5863924503326416,0.20722011476755142,0.04070792961865664,0.04070792961865664,0.27103437632322314,0.002377751039967158,0.013243749924004077,0.332858681678772,1.0,0.00995673076923077,0.0006966826923076923,1,1.0,1.0,0.0
4,16000,-347.3607039451599,-3.47360702753067,-347.3607039451599,-3.47360702753067,0.0,347.3607039451599,3.47360702753067,-22.819157361984253,-0.22819145679473873,2.843058340549469,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0010543932778936949,0.5043379127979278,1.5775065183639527,0.23543051332235337,0.031008437275886536,0.031008437275886536,0.30264493077993393,0.0013838011051124414,0.0035625000920845194,0.14793145656585693,1.0,0.009942307692307693,0.0006955769230769231,1,1.0,1.0,0.0
5,19200,-273.4829942584038,-2.7348299288749693,-273.4829942584038,-2.7348299288749693,0.0,273.4829942584038,2.7348299288749693,51.05855232477188,0.510585641860962,1.892932291030884,0.0009375,0.0003240656557730654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0013338428142716907,0.24437414854764938,1.5539258599281311,0.10542603582143784,0.03446958251297474,0.03446958251297474,0.22240564823150635,0.0017777088818552694,0.006793749891221524,0.5093836784362793,1.0,0.009927884615384616,0.0006944711538461538,1,1.0,1.0,0.03125
6,22400,-274.9708185195923,-2.749708187580109,-274.9708185195923,-2.749708187580109,0.0,274.9708185195923,2.749708187580109,49.570728063583374,0.4957073831558225,2.0593156909942625,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0012622722378815344,0.25232589691877366,1.5471353769302367,0.10956320986151695,0.03624674696475268,0.03624674696475268,0.25322791635990144,0.001828615287741334,0.008599999843863771,0.4537341594696045,1.0,0.00991346153846154,0.0006933653846153846,1,1.0,1.0,0.0
7,25600,-291.88254022598267,-2.918825430870056,-291.88254022598267,-2.918825430870056,0.0,291.88254022598267,2.918825430870056,32.65900635719299,0.32659013986587526,2.242178511619568,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0007183420885297665,0.2791868314146996,1.5387603878974914,0.12364282310009003,0.026060519739985466,0.026060519739985466,0.2627919718623161,0.0010802918302948458,0.0007812500116415322,0.4661003351211548,1.0,0.009899038461538463,0.0006922596153846154,1,1.0,1.0,0.0
8,28800,-305.886057138443,-3.058860583305359,-305.886057138443,-3.058860583305359,0.0,305.886057138443,3.058860583305359,18.655489444732666,0.18655498743057253,2.3825302958488463,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0010339945703005781,0.34318711161613463,1.521734344959259,0.15551780313253402,0.03879410512745381,0.03879410512745381,0.26036242991685865,0.001995328169869646,0.008762499876320362,0.24641746282577515,1.0,0.009884615384615384,0.0006911538461538461,1,1.0,1.0,0.0
9,32000,-283.8308446407318,-2.8383084321022034,-283.8308446407318,-2.8383084321022034,0.0,283.8308446407318,2.8383084321022034,40.71070194244385,0.40710713863372794,2.1887003695964813,0.0009375,0.000294006928007048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.001301490739424338,0.27211311012506484,1.5161463856697082,0.11979041174054146,0.0393946161493659,0.0393946161493659,0.22309039235115052,0.0019521812235331233,0.005800000205636024,0.3173394799232483,1.0,0.009870192307692307,0.0006900480769230769,1,1.0,1.0,0.03125
