iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate
0,3200,-810.5952587127686,-8.105952539443969,-810.5952587127686,-8.105952539443969,0.0,810.5952587127686,8.105952539443969,0.0,0.0,3.9858350729942322,0.0,0.0,-655.2483236789703,-6.552483236789703,-655.2483236789703,-6.552483236789703,100.0,3.1626088654994966,0.0,0.0,655.2483236789703,0.0,32,-0.0017664722632851238,0.6539579689502716,1.6069296717643737,0.30914321541786194,0.04313263446092606,0.04313263446092606,0.20987974628806114,0.002623165764089246,0.008043750235810877,-0.45509839057922363,1.0,0.01,0.0007,1,0.0,0.0,0.0
1,6400,-787.0080709457397,-7.870080642700195,-787.0080709457397,-7.870080642700195,0.0,787.0080709457397,7.870080642700195,23.58718776702881,0.23587189674377385,4.0499814295768735,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0012768758546798154,0.46210604906082153,1.6013288021087646,0.21378595978021622,0.032848806120455265,0.032848806120455265,0.2720851540565491,0.002464035458979501,0.007481249945703894,0.2818957567214966,1.0,0.009985576923076923,0.0006988942307692308,1,0.0,0.0,0.0
2,9600,-827.9890623092651,-8.279890794754028,-827.9890623092651,-8.279890794754028,0.0,827.9890623092651,8.279890794754028,-17.393803596496582,-0.17393825531005902,4.159268555641174,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0017485313587123131,0.4678091734647751,1.597259020805359,0.2162295401096344,0.051159392669796945,0.051159392669796945,0.2796096593141556,0.0031642832866058345,0.02314375010319054,0.30716150999069214,1.0,0.009971153846153847,0.0006977884615384615,1,0.0,0.0,0.0
3,12800,-903.6852502822876,-9.036852464675903,-903.6852502822876,-9.036852464675903,0.0,903.6852502822876,9.036852464675903,-93.08999156951904,-0.9308999252319339,4.966610479354858,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0020929762976479084,0.4904716432094574,1.5983039259910583,0.2272289589047432,0.059939116984605786,0.059939116984605786,0.29198233038187027,0.004238983793766644,0.03353750007227063,0.3672983646392822,1.0,0.00995673076923077,0.0006966826923076923,1,0.0,0.0,0.0
4,16000,-772.7551851272583,-7.727551717758178,-772.7551851272583,-7.727551717758178,0.0,772.7551851272583,7.727551717758178,37.840073585510254,0.3784008216857906,4.3682550430297855,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0013770867364247153,0.32178971767425535,1.5937325954437256,0.14367239102721213,0.042934283055365084,0.042934283055365084,0.2456182137131691,0.0033244458521952775,0.024331249433453196,0.5250334143638611,1.0,0.009942307692307693,0.0006955769230769231,1,0.0,0.0,0.0
5,19200,-872.0431327819824,-8.720431518554687,-872.0431327819824,-8.720431518554687,0.0,872.0431327819824,8.720431518554687,-61.44787406921387,-0.6144789791107179,5.0743093585968015,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0014031553803363294,0.40771758556365967,1.5909427523612976,0.18666094094514846,0.03384228870272636,0.03384228870272636,0.30910954922437667,0.00201562992697331,0.005718750064261258,0.43086421489715576,1.0,0.009927884615384616,0.0006944711538461538,1,0.0,0.0,0.0
6,22400,-759.4037666320801,-7.594038062095642,-759.4037666320801,-7.594038062095642,0.0,759.4037666320801,7.594038062095642,51.19149208068848,0.5119144773483271,4.102887983322144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.00149717500489146,0.2656582951545715,1.58008131980896,0.11566789746284485,0.060278774797916414,0.060278774797916414,0.2309697762131691,0.0030139652422808082,0.021421875339001417,0.6116241812705994,1.0,0.00991346153846154,0.0006933653846153846,1,0.0,0.0,0.0
7,25600,-794.7243995666504,-7.947243871688843,-794.7243995666504,-7.947243871688843,0.0,794.7243995666504,7.947243871688843,15.870859146118164,0.1587086677551257,3.7382985520362855,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.001191895761457573,0.30694116055965426,1.5573052406311034,0.13686286211013793,0.0453467957675457,0.0453467957675457,0.26180911660194395,0.00244469000754236,0.010224999894853681,0.4993637204170227,1.0,0.009899038461538463,0.0006922596153846154,1,0.0,0.0,0.0
8,28800,-864.3006677627563,-8.643006258010864,-864.3006677627563,-8.643006258010864,0.0,864.3006677627563,8.643006258010864,-53.70540904998779,-0.5370537185668951,4.231495361328125,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0006102416302425695,0.3521155327558517,1.561438226699829,0.16001330614089965,0.03161753546446562,0.03161753546446562,0.2861646398901939,0.001595153524977516,0.0066656248993240295,0.5740370750427246,1.0,0.009884615384615384,0.0006911538461538461,1,0.0,0.0,0.0
9,32000,-792.7918462753296,-7.927918109893799,-792.7918462753296,-7.927918109893799,0.0,792.7918462753296,7.927918109893799,17.803412437438965,0.1780344295501699,3.906385579109192,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0008356882899676066,0.2793054446578026,1.573112154006958,0.12329011484980583,0.044049960747361186,0.044049960747361186,0.26854370087385177,0.0025214095498091917,0.015171874924271833,0.5143786072731018,1.0,0.009870192307692307,0.0006900480769230769,1,0.0,0.0,0.0
