iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate
0,3200,-810.3897304534912,-8.103897504806518,-810.3897304534912,-8.103897504806518,0.0,810.3897304534912,8.103897504806518,0.0,0.0,3.9839731287956237,0.0,0.0,-492.4297984838486,-4.924297984838486,-492.4297984838486,-4.924297984838486,100.0,2.486015872359276,0.0,0.0,492.4297984838486,0.0,32,-0.0010587857822073944,0.7031357049942016,1.6083966374397278,0.334425100684166,0.024425025470554827,0.024425025470554827,0.22869769781827926,0.001139190050889759,0.0012281249975785613,-0.5646220445632935,1.0,0.01,0.0007,1,1.0,1.0,0.0
1,6400,-781.9863061904907,-7.819862666130066,-781.9863061904907,-7.819862666130066,0.0,781.9863061904907,7.819862666130066,28.40342426300049,0.28403483867645196,4.029057035446167,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0005857418916576762,0.4060047477483749,1.6035481810569763,0.18640427738428117,0.021005423925817012,0.021005423925817012,0.2523724317550659,0.0008732855212658026,0.00010937500046566128,0.18802213668823242,1.0,0.009985576923076923,0.0006988942307692308,1,1.0,1.0,0.0
2,9600,-819.8450593948364,-8.198450565338135,-819.8450593948364,-8.198450565338135,0.0,819.8450593948364,8.198450565338135,-9.455328941345215,-0.0945530605316165,4.111103096008301,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0009862436681258302,0.47686906158924103,1.5974485158920289,0.2215198829770088,0.03386472761631012,0.03386472761631012,0.2910771772265434,0.001227323574494463,0.0011281250044703484,0.35469794273376465,1.0,0.009971153846153847,0.0006977884615384615,1,1.0,1.0,0.0
3,12800,-893.0032148361206,-8.930032320022583,-893.0032148361206,-8.930032320022583,0.0,893.0032148361206,8.930032320022583,-82.6134843826294,-0.826134815216065,4.9226621770858765,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0007023489200683741,0.49781028628349305,1.590868890285492,0.23236294686794282,0.02202291078865528,0.02202291078865528,0.27888729572296145,0.0013584969128717626,5.6249997578561305e-05,0.34377360343933105,1.0,0.00995673076923077,0.0006966826923076923,1,1.0,1.0,0.0
4,16000,-763.4052639007568,-7.634052758216858,-763.4052639007568,-7.634052758216858,0.0,763.4052639007568,7.634052758216858,46.984466552734375,0.46984474658966047,4.302472748756409,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0008760294213249864,0.3166139662265778,1.5823238015174865,0.14169900491833687,0.025986098684370518,0.025986098684370518,0.26121660470962527,0.001356159348506808,0.0009218749590218067,0.46264439821243286,1.0,0.009942307692307693,0.0006955769230769231,1,1.0,1.0,0.0
5,19200,-861.1434869766235,-8.611434640884399,-861.1434869766235,-8.611434640884399,0.0,861.1434869766235,8.611434640884399,-50.753756523132324,-0.5075371360778806,5.063478617668152,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0006587163647694183,0.42268289923667907,1.5725679516792297,0.19507045894861222,0.02228441182523966,0.02228441182523966,0.27962774485349656,0.0013250442134453261,0.0021031249780207872,0.3961085081100464,1.0,0.009927884615384616,0.0006944711538461538,1,1.0,1.0,0.0
6,22400,-752.2280988693237,-7.522281155586243,-752.2280988693237,-7.522281155586243,0.0,752.2280988693237,7.522281155586243,58.16163158416748,0.5816163492202753,4.034527547359467,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0011668307665971156,0.27041155397891997,1.5628437280654908,0.11854575499892235,0.036335679702460766,0.036335679702460766,0.2359011873602867,0.0018168333535872757,0.009631250286474824,0.5834354758262634,1.0,0.00991346153846154,0.0006933653846153846,1,1.0,1.0,0.0
7,25600,-782.4785194396973,-7.824785351753235,-782.4785194396973,-7.824785351753235,0.0,782.4785194396973,7.824785351753235,27.911211013793945,0.2791121530532834,3.6309444880485535,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0005466726835788194,0.305520111322403,1.5461745858192444,0.13690773844718934,0.02188480328768492,0.02188480328768492,0.2668464258313179,0.0010500990832956847,0.0,0.5377812385559082,1.0,0.009899038461538463,0.0006922596153846154,1,1.0,1.0,0.0
8,28800,-853.7676153182983,-8.537676105499267,-853.7676153182983,-8.537676105499267,0.0,853.7676153182983,8.537676105499267,-43.37788486480713,-0.4337786006927491,4.181427354812622,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0006886895529422787,0.3514298588037491,1.5396618366241455,0.15980727225542068,0.029204955510795116,0.029204955510795116,0.27622231394052504,0.0009984341359091191,0.0018156249076128005,0.5278549194335938,1.0,0.009884615384615384,0.0006911538461538461,1,1.0,1.0,0.0
9,32000,-778.5823192596436,-7.785823569297791,-778.5823192596436,-7.785823569297791,0.0,778.5823192596436,7.785823569297791,31.807411193847656,0.3180739355087274,3.783651599884033,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0013370880404721674,0.25219001322984697,1.554956042766571,0.10941020548343658,0.05302915908396244,0.05302915908396244,0.24059818238019942,0.002956361692486565,0.02175312481704168,0.6329616904258728,1.0,0.009870192307692307,0.0006900480769230769,1,1.0,1.0,0.0
10,35200,-706.402642250061,-7.064026260375977,-706.402642250061,-7.064026260375977,0.0,706.402642250061,7.064026260375977,103.98708820343018,1.0398712444305414,3.5036181020736694,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0010741198919021143,0.18005928248167039,1.5387580275535584,0.07378987781703472,0.037294717691838744,0.037294717691838744,0.2045891210436821,0.002172928234359047,0.011853124853223563,0.6593500375747681,1.0,0.00985576923076923,0.0006889423076923077,1,1.0,1.0,0.0
11,38400,-821.7062482833862,-8.217062110900878,-821.7062482833862,-8.217062110900878,0.0,821.7062482833862,8.217062110900878,-11.31651782989502,-0.11316460609435985,3.813035349845886,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0007072382280611577,0.27901891618967056,1.5346765279769898,0.12369893863797188,0.03321511130779982,0.03321511130779982,0.25774382799863815,0.0010040639343065253,0.0003156250109896064,0.5733083486557007,1.0,0.009841346153846154,0.0006878365384615384,1,1.0,1.0,0.0
12,41600,-852.004786491394,-8.520047616958617,-852.004786491394,-8.520047616958617,0.0,852.004786491394,8.520047616958617,-41.61505603790283,-0.4161501121520992,3.9270889496803285,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0009877930375747467,0.31499147415161133,1.5216178894042969,0.14155512154102326,0.039760297164320946,0.039760297164320946,0.2944803982973099,0.00238486835878625,0.015534374862909317,0.5115945339202881,1.0,0.009826923076923077,0.0006867307692307692,1,1.0,1.0,0.0
