iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate
0,3200,-812.2010040283203,-8.122009763717651,-812.2010040283203,-8.122009763717651,0.0,812.2010040283203,8.122009763717651,0.0,0.0,4.0148158502578735,0.0,0.0,-809.8900179862976,-8.098900179862977,-809.8900179862976,-8.098900179862977,100.0,4.421915561556816,0.0,0.0,809.8900179862976,0.0,32,-0.0010389662581502535,0.6711987257003784,1.608177947998047,0.3184786170721054,0.02077634707093239,0.02077634707093239,0.20910212099552156,0.0012477217307605547,0.0003749999916180968,-0.4926069974899292,1.0,0.01,0.0007,0,0.5,0.5,0.0
1,6400,-814.8126516342163,-8.148126182556153,-814.8126516342163,-8.148126182556153,0.0,814.8126516342163,8.148126182556153,-2.611647605895996,-0.026116418838501687,3.7614626932144164,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0008072616367016394,0.49376201927661895,1.6011083006858826,0.23008575588464736,0.024275962077081204,0.024275962077081204,0.27978276908397676,0.0011414864871769328,0.00010000000474974513,0.12676769495010376,1.0,0.009985576923076923,0.0006988942307692308,0,0.5,0.5,0.0
2,9600,-900.7709283828735,-9.007709064483642,-900.7709283828735,-9.007709064483642,0.0,900.7709283828735,9.007709064483642,-88.56992435455322,-0.8856993007659906,4.547354044914246,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.000649955368510291,0.4749255895614624,1.592074692249298,0.22093801498413085,0.02393678966909647,0.02393678966909647,0.29252119213342664,0.0009824991404460172,1.2500000593718141e-05,0.36246877908706665,1.0,0.009971153846153847,0.0006977884615384615,0,0.5,0.5,0.0
3,12800,-839.8395500183105,-8.398395376205444,-839.8395500183105,-8.398395376205444,0.0,839.8395500183105,8.398395376205444,-27.638545989990234,-0.27638561248779325,4.233732242584228,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0007174146047560726,0.4448522686958313,1.5883583188056947,0.20589386522769929,0.01868221666663885,0.01868221666663885,0.275813128054142,0.0016516910807698507,0.0017062500381143763,0.32224130630493164,1.0,0.00995673076923077,0.0006966826923076923,0,0.5,0.5,0.0
4,16000,-749.7204751968384,-7.497204422950745,-749.7204751968384,-7.497204422950745,0.0,749.7204751968384,7.497204422950745,62.480528831481934,0.6248053407669065,3.867936954498291,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0009593798954011135,0.2996025621891022,1.5845353722572326,0.1330879621207714,0.029028656147420406,0.029028656147420406,0.23638961017131804,0.0012842052474301355,0.0027000000467523933,0.534722089767456,1.0,0.009942307692307693,0.0006955769230769231,0,0.5,0.5,0.0
5,19200,-790.6230058670044,-7.906230459213257,-790.6230058670044,-7.906230459213257,0.0,790.6230058670044,7.906230459213257,21.577998161315918,0.21577930450439453,4.2760539674758915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0008037226122681318,0.3328645408153534,1.5770517349243165,0.14997176229953765,0.027979415841400623,0.027979415841400623,0.26354840844869615,0.0015068048538527533,0.005878125055460259,0.48587119579315186,1.0,0.009927884615384616,0.0006944711538461538,0,0.5,0.5,0.0
6,22400,-730.2316913604736,-7.302316617965698,-730.2316913604736,-7.302316617965698,0.0,730.2316913604736,7.302316617965698,81.96931266784668,0.8196931457519527,3.467356176376343,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0006087365203889305,0.2790763258934021,1.5728123188018799,0.1233374111354351,0.01749643124639988,0.01749643124639988,0.22667217552661895,0.001017165188750807,0.0,0.6098538637161255,1.0,0.00991346153846154,0.0006933653846153846,0,0.5,0.5,0.0
7,25600,-754.8391189575195,-7.548391485214234,-754.8391189575195,-7.548391485214234,0.0,754.8391189575195,7.548391485214234,57.36188507080078,0.5736182785034174,4.108405864238739,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.00135799608982623,0.26345672607421877,1.569182538986206,0.11483696773648262,0.04281764943152666,0.04281764943152666,0.2511798247694969,0.00211731571471362,0.013615624979138374,0.49605315923690796,1.0,0.009899038461538463,0.0006922596153846154,0,0.5,0.5,0.0
8,28800,-690.4112854003906,-6.904112863540649,-690.4112854003906,-6.904112863540649,0.0,690.4112854003906,6.904112863540649,121.78971862792969,1.217896900177002,3.468593044281006,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0007778802425249864,0.20634667128324508,1.56083642244339,0.08696718811988831,0.02421731539070606,0.02421731539070606,0.20979225337505342,0.001442117257829987,0.005456250021234154,0.6100021600723267,1.0,0.009884615384615384,0.0006911538461538461,0,0.5,0.5,0.0
9,32000,-711.3259420394897,-7.113259663581848,-711.3259420394897,-7.113259663581848,0.0,711.3259420394897,7.113259663581848,100.87506198883057,1.0087501001358028,3.547399833202362,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0008231648546818349,0.2386252149939537,1.5661522626876831,0.10303121879696846,0.027100771106779574,0.027100771106779574,0.21512937694787979,0.0014082533471087304,0.0015656250063329936,0.6075071096420288,1.0,0.009870192307692307,0.0006900480769230769,0,0.5,0.5,0.0
