iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate
0,3200,-837.5214443206787,-8.375214776992799,-837.5214443206787,-8.375214776992799,0.0,837.5214443206787,8.375214776992799,0.0,0.0,4.3401305294036865,0.0,0.0,-475.5191445350647,-4.755191445350647,-475.5191445350647,-4.755191445350647,100.0,2.901916200220585,0.0,0.0,475.5191445350647,0.0,32,-0.0016370269475743271,0.718553364276886,1.607216441631317,0.34156749248504636,0.03898468893021345,0.03898468893021345,0.2166256159543991,0.0023354408716841383,0.01027500012278324,-0.589917778968811,1.0,0.01,0.0007,2,0.25,0.25,0.0
1,6400,-833.4612722396851,-8.334612703323364,-833.4612722396851,-8.334612703323364,0.0,833.4612722396851,8.334612703323364,4.060172080993652,0.0406020736694348,4.400118160247803,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0011997687877737917,0.43991967141628263,1.5993853569030763,0.2027892827987671,0.03109397627413273,0.03109397627413273,0.2609370186924934,0.0013432596431814429,0.0031625000468920917,0.09616774320602417,1.0,0.009985576923076923,0.0006988942307692308,2,0.25,0.25,0.0
2,9600,-880.5512647628784,-8.805512447357177,-880.5512647628784,-8.805512447357177,0.0,880.5512647628784,8.805512447357177,-43.02982044219971,-0.4302976703643786,4.639855604171753,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.001315671546279873,0.5277858316898346,1.5903242349624633,0.24671987295150757,0.040087266638875005,0.040087266638875005,0.2784784734249115,0.0020329302999019397,0.011365624982863665,0.2345966100692749,1.0,0.009971153846153847,0.0006977884615384615,2,0.25,0.25,0.0
3,12800,-775.4364042282104,-7.754364066123962,-775.4364042282104,-7.754364066123962,0.0,775.4364042282104,7.754364066123962,62.08504009246826,0.6208507108688366,3.303963375091553,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.001402570403041281,0.3838427633047104,1.5812204718589782,0.17477502077817916,0.03595262132585049,0.03595262132585049,0.2710055336356163,0.0020052391097127977,0.006903125165263191,0.39663100242614746,1.0,0.00995673076923077,0.0006966826923076923,2,0.25,0.25,0.0
4,16000,-770.6447916030884,-7.706448197364807,-770.6447916030884,-7.706448197364807,0.0,770.6447916030884,7.706448197364807,66.87665271759033,0.6687665796279916,4.194012224674225,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0015147208421840475,0.3130199730396271,1.5745580196380615,0.13934052586555482,0.036064759641885755,0.036064759641885755,0.2294476091861725,0.0022224729204030633,0.01279062485555187,0.4716533422470093,1.0,0.009942307692307693,0.0006955769230769231,2,0.25,0.25,0.0
5,19200,-736.0507173538208,-7.360507206916809,-736.0507173538208,-7.360507206916809,0.0,736.0507173538208,7.360507206916809,101.47072696685791,1.0147075700759896,3.5139075660705568,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0010002804315007551,0.2475106030702591,1.5641357064247132,0.10722646340727807,0.025171937234699727,0.025171937234699727,0.23782720267772675,0.001298786302505063,0.001862500024435576,0.6228675842285156,1.0,0.009927884615384616,0.0006944711538461538,2,0.25,0.25,0.0
6,22400,-735.2118539810181,-7.35211847782135,-735.2118539810181,-7.35211847782135,0.0,735.2118539810181,7.35211847782135,102.30959033966064,1.0230962991714483,3.493820629119873,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0016535575573335848,0.2903617262840271,1.5586062788963317,0.12807612121105194,0.04036556649953127,0.04036556649953127,0.24331185966730118,0.001982793925708911,0.01346250023925677,0.5189706087112427,1.0,0.00991346153846154,0.0006933653846153846,2,0.25,0.25,0.0
7,25600,-755.2725296020508,-7.552725496292115,-755.2725296020508,-7.552725496292115,0.0,755.2725296020508,7.552725496292115,82.24891471862793,0.8224892807006841,3.2396812629699707,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0010782192265793356,0.2648154467344284,1.5611563205718995,0.11587555557489396,0.030755382589995862,0.030755382589995862,0.23568968772888182,0.0021121326208236343,0.012646874971687793,0.5403711795806885,1.0,0.009899038461538463,0.0006922596153846154,2,0.25,0.25,0.0
8,28800,-731.3754320144653,-7.3137545490264895,-731.3754320144653,-7.3137545490264895,0.0,731.3754320144653,7.3137545490264895,106.14601230621338,1.0614602279663092,3.478371572494507,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0011650297293819278,0.24127843528985976,1.565948522090912,0.10399538949131966,0.032985479570925236,0.032985479570925236,0.23561297059059144,0.0013598304991324377,0.005284374949405901,0.47955936193466187,1.0,0.009884615384615384,0.0006911538461538461,2,0.25,0.25,0.0
9,32000,-681.0022406578064,-6.810022420883179,-681.0022406578064,-6.810022420883179,0.0,681.0022406578064,6.810022420883179,156.51920366287231,1.5651923561096197,2.699907147884369,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0009764877314943021,0.1905415341258049,1.566993510723114,0.07882775291800499,0.029191942512989046,0.029191942512989046,0.21274740248918533,0.0016333048792153647,0.0067499999204301275,0.6390121579170227,1.0,0.009870192307692307,0.0006900480769230769,2,0.25,0.25,0.0
