iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-720.8961181640625,-7.208961114883423,-720.8961181640625,-7.208961114883423,0.0,720.8961181640625,7.208961114883423,0.0,0.0,4.008419435024262,0.0,0.0,-768.7673342227936,-7.687673342227936,-768.7673342227936,-7.687673342227936,100.0,5.9734788244962695,0.0,0.0,768.7673342227936,0.0,32,-0.0011094817628851672,0.6845548868179321,1.6077240705490112,0.3250907212495804,0.025924556143581867,0.025924556143581867,0.21177301555871964,0.0016944043953117417,0.0046531249769032005,-0.5185720920562744,1.0,0.01,0.0007,0,0.25,0.25,0.0,0.0,7.000723104476929,5.200566625595092,0.0,0.9313393223285675
1,6400,-720.1917715072632,-7.201917867660523,-720.1917715072632,-7.201917867660523,0.0,720.1917715072632,7.201917867660523,0.7043466567993164,0.007043247222900284,3.7842983698844908,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0007342737179598657,0.42728773057460784,1.5999568939208983,0.19693309664726258,0.022000767663121222,0.022000767663121222,0.2544306755065918,0.0013033910330706897,0.0,0.18261408805847168,1.0,0.009985576923076923,0.0006988942307692308,0,0.25,0.25,0.0,0.0,8.209257354736328,4.4329135751724245,0.0,0.896741111278534
2,9600,-816.9888315200806,-8.169887952804565,-816.9888315200806,-8.169887952804565,0.0,816.9888315200806,8.169887952804565,-96.09271335601807,-0.960926837921142,4.627804417610168,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0004691692070750264,0.4999428063631058,1.589533507823944,0.23365275263786317,0.026679513789713383,0.026679513789713383,0.29959296733140944,0.0007206077676531205,0.0,0.37035906314849854,1.0,0.009971153846153847,0.0006977884615384615,0,0.25,0.25,0.0,0.0,8.561901063919068,5.432172198295593,0.0,0.9277679026126862
3,12800,-772.868353843689,-7.7286836051940915,-772.868353843689,-7.7286836051940915,0.0,772.868353843689,7.7286836051940915,-51.972235679626465,-0.5197224903106683,4.278922228813172,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.00035331550661936716,0.4742864489555359,1.590622365474701,0.22095251083374023,0.019587446376681326,0.019587446376681326,0.2825534999370575,0.0009106047011303662,0.00013749999925494194,0.3931616544723511,1.0,0.00995673076923077,0.0006966826923076923,0,0.25,0.25,0.0,0.0,7.1678486347198485,5.25627299785614,0.0,0.9504464745521546
4,16000,-686.070839881897,-6.860708351135254,-686.070839881897,-6.860708351135254,0.0,686.070839881897,6.860708351135254,34.82527828216553,0.34825276374816916,3.9901414036750795,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0006031272995244308,0.29012419283390045,1.5931320428848266,0.12861955910921097,0.027857798151671886,0.027857798151671886,0.23374680876731874,0.000731300886764358,0.0,0.5530158281326294,1.0,0.009942307692307693,0.0006955769230769231,0,0.25,0.25,0.0,0.0,6.9217611503601075,4.953108496665955,0.0,0.9658482521772385
5,19200,-735.9225578308105,-7.359225640296936,-735.9225578308105,-7.359225640296936,0.0,735.9225578308105,7.359225640296936,-15.026439666748047,-0.15026452541351265,4.409375953674316,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0006879510187367543,0.38144773840904234,1.5846993565559386,0.17430320680141448,0.02062245216220617,0.02062245216220617,0.2846333757042885,0.0017448462294854309,0.006093750055879354,0.47948551177978516,1.0,0.009927884615384616,0.0006944711538461538,0,0.25,0.25,0.0,0.0,6.48000738620758,5.2008903169631955,0.0,0.9521875441074371
6,22400,-662.1735029220581,-6.621734914779663,-662.1735029220581,-6.621734914779663,0.0,662.1735029220581,6.621734914779663,58.722615242004395,0.5872262001037605,3.6150411438941954,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0006059831123334192,0.30182317495346067,1.5761687874794006,0.13468031510710715,0.019674650765955447,0.019674650765955447,0.2507408633828163,0.0009800434345383058,0.0019562500528991222,0.5808387994766235,1.0,0.00991346153846154,0.0006933653846153846,0,0.25,0.25,0.0,0.0,7.49610200881958,4.196829597949982,0.0,0.9445536136627197
7,25600,-692.7479639053345,-6.92747998714447,-692.7479639053345,-6.92747998714447,0.0,692.7479639053345,6.92747998714447,28.148154258728027,0.28148112773895306,4.01896867275238,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.000755412514431697,0.2914374634623528,1.5721827626228333,0.12940022274851798,0.029963709972798826,0.029963709972798826,0.26404518634080887,0.0007087102587324176,4.0625000838190314e-05,0.5280665755271912,1.0,0.009899038461538463,0.0006922596153846154,0,0.25,0.25,0.0,0.0,7.563118648529053,4.659409213066101,0.0,0.939910758137703
8,28800,-637.7668962478638,-6.377669034004211,-637.7668962478638,-6.377669034004211,0.0,637.7668962478638,6.377669034004211,83.12922191619873,0.8312920808792121,3.662053484916687,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0009145390742112625,0.22899721413850785,1.568376886844635,0.09808126538991928,0.028550292551517486,0.028550292551517486,0.20711432546377181,0.0023336562015178553,0.012296874797903002,0.6005613803863525,1.0,0.009884615384615384,0.0006911538461538461,0,0.25,0.25,0.0,0.0,6.682688179016114,4.02546425819397,0.0,0.9436161142587661
9,32000,-655.1271123886108,-6.551271443367004,-655.1271123886108,-6.551271443367004,0.0,655.1271123886108,6.551271443367004,65.76900577545166,0.6576896715164189,3.4682150220870973,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0008785044004852693,0.25648529529571534,1.5710472345352173,0.1118576057255268,0.030339511297643184,0.030339511297643184,0.22037098854780196,0.0021974360224707723,0.013693749904632568,0.4526057839393616,1.0,0.009870192307692307,0.0006900480769230769,0,0.25,0.25,0.0,0.0,6.28703462600708,4.3365250587463375,0.0,0.947366116642952
