iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-676.383994102478,-6.7638398456573485,-676.383994102478,-6.7638398456573485,0.0,676.383994102478,6.7638398456573485,0.0,0.0,3.653411591053009,0.0,0.0,-713.0751160383224,-7.130751160383224,-713.0751160383224,-7.130751160383224,100.0,4.971966515779496,0.0,0.0,713.0751160383224,0.0,32,-0.002822980069485226,0.6859889626502991,1.6058212399482727,0.3241132855415344,0.05976685732603073,0.05976685732603073,0.2003595307469368,0.0036601738538593422,0.02616249956190586,-0.5137650966644287,1.0,0.01,0.0007,3,0.0,0.0,0.0,0.0,7.998661146163941,4.196058845520019,0.0,0.9223661178350449
1,6400,-725.434362411499,-7.254343295097351,-725.434362411499,-7.254343295097351,0.0,725.434362411499,7.254343295097351,-49.050368309020996,-0.4905034494400029,4.0018366122245785,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0021468472204631437,0.5240308970212937,1.5994195103645326,0.24389747232198716,0.03804471828043461,0.03804471828043461,0.2841870203614235,0.0030711231724129774,0.01847499989598873,0.025148630142211914,1.0,0.009985576923076923,0.0006988942307692308,3,0.0,0.0,0.0,0.0,6.5107538557052616,5.056322207450867,0.0,0.9412053990364074
2,9600,-754.0119371414185,-7.540119261741638,-754.0119371414185,-7.540119261741638,0.0,754.0119371414185,7.540119261741638,-77.62794303894043,-0.7762794160842894,4.408360528945923,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0022617985540069442,0.4622224807739258,1.5921486854553222,0.2129738822579384,0.0419173501431942,0.0419173501431942,0.2683325633406639,0.0032547379203610336,0.020378124923445283,0.2886642813682556,1.0,0.009971153846153847,0.0006977884615384615,3,0.0,0.0,0.0,0.0,8.095688872337341,5.579776582717895,0.0,0.8945536124706268
3,12800,-733.1574087142944,-7.331574144363404,-733.1574087142944,-7.331574144363404,0.0,733.1574087142944,7.331574144363404,-56.773414611816406,-0.5677342987060552,4.110683665275574,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0015675724836647475,0.3822153270244598,1.584873628616333,0.17375993281602858,0.04189116545021534,0.04189116545021534,0.26130520552396774,0.0030303449675561775,0.019018750032410027,0.43129074573516846,1.0,0.00995673076923077,0.0006966826923076923,3,0.0,0.0,0.0,0.0,8.234317727088929,4.800545935630798,0.0,0.9147768318653107
4,16000,-744.3178472518921,-7.443178625106811,-744.3178472518921,-7.443178625106811,0.0,744.3178472518921,7.443178625106811,-67.93385314941406,-0.6793387794494627,4.3569833850860595,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.00193074966496809,0.3885523289442062,1.5855913639068604,0.17658097594976424,0.04400699101388454,0.04400699101388454,0.26456731408834455,0.0029772273017447614,0.022918749821837992,0.4040478467941284,1.0,0.009942307692307693,0.0006955769230769231,3,0.0,0.0,0.0,0.0,7.418066968917847,5.678765935897827,0.0,0.9051786130666732
5,19200,-694.8885583877563,-6.9488855695724485,-694.8885583877563,-6.9488855695724485,0.0,694.8885583877563,6.9488855695724485,-18.50456428527832,-0.1850457239151,3.94133362531662,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0013316872613387432,0.3483752727508545,1.5854668736457824,0.15711561739444732,0.03111448884010315,0.03111448884010315,0.2563534304499626,0.001904506472783879,0.008718750043044565,0.4657418727874756,1.0,0.009927884615384616,0.0006944711538461538,3,0.0,0.0,0.0,0.0,6.829166469573974,4.48326385974884,0.0,0.9434821891784668
6,22400,-712.7287893295288,-7.127287878990173,-712.7287893295288,-7.127287878990173,0.0,712.7287893295288,7.127287878990173,-36.34479522705078,-0.3634480333328245,4.149072422981262,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0018913222598612833,0.36144454777240753,1.5866280436515807,0.1631019741296768,0.05113836638629436,0.05113836638629436,0.26962033808231356,0.0034129168081567613,0.022596874833106996,0.42756497859954834,1.0,0.00991346153846154,0.0006933653846153846,3,0.0,0.0,0.0,0.0,8.114413180351256,4.56699047088623,0.0,0.9471875447034835
7,25600,-687.762188911438,-6.877622079849243,-687.762188911438,-6.877622079849243,0.0,687.762188911438,6.877622079849243,-11.378194808959961,-0.11378223419189482,3.7473385667800905,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0009910146043367262,0.27424446046352385,1.5827524662017822,0.12046348527073861,0.04067403525114059,0.04067403525114059,0.25651166290044786,0.00170667332713536,0.0096499996867351,0.5137958526611328,1.0,0.009899038461538463,0.0006922596153846154,3,0.0,0.0,0.0,0.0,6.333356142044067,5.150216798782349,0.0,0.9367857587337494
8,28800,-734.521243095398,-7.345212602615357,-734.521243095398,-7.345212602615357,0.0,734.521243095398,7.345212602615357,-58.13724899291992,-0.5813727569580083,4.267845869064331,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.002007047852477939,0.35387109518051146,1.5855237245559692,0.15925620943307878,0.053364076837897303,0.053364076837897303,0.27586015611886977,0.00345753672081673,0.0341187491780147,0.5193699598312378,1.0,0.009884615384615384,0.0006911538461538461,3,0.0,0.0,0.0,0.0,8.618937273025512,4.973032512664795,0.0,0.91522325694561
9,32000,-700.7818088531494,-7.007818284034729,-700.7818088531494,-7.007818284034729,0.0,700.7818088531494,7.007818284034729,-24.397814750671387,-0.24397843837738087,3.7935354328155517,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.001548226073593828,0.3276054263114929,1.5847646594047546,0.14661255478858948,0.047647890821099284,0.047647890821099284,0.2647276341915131,0.0027512162923817563,0.021762500167824328,0.38739001750946045,1.0,0.009870192307692307,0.0006900480769230769,3,0.0,0.0,0.0,0.0,8.181137022972107,4.141513237953186,0.0,0.930982186794281
