iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-752.6406297683716,-7.526406168937683,-752.6406297683716,-7.526406168937683,0.0,752.6406297683716,7.526406168937683,0.0,0.0,4.368558921813965,0.0,0.0,-569.3029478788376,-5.693029478788376,-569.3029478788376,-5.693029478788376,100.0,3.1522469386458396,0.0,0.0,569.3029478788376,0.0,32,-0.0023566613768224443,0.67586430311203,1.605416762828827,0.31952131986618043,0.054324617609381676,0.054324617609381676,0.2154941327869892,0.004127974907169145,0.018503125105053187,-0.5016344785690308,1.0,0.01,0.0007,2,0.75,0.75,0.0,0.0,8.267066583633422,4.901737627983093,0.0,0.9501339715719223
1,6400,-729.8584470748901,-7.298584537506104,-729.8584470748901,-7.298584537506104,0.0,729.8584470748901,7.298584537506104,22.782182693481445,0.22782163143157952,4.406058216094971,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0017344515549254425,0.48125928938388823,1.5915579080581665,0.2230025663971901,0.045903720706701276,0.045903720706701276,0.26605541110038755,0.0027107875270305825,0.00592500004277099,0.13519322872161865,1.0,0.009985576923076923,0.0006988942307692308,2,0.75,0.75,0.0,0.0,7.940120396614074,5.193061008453369,0.0,0.9181696850061417
2,9600,-772.7746686935425,-7.727746777534485,-772.7746686935425,-7.727746777534485,0.0,772.7746686935425,7.727746777534485,-20.1340389251709,-0.20134060859680147,4.437798156738281,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0018764083171959101,0.4952115058898926,1.5735698223114014,0.23003903925418853,0.04588424637913704,0.04588424637913704,0.2735546976327896,0.0032694246052419134,0.010584375103644562,0.28191471099853516,1.0,0.009971153846153847,0.0006977884615384615,2,0.75,0.75,0.0,0.0,7.3589715576171875,5.802817616462708,0.0,0.9541518300771713
3,12800,-638.8947415351868,-6.388947625160217,-638.8947415351868,-6.388947625160217,0.0,638.8947415351868,6.388947625160217,113.74588823318481,1.1374585437774662,3.0330456113815307,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0016945794258732328,0.3351913809776306,1.5742424607276917,0.15022680461406707,0.057313621044158936,0.057313621044158936,0.23739635646343232,0.003130436495849112,0.020884374715387823,0.38956552743911743,1.0,0.00995673076923077,0.0006966826923076923,2,0.75,0.75,0.0,0.0,7.622840299606323,3.6022395133972167,0.0,0.9211161184310913
4,16000,-654.7084860801697,-6.547085127830505,-654.7084860801697,-6.547085127830505,0.0,654.7084860801697,6.547085127830505,97.9321436882019,0.9793210411071778,3.846682896614075,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.001594360630365621,0.32464316189289094,1.5647784113883971,0.14516970962285997,0.052258696779608725,0.052258696779608725,0.21280479282140732,0.003307420296187506,0.022434374713338912,0.46354174613952637,1.0,0.009942307692307693,0.0006955769230769231,2,0.75,0.75,0.0,0.0,7.672643976211548,4.056272838115692,0.0,0.954776822924614
5,19200,-583.8945608139038,-5.838945560455322,-583.8945608139038,-5.838945560455322,0.0,583.8945608139038,5.838945560455322,168.74606895446777,1.6874606084823611,3.1351269721984862,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0011314493350568,0.22289974987506866,1.5557651042938232,0.09487296864390374,0.04468613341450691,0.04468613341450691,0.19286504089832307,0.002113834889678922,0.009959374948812183,0.6207228899002075,1.0,0.009927884615384616,0.0006944711538461538,2,0.75,0.75,0.0,0.0,6.531380758285523,3.4984838438034056,0.0,0.8808482569456101
6,22400,-588.8023948669434,-5.88802396774292,-588.8023948669434,-5.88802396774292,0.0,588.8023948669434,5.88802396774292,163.83823490142822,1.638382201194763,2.9139382600784303,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0010625590871669922,0.24950097501277924,1.5576093316078186,0.10824663117527962,0.04325173310935497,0.04325173310935497,0.21296334713697435,0.002067444004206282,0.010175000317394734,0.5471084117889404,1.0,0.00991346153846154,0.0006933653846153846,2,0.75,0.75,0.0,0.0,6.920120959281921,3.2148208570480348,0.0,0.9295089703798294
7,25600,-596.8918685913086,-5.9689184761047365,-596.8918685913086,-5.9689184761047365,0.0,596.8918685913086,5.9689184761047365,155.748761177063,1.5574876928329466,2.799509644508362,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0014564434976080064,0.23690360337495803,1.5667638897895813,0.10148590281605721,0.053242938593029976,0.053242938593029976,0.193309423327446,0.0028382665972463213,0.019418750237673522,0.49790632724761963,1.0,0.009899038461538463,0.0006922596153846154,2,0.75,0.75,0.0,0.0,6.357755417823792,3.7741185998916627,0.0,0.9558928972482681
8,28800,-588.9053173065186,-5.889052743911743,-588.9053173065186,-5.889052743911743,0.0,588.9053173065186,5.889052743911743,163.73531246185303,1.6373534250259398,2.9892939805984495,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0008561213556502522,0.23614138960838318,1.5687768578529357,0.10170781835913659,0.051799215376377106,0.051799215376377106,0.22245293706655503,0.0029001043476459946,0.025612500263378024,0.5062633752822876,1.0,0.009884615384615384,0.0006911538461538461,2,0.75,0.75,0.0,0.0,6.250880379676818,3.815409779548645,0.0,0.8933929008245468
9,32000,-579.967930316925,-5.799679203033447,-579.967930316925,-5.799679203033447,0.0,579.967930316925,5.799679203033447,172.67269945144653,1.726726965904236,2.6519273495674134,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0008813259047688149,0.21278135031461715,1.565916693210602,0.09005345180630683,0.04903747774660587,0.04903747774660587,0.19933659285306932,0.0025781404023295907,0.020793750416487455,0.5597410202026367,1.0,0.009870192307692307,0.0006900480769230769,2,0.75,0.75,0.0,0.0,6.926904668807984,3.034136335849762,0.0,0.9356696802377701
10,35200,-622.6323318481445,-6.226322979927063,-622.6323318481445,-6.226322979927063,0.0,622.6323318481445,6.226322979927063,130.00829792022705,1.3000831890106204,3.3545909118652344,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0007922095404097717,0.30497336089611055,1.5759496212005615,0.13616227731108665,0.04512889981269837,0.04512889981269837,0.23387382179498672,0.0024064081211695384,0.012815625173971057,0.39351993799209595,1.0,0.00985576923076923,0.0006889423076923077,2,0.75,0.75,0.0,0.0,6.816838812828064,3.9902239227294922,0.0,0.8888393276929856
11,38400,-651.8597211837769,-6.518597083091736,-651.8597211837769,-6.518597083091736,0.0,651.8597211837769,6.518597083091736,100.78090858459473,1.0078090858459472,3.260944766998291,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0007276405757409065,0.31052701473236083,1.5780041813850403,0.13900617882609367,0.0327114537358284,0.0327114537358284,0.2750749416649342,0.0012246142596272435,0.0032843749038875105,0.2679421901702881,1.0,0.009841346153846154,0.0006878365384615384,2,0.75,0.75,0.0,0.0,7.048414177894593,4.115456674098969,0.0,0.9421875429153442
12,41600,-776.3248062133789,-7.763248114585877,-776.3248062133789,-7.763248114585877,0.0,776.3248062133789,7.763248114585877,-23.684176445007324,-0.2368419456481936,4.361352391242981,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0011485191700401742,0.4715739399194717,1.5676476955413818,0.21923329830169677,0.059389083087444304,0.059389083087444304,0.3198008179664612,0.0027468456042701963,0.021749999665189534,0.3533959984779358,1.0,0.009826923076923077,0.0006867307692307692,2,0.75,0.75,0.0,0.0,7.830532326698303,5.391909298896789,0.0,0.9318303966522217
13,44800,-695.5314292907715,-6.95531394481659,-695.5314292907715,-6.95531394481659,0.0,695.5314292907715,6.95531394481659,57.1092004776001,0.5710922241210934,3.4094449639320374,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,-0.0009665851490517241,0.3207832545042038,1.572001087665558,0.14399977773427963,0.046654698252677915,0.046654698252677915,0.26470131129026414,0.0020333629894598573,0.012721875077113509,0.32758212089538574,1.0,0.0098125,0.000685625,2,0.75,0.75,0.0,0.0,6.622946491241455,4.175833456516266,0.0,0.9563393318653106
14,48000,-717.300745010376,-7.1730075931549075,-717.300745010376,-7.1730075931549075,0.0,717.300745010376,7.1730075931549075,35.339884757995605,0.35339857578277556,3.9637082028388977,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480,-0.0007679866869096941,0.37380980551242826,1.5778971076011659,0.1706765592098236,0.03908504173159599,0.03908504173159599,0.27856645584106443,0.0018125839749704247,0.0023687499451625627,0.3718630075454712,1.0,0.009798076923076923,0.0006845192307692307,2,0.75,0.75,0.0,0.0,7.094890298843384,4.9029111623764035,0.0,0.9336161035299301
15,51200,-678.6351919174194,-6.786351819038391,-678.6351919174194,-6.786351819038391,0.0,678.6351919174194,6.786351819038391,74.00543785095215,0.7400543498992924,3.5401029348373414,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,512,-0.0011467599412313234,0.25908527821302413,1.5682416796684264,0.11305274739861489,0.044426157511770724,0.044426157511770724,0.25479632467031477,0.0030826853391777037,0.01645937515422702,0.5138856172561646,1.0,0.009783653846153846,0.0006834134615384615,2,0.75,0.75,0.0,0.0,6.3890792798995975,5.124810571670532,0.0,0.9072768294811249
16,54400,-638.893892288208,-6.3889386844635006,-638.893892288208,-6.3889386844635006,0.0,638.893892288208,6.3889386844635006,113.74673748016357,1.1374674844741826,3.3765558385849,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,544,-0.0009706866190420272,0.19980886131525039,1.5684768676757812,0.0836109310388565,0.05100028906017542,0.05100028906017542,0.24116141647100447,0.0029161180907981477,0.02364062455453677,0.4739606976509094,1.0,0.00976923076923077,0.0006823076923076923,2,0.75,0.75,0.0,0.0,6.908095965385437,4.4365280771255495,0.0,0.8866071897745132
17,57600,-641.042950630188,-6.410429606437683,-641.042950630188,-6.410429606437683,0.0,641.042950630188,6.410429606437683,111.5976791381836,1.1159765625000002,3.282417116165161,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,576,-0.000812664216016401,0.16734806895256044,1.5683320999145507,0.06756259277462959,0.06106136180460453,0.06106136180460453,0.2203461840748787,0.001972888101591241,0.013787500257603825,0.6890528202056885,1.0,0.009754807692307693,0.000681201923076923,2,0.75,0.75,0.0,0.0,7.193203134536743,3.803517165184021,0.0,0.9074553996324539
18,60800,-607.1620373725891,-6.0716205596923825,-607.1620373725891,-6.0716205596923825,0.0,607.1620373725891,6.0716205596923825,145.47859239578247,1.4547856092453006,2.98913192987442,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,608,-0.0006526464261057185,0.12141844108700753,1.5731982707977294,0.044733017683029175,0.03793211355805397,0.03793211355805397,0.2087865762412548,0.00205505862613835,0.007115625136066228,0.7055129408836365,1.0,0.009740384615384616,0.0006800961538461538,2,0.75,0.75,0.0,0.0,6.795827264785767,3.6697349524497986,0.0,0.9303125393390655
19,64000,-609.846043586731,-6.098460297584534,-609.846043586731,-6.098460297584534,0.0,609.846043586731,6.098460297584534,142.79458618164062,1.427945871353149,3.6638084411621095,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,640,-0.0009859249494445998,0.15087026953697205,1.5738712430000306,0.059141799062490466,0.04492186084389686,0.04492186084389686,0.22876285314559935,0.0019402505087786717,0.009118749753906742,0.6423628330230713,1.0,0.00972596153846154,0.0006789903846153847,2,0.75,0.75,0.0,0.0,6.680483846664429,4.111629209518433,0.0,0.9501339799165726
20,67200,-672.6929230690002,-6.7269292116165165,-672.6929230690002,-6.7269292116165165,0.0,672.6929230690002,6.7269292116165165,79.94770669937134,0.7994769573211666,3.1512289237976074,0.0,0.0,-271.32305574417114,-2.7132305574417113,-271.32305574417114,-2.7132305574417113,100.0,1.9665647664666175,0.0,0.0,271.32305574417114,297.97989213466644,672,-0.000942479683970987,0.1625211775302887,1.5502042531967164,0.06526324003934861,0.04490357078611851,0.04490357078611851,0.2362777531147003,0.002428930804308538,0.008700000192038714,0.4889877438545227,1.0,0.009711538461538462,0.0006778846153846154,2,0.75,0.75,0.0,0.0,7.515477695465088,4.282197127342224,0.0,0.9193750447034836
