iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-719.967095375061,-7.19967101097107,-719.967095375061,-7.19967101097107,0.0,719.967095375061,7.19967101097107,0.0,0.0,4.09949581861496,0.0,0.0,-278.2890594005585,-2.782890594005585,-278.2890594005585,-2.782890594005585,100.0,1.7675696340203286,0.0,0.0,278.2890594005585,0.0,32,-0.0011754388772416747,0.6369296789169312,1.6078591465950012,0.3012108087539673,0.03119013048708439,0.03119013048708439,0.20161398723721505,0.0016258581781585467,0.003640625084517524,-0.4111241102218628,1.0,0.01,0.0007,1,1.0,1.0,0.0,0.0,7.800235929489136,4.784486155509949,0.0,0.9383036142587662
1,6400,-668.7958316802979,-6.687958035469055,-668.7958316802979,-6.687958035469055,0.0,668.7958316802979,6.687958035469055,51.171263694763184,0.5117129755020144,3.745443568229675,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0006793465407973542,0.40651424527168273,1.6022892355918885,0.1865779936313629,0.02117095272988081,0.02117095272988081,0.2394931361079216,0.0009211766862792514,0.0006218750029802322,0.23874366283416748,1.0,0.009985576923076923,0.0006988942307692308,1,1.0,1.0,0.0,0.0,7.542034754753113,4.516423807144165,0.0,0.9306696838140488
2,9600,-694.4531383514404,-6.944531669616699,-694.4531383514404,-6.944531669616699,0.0,694.4531383514404,6.944531669616699,25.513957023620605,0.25513934135437033,3.901861937046051,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0010685826640226992,0.4497197985649109,1.5922974944114685,0.20791427195072174,0.037635800428688526,0.037635800428688526,0.26762366890907285,0.0016392758880104184,0.00862187510356307,0.3546438217163086,1.0,0.009971153846153847,0.0006977884615384615,1,1.0,1.0,0.0,0.0,7.7944146203994755,4.648891749382019,0.0,0.8735714691877365
3,12800,-731.8356847763062,-7.318356971740723,-731.8356847763062,-7.318356971740723,0.0,731.8356847763062,7.318356971740723,-11.868589401245117,-0.11868596076965332,4.416937606334686,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0008491429730142386,0.48410495519638064,1.585196352005005,0.2254199579358101,0.024921508505940437,0.024921508505940437,0.28362181782722473,0.00088628077428473,7.187500013969839e-05,0.25745725631713867,1.0,0.00995673076923077,0.0006966826923076923,1,1.0,1.0,0.0,0.0,8.575754737854004,4.8975448179245,0.0,0.9434375435113906
4,16000,-639.7108383178711,-6.397108330726623,-639.7108383178711,-6.397108330726623,0.0,639.7108383178711,6.397108330726623,80.25625705718994,0.8025626802444465,3.921262466907501,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0009107275721206065,0.3094528913497925,1.5879943013191222,0.13802739158272742,0.029890982247889043,0.029890982247889043,0.23063181787729264,0.001442487923850741,0.002587500063236803,0.4437885880470276,1.0,0.009942307692307693,0.0006955769230769231,1,1.0,1.0,0.0,0.0,6.063453860282898,5.388050765991211,0.0,0.8920982539653778
5,19200,-738.1715850830078,-7.381715774536133,-738.1715850830078,-7.381715774536133,0.0,738.1715850830078,7.381715774536133,-18.204489707946777,-0.18204476356506305,4.847461647987366,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0010506691555612236,0.37708081007003785,1.5821156620979309,0.17178267389535903,0.023671972565352917,0.023671972565352917,0.28938970267772673,0.0013952974153657034,0.0034843750298023226,0.40283048152923584,1.0,0.009927884615384616,0.0006944711538461538,1,1.0,1.0,0.0,0.0,7.6873083639144895,5.583555269241333,0.0,0.9417857569456101
6,22400,-622.0186538696289,-6.220186614990235,-622.0186538696289,-6.220186614990235,0.0,622.0186538696289,6.220186614990235,97.94844150543213,0.979484395980835,3.5486193180084227,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0011228601665585814,0.2617069333791733,1.5707855343818664,0.11415868401527404,0.03523814640939236,0.03523814640939236,0.2200804680585861,0.0023133997063273177,0.016590624948730693,0.3842464089393616,1.0,0.00991346153846154,0.0006933653846153846,1,1.0,1.0,0.0,0.0,6.628956322669983,4.23478764295578,0.0,0.892276828289032
7,25600,-648.0098180770874,-6.480098543167114,-648.0098180770874,-6.480098543167114,0.0,648.0098180770874,6.480098543167114,71.95727729797363,0.7195724678039559,3.5950235152244567,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0008380869356301446,0.29433080852031707,1.56752667427063,0.13081031143665314,0.023310413397848607,0.023310413397848607,0.2622855558991432,0.0011002720759283912,0.002399999968110933,0.4632272720336914,1.0,0.009899038461538463,0.0006922596153846154,1,1.0,1.0,0.0,0.0,7.243702569007874,4.4157325506210325,0.0,0.927142898440361
8,28800,-703.5252599716187,-7.035252938270569,-703.5252599716187,-7.035252938270569,0.0,703.5252599716187,7.035252938270569,16.441835403442383,0.16441807270050113,3.7803420209884644,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.000730363638879794,0.31848537623882295,1.5572171807289124,0.1431198313832283,0.02264305092394352,0.02264305092394352,0.2597566694021225,0.001134856539647923,0.004418750014156103,0.48016494512557983,1.0,0.009884615384615384,0.0006911538461538461,1,1.0,1.0,0.0,0.0,7.195854334831238,4.78532657623291,0.0,0.9258929014205932
9,32000,-622.5442895889282,-6.225442857742309,-622.5442895889282,-6.225442857742309,0.0,622.5442895889282,6.225442857742309,97.42280578613281,0.9742281532287604,3.4392394971847535,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0012054948564852452,0.23211836069822311,1.5606151461601256,0.09945011362433434,0.037441300414502623,0.037441300414502623,0.23244281560182573,0.002734315903581337,0.016428125184029342,0.5156162977218628,1.0,0.009870192307692307,0.0006900480769230769,1,1.0,1.0,0.0,0.0,6.688438782691955,4.00071162223816,0.0,0.9420089709758759
