iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-738.1805238723755,-7.381805510520935,-738.1805238723755,-7.381805510520935,0.0,738.1805238723755,7.381805510520935,0.0,0.0,3.952911825180054,0.0,0.0,-765.3434104919434,-7.653434104919434,-765.3434104919434,-7.653434104919434,100.0,4.24043323174119,0.0,0.0,765.3434104919434,0.0,32,-0.0008010741935805754,0.6369986832141876,1.607987630367279,0.3016183912754059,0.0214900441467762,0.0214900441467762,0.2161154977977276,0.0013429086458927487,0.004493749886751175,-0.4252709150314331,1.0,0.01,0.0007,4,0.0,0.0,0.0,0.0,7.2403052711486815,5.556483941078186,0.0,0.9531250470876693
1,6400,-778.3518919944763,-7.783518943786621,-778.3518919944763,-7.783518943786621,0.0,778.3518919944763,7.783518943786621,-40.17136812210083,-0.4017134332656864,4.702401518821716,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0006767888097442664,0.447361359000206,1.6046481251716613,0.20698055177927016,0.024870332889258863,0.024870332889258863,0.25743754804134367,0.0009486067190664471,0.0,0.11955279111862183,1.0,0.009985576923076923,0.0006988942307692308,4,0.0,0.0,0.0,0.0,9.126623401641845,5.333998565673828,0.0,0.9336161077022552
2,9600,-710.1655645370483,-7.1016558122634885,-710.1655645370483,-7.1016558122634885,0.0,710.1655645370483,7.1016558122634885,28.01495933532715,0.2801496982574463,4.040781061649323,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.000707891833071983,0.35610106587409973,1.601570224761963,0.16137313693761826,0.032051424495875835,0.032051424495875835,0.23396029621362685,0.0018560669759608572,0.008659375086426734,0.41567689180374146,1.0,0.009971153846153847,0.0006977884615384615,4,0.0,0.0,0.0,0.0,7.256032638549804,4.991065087318421,0.0,0.9608036088943481
3,12800,-711.0808305740356,-7.110808234214783,-711.0808305740356,-7.110808234214783,0.0,711.0808305740356,7.110808234214783,27.099693298339844,0.27099727630615167,4.014339864253998,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.00047018490969463755,0.35109313428401945,1.599492084980011,0.1591506704688072,0.022107389569282532,0.022107389569282532,0.2694851905107498,0.0010960846972011495,0.0,0.5038003921508789,1.0,0.00995673076923077,0.0006966826923076923,4,0.0,0.0,0.0,0.0,6.756582546234131,5.0216758346557615,0.0,0.9541964733600616
4,16000,-759.9235582351685,-7.59923556804657,-759.9235582351685,-7.59923556804657,0.0,759.9235582351685,7.59923556804657,-21.74303436279297,-0.21743005752563516,4.607500853538514,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0009230654194777088,0.41155176758766177,1.5977650880813599,0.18896734714508057,0.029867423325777055,0.029867423325777055,0.2647119164466858,0.0013878108195058303,0.000534375011920929,0.3559766411781311,1.0,0.009942307692307693,0.0006955769230769231,4,0.0,0.0,0.0,0.0,8.304995641708373,5.429822359085083,0.0,0.9087500411272049
5,19200,-690.0084009170532,-6.900083832740783,-690.0084009170532,-6.900083832740783,0.0,690.0084009170532,6.900083832740783,48.172122955322266,0.4817216777801514,3.565791049003601,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.000767796594445258,0.25266662389039996,1.5866395354270935,0.10981354117393494,0.02254305500537157,0.02254305500537157,0.22293856739997864,0.0020379625595523974,0.0034406248480081556,0.6111035346984863,1.0,0.009927884615384616,0.0006944711538461538,4,0.0,0.0,0.0,0.0,7.497992539405823,4.19677895784378,0.0,0.9603125369548797
6,22400,-689.5501308441162,-6.8955012130737305,-689.5501308441162,-6.8955012130737305,0.0,689.5501308441162,6.8955012130737305,48.63039302825928,0.48630429744720427,3.6473340368270875,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0007682166349782804,0.3162999957799911,1.5789285063743592,0.14172913506627083,0.030280913040041924,0.030280913040041924,0.2610631436109543,0.0014258469811466057,0.005512500111944973,0.40138810873031616,1.0,0.00991346153846154,0.0006933653846153846,4,0.0,0.0,0.0,0.0,7.1537195634841915,4.274231476783752,0.0,0.9285268294811249
7,25600,-746.1906852722168,-7.461906604766845,-746.1906852722168,-7.461906604766845,0.0,746.1906852722168,7.461906604766845,-8.010161399841309,-0.08010109424591061,4.463818855285645,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0003392042458333799,0.3505783051252365,1.587602972984314,0.15923420786857606,0.023373255133628847,0.023373255133628847,0.2671830579638481,0.0009681766976427752,0.0020312500186264516,0.5526617765426636,1.0,0.009899038461538463,0.0006922596153846154,4,0.0,0.0,0.0,0.0,7.3224263191223145,5.75369505405426,0.0,0.903303610086441
8,28800,-714.1074333190918,-7.141074180603027,-714.1074333190918,-7.141074180603027,0.0,714.1074333190918,7.141074180603027,24.07309055328369,0.24073132991790747,4.198590898513794,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.00063536238733235,0.2816137969493866,1.593498170375824,0.1244204230606556,0.027389396354556082,0.027389396354556082,0.24661672562360765,0.0010300196769094327,0.0008562499657273293,0.5273169279098511,1.0,0.009884615384615384,0.0006911538461538461,4,0.0,0.0,0.0,0.0,7.205622520446777,5.043394384384155,0.0,0.9544196879863739
9,32000,-762.530369758606,-7.625303792953491,-762.530369758606,-7.625303792953491,0.0,762.530369758606,7.625303792953491,-24.34984588623047,-0.24349828243255622,4.595201759338379,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0015225920324560605,0.33623098731040957,1.5894278407096862,0.15090494453907013,0.03698983862996101,0.03698983862996101,0.24952999502420425,0.00225919413351221,0.00879374984651804,0.49947690963745117,1.0,0.009870192307692307,0.0006900480769230769,4,0.0,0.0,0.0,0.0,8.169528460502624,5.253612995147705,0.0,0.9562946844100952
