iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-719.2989597320557,-7.192990016937256,-719.2989597320557,-7.192990016937256,0.0,719.2989597320557,7.192990016937256,0.0,0.0,4.061413009166717,0.0,0.0,-662.3994808197021,-6.623994808197022,-662.3994808197021,-6.623994808197022,100.0,4.423921636343002,0.0,0.0,662.3994808197021,0.0,32,-0.0013591722786892024,0.7290391147136688,1.6065772414207458,0.3470946133136749,0.03671890292316675,0.03671890292316675,0.23135183230042458,0.0026990678350557575,0.010309375077486038,-0.6088840961456299,1.0,0.01,0.0007,1,0.0,0.0,0.0,0.0,7.787061619758606,4.765876884460449,0.0,0.9404464715719223
1,6400,-688.5283718109131,-6.885283918380737,-688.5283718109131,-6.885283918380737,0.0,688.5283718109131,6.885283918380737,30.770587921142578,0.307706098556519,3.9647745800018313,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0008540117832772865,0.43400422632694247,1.599856162071228,0.20017261505126954,0.03562351241707802,0.03562351241707802,0.23449833542108536,0.0022193317799974466,0.009137500263750552,0.21128219366073608,1.0,0.009985576923076923,0.0006988942307692308,1,0.0,0.0,0.0,0.0,7.718936157226563,4.704398455619812,0.0,0.9311607533693314
2,9600,-733.891224861145,-7.338912305831909,-733.891224861145,-7.338912305831909,0.0,733.891224861145,7.338912305831909,-14.592265129089355,-0.14592228889465275,4.129119338989258,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0008005733104695878,0.40421082973480227,1.6012764930725099,0.18533826470375062,0.04101530835032463,0.04101530835032463,0.24421377778053283,0.0017824735761678312,0.011587500013411045,0.36862117052078247,1.0,0.009971153846153847,0.0006977884615384615,1,0.0,0.0,0.0,0.0,8.133867597579956,4.999392986297607,0.0,0.8839732605218887
3,12800,-796.5889234542847,-7.965889520645142,-796.5889234542847,-7.965889520645142,0.0,796.5889234542847,7.965889520645142,-77.289963722229,-0.7728995037078858,4.927544374465942,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0006467822064706752,0.47199073135852815,1.599761414527893,0.2194201871752739,0.035884649492800236,0.035884649492800236,0.2798721343278885,0.0016209730008995393,0.00672499998472631,0.4499152898788452,1.0,0.00995673076923077,0.0006966826923076923,1,0.0,0.0,0.0,0.0,9.250226430892944,5.497781963348388,0.0,0.9470982605218887
4,16000,-686.2132997512817,-6.862133054733277,-686.2132997512817,-6.862133054733277,0.0,686.2132997512817,6.862133054733277,33.085659980773926,0.3308569622039794,4.365938572883606,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0008123053255637558,0.3153257131576538,1.597878384590149,0.14096394926309586,0.048068914003670214,0.048068914003670214,0.24308685064315796,0.0017113702349888626,0.009334375243633985,0.5068624019622803,1.0,0.009942307692307693,0.0006955769230769231,1,0.0,0.0,0.0,0.0,6.646293973922729,5.778561792373657,0.0,0.8865179020166397
5,19200,-782.1747741699219,-7.821747617721558,-782.1747741699219,-7.821747617721558,0.0,782.1747741699219,7.821747617721558,-62.87581443786621,-0.6287576007843017,4.92220217704773,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0008011966666089165,0.38617232739925383,1.5889220476150512,0.17651033252477646,0.03451496511697769,0.03451496511697769,0.2815346047282219,0.0015095920931344152,0.005499999830499291,0.449318528175354,1.0,0.009927884615384616,0.0006944711538461538,1,0.0,0.0,0.0,0.0,8.447139472961426,5.6328362417221065,0.0,0.9379911118745804
6,22400,-674.0724496841431,-6.740724339485168,-674.0724496841431,-6.740724339485168,0.0,674.0724496841431,6.740724339485168,45.2265100479126,0.4522656774520879,4.111774010658264,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0006337229931816068,0.24708240777254104,1.580404233932495,0.10724020376801491,0.02356221154332161,0.02356221154332161,0.22728760093450545,0.001014584247241146,0.00042812498286366464,0.5206056833267212,1.0,0.00991346153846154,0.0006933653846153846,1,0.0,0.0,0.0,0.0,7.311810097694397,4.8471832180023195,0.0,0.890357186794281
7,25600,-690.7904167175293,-6.907904300689697,-690.7904167175293,-6.907904300689697,0.0,690.7904167175293,6.907904300689697,28.508543014526367,0.28508571624755863,3.8118558144569397,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0010867049783989558,0.2673561736941338,1.57763991355896,0.11697426214814186,0.04073595758527517,0.04073595758527517,0.25176026076078417,0.002561617604078492,0.014243749785237014,0.5757917165756226,1.0,0.009899038461538463,0.0006922596153846154,1,0.0,0.0,0.0,0.0,7.684851970672607,4.77861701965332,0.0,0.9206250476837158
8,28800,-760.2457160949707,-7.602457089424133,-760.2457160949707,-7.602457089424133,0.0,760.2457160949707,7.602457089424133,-40.94675636291504,-0.4094670724868772,4.121875007152557,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.000711608831741728,0.31797662675380706,1.5873446345329285,0.14258641749620438,0.03187961466610432,0.03187961466610432,0.2776308566331863,0.002191575266624568,0.007134374836459756,0.5027159452438354,1.0,0.009884615384615384,0.0006911538461538461,1,0.0,0.0,0.0,0.0,7.991740589141846,5.194729046821594,0.0,0.9315625345706939
9,32000,-690.635594367981,-6.906356325149536,-690.635594367981,-6.906356325149536,0.0,690.635594367981,6.906356325149536,28.663365364074707,0.2866336917877197,3.8752815985679625,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.001099894739512841,0.24207465201616288,1.5881862401962281,0.10426172837615014,0.06984871830791235,0.06984871830791235,0.2539182588458061,0.0027906196031835862,0.021984375058673324,0.4444943070411682,1.0,0.009870192307692307,0.0006900480769230769,1,0.0,0.0,0.0,0.0,7.241326599121094,4.531308569908142,0.0,0.9376786136627198
