module,alpha,seed,n_iters,total_steps,train_return_late,train_return_early,train_return_delta,train_task_score,train_capture_rate,train_pursuer_dist,eval_return,eval_task_score,eval_capture,eval_pursuer_dist,explained_variance,entropy,policy_loss,value_loss,approx_kl,clipfrac,grad_norm,ratio0_max,ratio0_min,nan_count,cap_c1_participation,marginal_c1_rate,knn_c1_sighted_frac,dist_full_sight,dist_sensor_limited
attention,0.0,0,625,2000000,-427.3660510188389,-732.7239747124333,305.35792369359444,0.0003805167583390921,0.01663306451612903,2.0492117026928933,-459.75529128313065,0.0,0.0,1.6584677494317295,0.895459177993959,1.0333336550381875,-0.000329826401281187,0.009172396439938727,0.00047568610553169646,0.0025841733839173727,0.0823391341333908,1.0,1.0,0,0.0011491935483870968,0.000685483870967742,0.8619571250100289,3.1167404260173917,3.9304169056107927
attention,0.0,1,625,2000000,-448.8666012210231,-716.1943107112761,267.327709490253,7.33350596598343e-05,0.005040322580645161,2.1368136936618436,-358.2276864349842,0.0,0.0,1.6141584222647363,0.8905078662979987,0.9398208631623174,-0.00033479265052625633,0.01040598032996054,0.00048033219821207987,0.0025995463826244815,0.09450792983294491,1.0,1.0,0,0.0002318548387096774,0.0001814516129032258,0.8871220175873848,3.2852405983209603,4.140128626054332
attention,0.0,2,625,2000000,-408.68348651355313,-712.6544322736802,303.97094576012705,0.00028352260718363906,0.01965725806451613,2.158068384730046,-297.584972307086,0.0,0.0,1.9137737961485983,0.8952377150135655,0.994185171684911,-0.00032605491240462597,0.00872500022617914,0.0003869344864858298,0.001976411292173776,0.07265609065972026,1.0,1.0,0,0.0008770161290322581,0.0006300403225806453,0.8787212392687797,3.4061302260525768,3.3823284437002674
attention,0.0,3,625,2000000,-498.1848167027197,-751.253058010532,253.0682413078123,1.4392119823562904e-05,0.0015120967741935483,2.305418102174036,-444.692382350564,0.0,0.0,2.694619556590915,0.8830480267924647,1.1940552363472599,-0.00030593168665672585,0.016121746161051286,0.0005414964760004672,0.0028520161222976882,0.09015886313732589,1.0,1.0,0,4.536290322580645e-05,1.0080645161290323e-05,0.8637428393671589,3.35657720368716,4.927111110802619
attention,0.0,4,625,2000000,-416.97808736370456,-703.0288095704971,286.0507222067925,0.0006865401340835501,0.03225806451612903,2.070445068459357,-398.4991704002023,0.0,0.0,1.0014002627460286,0.9036874646140683,0.9407765388488769,-0.00034092075210290565,0.00934329018777892,0.0004073589509088654,0.0022627520093127275,0.08165732081979508,1.0,1.0,0,0.0020766129032258065,0.0013911290322580643,0.8734317797999227,3.191989732211636,3.7322579600734094
attention,0.25,0,625,2000000,55.30896208387229,-668.3451533009929,723.6541153848652,0.1620989311029409,0.8563508064516129,0.9656767587724231,68.42887996137142,0.16574812956950244,0.31625,0.9080023568589239,0.9410458178289475,0.7623175334545874,-0.0004185999765127726,0.006159037863835647,0.0005579434485587585,0.004072227820465546,0.22365534770632944,1.0,1.0,0,0.3130241935483871,0.2119758064516129,0.9209965865073667,2.6429251041551747,1.4354916082611007
attention,0.25,1,625,2000000,38.91873923665093,-681.5612565240552,720.4799957607062,0.1496926493724103,0.8523185483870968,1.0090002397772286,361.99878576025367,0.31622833816932516,0.49374999999999997,0.5615449958277168,0.9374731346484153,0.7813875382946383,-0.0004398719778498152,0.007473477821857164,0.0005984933236716956,0.004014566530649044,0.18977253187087278,1.0,1.0,0,0.2976411290322581,0.2018195564516129,0.9252931012934256,2.7216679566113218,1.4236568715615618
attention,0.25,2,625,2000000,-4.950602874880837,-626.9503730343234,621.9997701594426,0.13291241139865198,0.7893145161290323,1.038124058789784,484.45362950861454,0.375908354883282,0.60375,0.6061965727765346,0.9358188942555459,0.8118860814840562,-0.0004200979773100346,0.014109324560230247,0.0005214676931226649,0.003777923392578538,0.16643574526233051,1.0,1.0,0,0.26797883064516126,0.1830796370967742,0.918703239598582,2.6569267730511004,1.533423838769236
attention,0.25,3,625,2000000,54.709104278695676,-722.5810210243349,777.2901253030305,0.1635595900741364,0.8472782258064516,0.9508450792189086,258.98083604872227,0.19737358854708956,0.48249999999999993,1.444619676962029,0.9493271218192193,0.7268451915633294,-0.00042782636183893703,0.005341429887489638,0.0005821633502717454,0.004160282257168584,0.19880538898850633,1.0,1.0,0,0.3138205645161291,0.21255544354838712,0.9215927842932363,2.58535959020257,1.4187308986316767
attention,0.25,4,625,2000000,91.10937670305852,-624.1850104870334,715.2943871900919,0.1755996705655294,0.8946572580645161,0.9116957196665387,-67.41854450851679,0.12868644111364225,0.2225,0.7291432327625808,0.9477017127698467,0.7178822287628727,-0.0004211089066196273,0.005750493899798869,0.0005409682578819531,0.003505443553067042,0.1936350690741692,1.0,1.0,0,0.33158266129032254,0.22304435483870966,0.9240049389004708,2.5267460191273883,1.313174767708105
