iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate
0,800,24.428645372390747,0.2442863643169403,24.428645372390747,0.2442863643169403,0.0,0.0,0.0,0.0,0.0,0.5082136386632919,0.07625,0.05055649812819573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,-0.0007097461045098896,0.6227518439292907,1.609345507621765,0.29457272291183473,0.04577377513051033,0.04577377513051033,0.3874191761016846,6.254856034503754e-05,0.0,-0.2966717481613159,1.0,0.01,0.0007,0,1.0,1.0,0.375
1,1600,-44.68660640716553,-0.44686606466770173,-44.68660640716553,-0.44686606466770173,0.0,44.68660640716553,0.44686606466770173,-69.11525177955627,-0.691152428984642,0.5743660724163056,0.01375,0.00873367397894746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16,-0.00023892431521872483,0.1427438050508499,1.6089673042297363,0.05564666762948036,0.03821678906679153,0.03821678906679153,0.13111491203308107,3.914789012929809e-05,0.0,0.4233930706977844,1.0,0.009625,0.00067125,0,1.0,1.0,0.125
2,2400,-53.19791221618652,-0.5319790807366371,-53.19791221618652,-0.5319790807366371,0.0,53.19791221618652,0.5319790807366371,-77.62655758857727,-0.7762654450535774,0.5969790893793107,0.0075,0.004696367065717175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,-0.00016561989285435175,0.08289562165737152,1.6085240840911865,0.026403342187404633,0.048816397041082385,0.048816397041082385,0.20085740685462952,3.16162339914546e-05,0.0,0.6442041397094727,1.0,0.00925,0.0006425,0,1.0,1.0,0.125
3,3200,-73.32983875274658,-0.7332983526587487,-73.32983875274658,-0.7332983526587487,0.0,73.32983875274658,0.7332983526587487,-97.75848412513733,-0.9775847169756889,0.8857983678579331,0.01625,0.008617040017092749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32,-0.00032886835071259667,0.4191665887832642,1.6079245805740356,0.19498409628868102,0.04813149943947792,0.04813149943947792,0.3554229915142059,3.332452197364984e-05,0.0,0.2754215598106384,1.0,0.008875000000000001,0.00061375,0,1.0,1.0,0.125
4,4000,-15.904656887054443,-0.1590465772151947,-15.904656887054443,-0.1590465772151947,0.0,15.904656887054443,0.1590465772151947,-40.33330225944519,-0.403332941532135,0.6490465849637985,0.05,0.03032055034460876,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40,-0.0002417932230552644,0.4829405307769775,1.6075604438781739,0.2275642067193985,0.0511895477771759,0.0511895477771759,0.21802513301372528,3.3033634008582166e-05,0.0,0.17308127880096436,1.0,0.0085,0.000585,0,1.0,1.0,0.375
5,4800,-78.47856187820435,-0.7847855561971664,-78.47856187820435,-0.7847855561971664,0.0,78.47856187820435,0.7847855561971664,-102.90720725059509,-1.0290719205141068,0.7872855687141418,0.00125,0.0006993845985671497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48,-0.0002546708596249836,0.176273712515831,1.6058748483657836,0.07483445107936859,0.049276139587163925,0.049276139587163925,0.2832107782363892,2.9942511537356608e-05,0.0,0.4112110733985901,1.0,0.008125,0.00055625,0,1.0,1.0,0.125
6,5600,-69.49926167726517,-0.6949925875663757,-69.49926167726517,-0.6949925875663757,0.0,69.49926167726517,0.6949925875663757,-93.92790704965591,-0.939278951883316,0.7224925917387008,0.00375,0.0021770775781477895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56,4.212884187566601e-05,0.18820495903491974,1.6052315473556518,0.08170406371355057,0.046626581251621245,0.046626581251621245,0.3483286440372467,1.540470366323395e-05,0.0,0.26739734411239624,1.0,0.00775,0.0005275,0,1.0,1.0,0.125
7,6400,-73.65174674987793,-0.7365174621343613,-73.65174674987793,-0.7365174621343613,0.0,73.65174674987793,0.7365174621343613,-98.08039212226868,-0.9808038264513016,0.8140174770355224,0.00875,0.004823547794202789,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-9.035146319575915e-05,0.247323939204216,1.6051194190979003,0.1117338627576828,0.03600087985396385,0.03600087985396385,0.35747829675674436,1.201862519353547e-05,0.0,0.3675363063812256,1.0,0.007375,0.00049875,0,1.0,1.0,0.125
8,7200,-43.03851532936096,-0.43038522720336914,-43.03851532936096,-0.43038522720336914,0.0,43.03851532936096,0.43038522720336914,-67.46716070175171,-0.6746715915203094,0.7203852391242981,0.03,0.017437954777658086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72,-0.00016191430636292026,0.6635254263877869,1.6049959659576416,0.32036582231521604,0.053622215241193774,0.053622215241193774,0.26813225746154784,1.1647912242708594e-05,0.0,0.2154209017753601,1.0,0.007,0.00047000000000000004,0,1.0,1.0,0.25
9,8000,-4.747785329818726,-0.047477951645851134,-4.747785329818726,-0.047477951645851134,0.0,4.747785329818726,0.047477951645851134,-29.176430702209473,-0.29176431596279145,0.5749779617786408,0.05375,0.034127461656225024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80,-0.0002597430572107706,0.5409742832183838,1.6047975063323974,0.2595956206321716,0.046316858381032944,0.046316858381032944,0.326250958442688,2.0221663362641824e-05,0.0,0.0027205348014831543,1.0,0.006625,0.00044125,0,1.0,1.0,0.625
10,8800,-81.55090546607971,-0.8155090394616127,-81.55090546607971,-0.8155090394616127,0.0,81.55090546607971,0.8155090394616127,-105.97955083847046,-1.059795403778553,0.8305090492963791,0.0025,0.0013657403119427152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,-0.00014886578095314463,0.2387124627828598,1.6051361322402955,0.10917526483535767,0.059568747878074646,0.059568747878074646,0.3719284415245056,1.6933635243008873e-05,0.0,0.35788965225219727,1.0,0.0062499999999999995,0.0004125,0,1.0,1.0,0.125
11,9600,-18.770130157470703,-0.18770121037960052,-18.770130157470703,-0.18770121037960052,0.0,18.770130157470703,0.18770121037960052,-43.19877552986145,-0.4319875746965408,0.5902012240886688,0.04125,0.025940113348636135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.00020346573992480188,0.6818862199783325,1.6051012992858886,0.3313096821308136,0.04682659655809403,0.04682659655809403,0.32735502123832705,3.0131815856484205e-05,0.0,-0.0069446563720703125,1.0,0.005875,0.00038375000000000003,0,1.0,1.0,0.25
12,10400,-33.505940675735474,-0.3350594383478165,-33.505940675735474,-0.3350594383478165,0.0,33.505940675735474,0.3350594383478165,-57.93458604812622,-0.5793458026647568,0.5750594431161881,0.025,0.015872416821639798,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104,-0.000521211902106522,0.40334159731864927,1.6052678108215332,0.1923206090927124,0.08635035157203674,0.08635035157203674,0.1856728971004486,4.379526390056121e-05,0.0,-0.006306767463684082,1.0,0.0055,0.000355,0,1.0,1.0,0.25
