iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,800,-92.57151222229004,-0.9257150733470917,-92.57151222229004,-0.9257150733470917,0.0,92.57151222229004,0.9257150733470917,0.0,0.0,0.5689006170630455,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,-0.0007147266751154291,0.6729267239570618,1.6093063592910766,0.3196555733680725,0.04518600553274155,0.04518600553274155,0.2750623047351837,0.00011203381181986813,0.0,-0.3867865800857544,1.0,0.01,0.0007,0,1.0,1.0,0.0,0.0,0.6381934070587159,0.8889230537414551,0.0,1.0
1,1600,-79.01927328109741,-0.7901926970481873,-79.01927328109741,-0.7901926970481873,0.0,79.01927328109741,0.7901926970481873,13.552238941192627,0.1355223762989044,0.41768645972013474,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16,-0.0002093371819228196,0.37004919052124025,1.6088990211486816,0.16932960152626036,0.04452439695596695,0.04452439695596695,0.32473754286766054,4.337003774712223e-05,0.0,0.15621799230575562,1.0,0.009625,0.00067125,0,1.0,1.0,0.0,0.0,0.4910560756921768,0.6295743763446808,0.0,1.0
2,2400,-90.35859441757202,-0.9035859549045563,-90.35859441757202,-0.9035859549045563,0.0,90.35859441757202,0.9035859549045563,2.2129178047180176,0.0221291184425354,0.47311148583889007,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,-0.00011509439690797763,0.5587821722030639,1.6079111576080323,0.26440281271934507,0.029238155484199523,0.029238155484199523,0.4790764331817627,2.8242935786755297e-05,0.0,-0.02223050594329834,1.0,0.00925,0.0006425,0,1.0,1.0,0.0,0.0,0.5516764178872109,0.8040560472011566,0.0,1.0
3,3200,-80.84831666946411,-0.808483117222786,-80.84831666946411,-0.808483117222786,0.0,80.84831666946411,0.808483117222786,11.723195552825928,0.1172319561243057,0.42653273105621337,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32,-0.00020676002472157505,0.4783221960067749,1.6077147722244263,0.22468587160110473,0.03666319251060486,0.03666319251060486,0.39508991241455077,2.5988104425861637e-05,0.0,0.21429812908172607,1.0,0.008875000000000001,0.00061375,0,1.0,1.0,0.0,0.0,0.5318298649787903,0.7410571002960205,0.0,1.0
4,4000,-76.21266889572144,-0.762126635313034,-76.21266889572144,-0.762126635313034,0.0,76.21266889572144,0.762126635313034,16.358843326568604,0.16358843803405765,0.356121823489666,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40,-0.00014157061367825463,0.38187798857688904,1.6073914051055909,0.17713459730148315,0.035930934548377993,0.035930934548377993,0.309299236536026,2.524581577757914e-05,0.0,0.1873866319656372,1.0,0.0085,0.000585,0,1.0,1.0,0.0,0.0,0.42310094147920607,0.7198827189207077,0.0,1.0
5,4800,-84.98364686965942,-0.8498364055156707,-84.98364686965942,-0.8498364055156707,0.0,84.98364686965942,0.8498364055156707,7.587865352630615,0.07587866783142094,0.4478869241476059,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48,-0.00019307453912347227,0.4706533789634705,1.6063366889953614,0.22208212614059447,0.04065652415156364,0.04065652415156364,0.49125823974609373,2.512264427437252e-05,0.0,0.07135194540023804,1.0,0.008125,0.00055625,0,1.0,1.0,0.0,0.0,0.6044355458021164,0.6411155897378922,0.0,1.0
6,5600,-76.1565294265747,-0.7615653091669082,-76.1565294265747,-0.7615653091669082,0.0,76.1565294265747,0.7615653091669082,16.414982795715332,0.16414976418018346,0.4278547117114067,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56,-0.00025009335612438124,0.26364030241966246,1.6051751136779786,0.1191299557685852,0.04674726575613022,0.04674726575613022,0.3320306658744812,4.166296894269301e-05,0.0,0.39373379945755005,1.0,0.00775,0.0005275,0,1.0,1.0,0.0,0.0,0.5614516803622246,0.6570224744081498,0.0,1.0
7,6400,-99.1255555152893,-0.9912555712461472,-99.1255555152893,-0.9912555712461472,0.0,99.1255555152893,0.9912555712461472,-6.554043292999268,-0.06554049789905547,0.48390244096517565,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.00023446068594931146,0.5646823287010193,1.6030107021331788,0.27028449177742003,0.034412676095962526,0.034412676095962526,0.38270904421806334,4.3972703042731e-05,0.0,0.2787570357322693,1.0,0.007375,0.00049875,0,1.0,1.0,0.0,0.0,0.6849193751811982,0.8354534131288528,0.0,1.0
8,7200,-83.74022340774536,-0.8374022912979125,-83.74022340774536,-0.8374022912979125,0.0,83.74022340774536,0.8374022912979125,8.831288814544678,0.08831278204917914,0.40725822001695633,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72,-0.0002465347712970356,0.32847251892089846,1.6031168460845948,0.15276790857315065,0.04378146305680275,0.04378146305680275,0.36038288474082947,3.961613829251576e-05,0.0,0.3890937566757202,1.0,0.007,0.00047000000000000004,0,1.0,1.0,0.0,0.0,0.47788150370121,0.6339199560880661,0.0,1.0
9,8000,-98.5884370803833,-0.9858843487501144,-98.5884370803833,-0.9858843487501144,0.0,98.5884370803833,0.9858843487501144,-6.016924858093262,-0.06016927540302275,0.620392878651619,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80,-0.00041107325067315517,0.49449806213378905,1.6014676094055176,0.23622823655605316,0.05515188351273537,0.05515188351273537,0.4501354515552521,5.168953211998115e-05,0.0,0.11544394493103027,1.0,0.006625,0.00044125,0,1.0,1.0,0.0,0.0,0.7470529305934906,0.8447349715232849,0.0,1.0
