iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-91.6983894109726,-0.9169838696718215,-91.6983894109726,-0.9169838696718215,0.0,91.6983894109726,0.9169838696718215,0.0,0.0,4.023256886005401,0.0,0.0,-112.412054002285,-1.12412054002285,-112.412054002285,-1.12412054002285,100.0,5.453307597637177,0.0,0.0,112.412054002285,0.0,32,-0.002631705569336873,0.6601402282714843,1.605744194984436,0.3113809645175934,0.053569221124053004,0.053569221124053004,0.19306745529174804,0.003566306554421353,0.01925937570631504,-0.45868754386901855,1.0,0.01,0.0007,0,0.5,0.5,0.0,0.0,nan,4.023256886005401,0.0,nan
1,6400,-91.82577192783356,-0.9182577335834503,-91.82577192783356,-0.9182577335834503,0.0,91.82577192783356,0.9182577335834503,-0.12738251686096191,-0.0012738639116287587,3.817914640903473,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0021050050627440696,0.46344555616378785,1.6033336520195007,0.21360756009817122,0.04240855611860752,0.04240855611860752,0.25707563012838364,0.003125169407576613,0.017362499957380352,0.09524673223495483,1.0,0.009985576923076923,0.0006988942307692308,0,0.5,0.5,0.0,0.0,nan,3.817914640903473,0.0,nan
2,9600,-99.62699377536774,-0.9962699550390244,-99.62699377536774,-0.9962699550390244,0.0,99.62699377536774,0.9962699550390244,-7.928604364395142,-0.07928608536720283,4.530867381095886,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0015671296069282193,0.44971439242362976,1.5999085068702699,0.2073371320962906,0.03532846719026565,0.03532846719026565,0.2914129838347435,0.002515701665106744,0.012606249994132668,0.37037211656570435,1.0,0.009971153846153847,0.0006977884615384615,0,0.5,0.5,0.0,0.0,nan,4.530867381095886,0.0,nan
3,12800,-95.77080392837524,-0.9577080059051514,-95.77080392837524,-0.9577080059051514,0.0,95.77080392837524,0.9577080059051514,-4.072414517402649,-0.04072413623332982,4.288824367523193,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0010788371310077594,0.4590405374765396,1.5989847660064698,0.21252077221870422,0.030227377265691757,0.030227377265691757,0.30439754873514174,0.001331797401144589,0.002634375015622936,0.3873061537742615,1.0,0.00995673076923077,0.0006966826923076923,0,0.5,0.5,0.0,0.0,nan,4.288824367523193,0.0,nan
4,16000,-86.61182200908661,-0.8661182063817978,-86.61182200908661,-0.8661182063817978,0.0,86.61182200908661,0.8661182063817978,5.086567401885986,0.05086566329002373,3.937435898780823,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0012958219602936083,0.2860690370202065,1.5947985887527465,0.12588271498680115,0.03936848044395447,0.03936848044395447,0.24465630948543549,0.0021240396188662997,0.010396874987054616,0.5930722951889038,1.0,0.009942307692307693,0.0006955769230769231,0,0.5,0.5,0.0,0.0,nan,3.937435898780823,0.0,nan
5,19200,-94.5736540555954,-0.9457365489006042,-94.5736540555954,-0.9457365489006042,0.0,94.5736540555954,0.9457365489006042,-2.8752646446228027,-0.028752679228782663,4.53334499835968,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0011375396649754067,0.3893722712993622,1.588321828842163,0.1777799218893051,0.030156632512807847,0.030156632512807847,0.29959824681282043,0.002048922012182119,0.007643750053830445,0.4724157452583313,1.0,0.009927884615384616,0.0006944711538461538,0,0.5,0.5,0.0,0.0,nan,4.53334499835968,0.0,nan
6,22400,-90.54524159431458,-0.905452396273613,-90.54524159431458,-0.905452396273613,0.0,90.54524159431458,0.905452396273613,1.15314781665802,0.011531473398208592,4.124293615818024,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.001692032992397685,0.3419255822896957,1.583909034729004,0.15356873571872712,0.04313177615404129,0.04313177615404129,0.26014437079429625,0.0024845756015570023,0.014540624978690176,0.5581300258636475,1.0,0.00991346153846154,0.0006933653846153846,0,0.5,0.5,0.0,0.0,nan,4.124293615818024,0.0,nan
7,25600,-87.9593585729599,-0.8795936191082001,-87.9593585729599,-0.8795936191082001,0.0,87.9593585729599,0.8795936191082001,3.7390308380126953,0.03739025056362144,4.2285148668289185,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0021810167911226587,0.25781413465738295,1.572626805305481,0.1111585557460785,0.04982587769627571,0.04982587769627571,0.23865262567996978,0.003538683202351014,0.03103124995250255,0.6591676473617554,1.0,0.009899038461538463,0.0006922596153846154,0,0.5,0.5,0.0,0.0,nan,4.2285148668289185,0.0,nan
8,28800,-84.91726922988892,-0.8491727358102799,-84.91726922988892,-0.8491727358102799,0.0,84.91726922988892,0.8491727358102799,6.781120181083679,0.0678111338615417,4.054454343318939,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0018538232616265304,0.2335293024778366,1.574109721183777,0.09935135915875434,0.03775601275265217,0.03775601275265217,0.2365306258201599,0.0027014907675044276,0.01969062513380777,0.6095183491706848,1.0,0.009884615384615384,0.0006911538461538461,0,0.5,0.5,0.0,0.0,nan,4.054454343318939,0.0,nan
9,32000,-86.64003777503967,-0.8664003527164459,-86.64003777503967,-0.8664003527164459,0.0,86.64003777503967,0.8664003527164459,5.058351635932922,0.05058351695537566,3.757894022464752,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0017172578889173451,0.2675342321395874,1.5637601256370544,0.11661524474620819,0.035363109596073625,0.035363109596073625,0.26022891998291015,0.001930984263163412,0.010540624916029629,0.5323234796524048,1.0,0.009870192307692307,0.0006900480769230769,0,0.5,0.5,0.0,0.0,nan,3.757894022464752,0.0,nan
