iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate,capture_c1_participation,dist_full_sight,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac
0,3200,-91.76392114162445,-0.9176391708850861,-91.76392114162445,-0.9176391708850861,0.0,91.76392114162445,0.9176391708850861,0.0,0.0,4.016974170207977,0.0,0.0,-97.16159489750862,-0.9716159489750862,-97.16159489750862,-0.9716159489750862,100.0,6.355139890909195,0.0,0.0,97.16159489750862,0.0,32,-0.001459050989849686,0.6593541264533996,1.6063393115997315,0.31215461790561677,0.04379400238394737,0.04379400238394737,0.1924279198050499,0.0029244858393213044,0.012393750157207251,-0.45703864097595215,1.0,0.01,0.0007,0,0.25,0.25,0.0,0.0,nan,4.016974170207977,0.0,nan
1,6400,-90.99672675132751,-0.9099672520160675,-90.99672675132751,-0.9099672520160675,0.0,90.99672675132751,0.9099672520160675,0.767194390296936,0.007671918869018524,3.8471760630607603,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.0012117077266339039,0.45109187066555023,1.6033262014389038,0.2083240881562233,0.04025258496403694,0.04025258496403694,0.25201848745346067,0.003069387725554615,0.011406249925494194,0.10813730955123901,1.0,0.009985576923076923,0.0006988942307692308,0,0.25,0.25,0.0,0.0,nan,3.8471760630607603,0.0,nan
2,9600,-101.85451114177704,-1.0185451340675353,-101.85451114177704,-1.0185451340675353,0.0,101.85451114177704,1.0185451340675353,-10.090590000152588,-0.10090596318244927,4.602504010200501,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.000809807875327806,0.46193240880966185,1.6016469240188598,0.214186130464077,0.02831319123506546,0.02831319123506546,0.2975019544363022,0.0014277526759544708,0.0021937500219792127,0.3691829442977905,1.0,0.009971153846153847,0.0006977884615384615,0,0.25,0.25,0.0,0.0,nan,4.602504010200501,0.0,nan
3,12800,-96.42612612247467,-0.9642612546682358,-96.42612612247467,-0.9642612546682358,0.0,96.42612612247467,0.9642612546682358,-4.66220498085022,-0.04662208378314969,4.180732500553131,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.0009714944654902524,0.45375293791294097,1.5981468677520752,0.20999265760183333,0.048107534646987915,0.048107534646987915,0.3031857818365097,0.0028720750240611532,0.015925000185961834,0.3846668601036072,1.0,0.00995673076923077,0.0006966826923076923,0,0.25,0.25,0.0,0.0,nan,4.180732500553131,0.0,nan
4,16000,-85.84982180595398,-0.85849824488163,-85.84982180595398,-0.85849824488163,0.0,85.84982180595398,0.85849824488163,5.914099335670471,0.05914092600345611,3.9098065280914307,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0007503096098020023,0.2782373309135437,1.5920750498771667,0.1225394569337368,0.03855267260223627,0.03855267260223627,0.23916471153497695,0.002277759696153506,0.010837500065099448,0.5762310028076172,1.0,0.009942307692307693,0.0006955769230769231,0,0.25,0.25,0.0,0.0,nan,3.9098065280914307,0.0,nan
5,19200,-91.80966746807098,-0.9180966442823411,-91.80966746807098,-0.9180966442823411,0.0,91.80966746807098,0.9180966442823411,-0.0457463264465332,-0.0004574733972549927,4.445295534133911,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.0003372761222884435,0.36276735961437223,1.5959217429161072,0.16520227640867233,0.02214143015444279,0.02214143015444279,0.2906072437763214,0.0014054258623221593,0.004090625024400651,0.46326130628585815,1.0,0.009927884615384616,0.0006944711538461538,0,0.25,0.25,0.0,0.0,nan,4.445295534133911,0.0,nan
6,22400,-86.22481083869934,-0.8622481101751327,-86.22481083869934,-0.8622481101751327,0.0,86.22481083869934,0.8622481101751327,5.53911030292511,0.055391060709953366,3.602642867565155,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.0006049703340451629,0.30171991884708405,1.5973927140235902,0.13441929668188096,0.030754617974162103,0.030754617974162103,0.23817093968391417,0.0020687522523078557,0.007637499927659519,0.5701960325241089,1.0,0.00991346153846154,0.0006933653846153846,0,0.25,0.25,0.0,0.0,nan,3.602642867565155,0.0,nan
7,25600,-86.57198941707611,-0.8657199174165726,-86.57198941707611,-0.8657199174165726,0.0,86.57198941707611,0.8657199174165726,5.19193172454834,0.05191925346851345,4.0595594811439515,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0010310867688858138,0.2509670466184616,1.5916015744209289,0.10869710892438889,0.0515157338231802,0.0515157338231802,0.2430466815829277,0.00307484923178009,0.02227187491953373,0.6247246861457825,1.0,0.009899038461538463,0.0006922596153846154,0,0.25,0.25,0.0,0.0,nan,4.0595594811439515,0.0,nan
8,28800,-83.05947458744049,-0.8305947190523147,-83.05947458744049,-0.8305947190523147,0.0,83.05947458744049,0.8305947190523147,8.70444655418396,0.08704445183277132,3.6913971734046935,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.00041505548336129294,0.22635783404111862,1.5904034614562987,0.0970433346927166,0.030214115418493746,0.030214115418493746,0.22927863597869874,0.0015934976538122566,0.005468750080763129,0.5858296155929565,1.0,0.009884615384615384,0.0006911538461538461,0,0.25,0.25,0.0,0.0,nan,3.6913971734046935,0.0,nan
9,32000,-87.90260946750641,-0.8790260571241378,-87.90260946750641,-0.8790260571241378,0.0,87.90260946750641,0.8790260571241378,3.861311674118042,0.038613113760948226,3.880553081035614,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0004255967001171257,0.29251431226730346,1.5930239319801331,0.13010810911655427,0.03331936672329903,0.03331936672329903,0.2682290837168694,0.0013877763925850973,0.0037156250327825546,0.4900692105293274,1.0,0.009870192307692307,0.0006900480769230769,0,0.25,0.25,0.0,0.0,nan,3.880553081035614,0.0,nan
10,35200,-77.72706758975983,-0.7772706669569015,-77.72706758975983,-0.7772706669569015,0.0,77.72706758975983,0.7772706669569015,14.036853551864624,0.14036850392818456,3.358035776615143,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0006466574740883857,0.14953182265162468,1.59422869682312,0.05840690284967422,0.04513059612363577,0.04513059612363577,0.20003269910812377,0.0019115931456329467,0.01427499986020848,0.7420375347137451,1.0,0.00985576923076923,0.0006889423076923077,0,0.25,0.25,0.0,0.0,nan,3.358035776615143,0.0,nan
11,38400,-88.88948667049408,-0.8888948422670364,-88.88948667049408,-0.8888948422670364,0.0,88.88948667049408,0.8888948422670364,2.874434471130371,0.028744328618049653,4.277785885334015,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0006630857460784512,0.3089838564395905,1.5881817936897278,0.13819899335503577,0.04398347269743681,0.04398347269743681,0.2585867464542389,0.002648798060545524,0.019175000066752546,0.5329995155334473,1.0,0.009841346153846154,0.0006878365384615384,0,0.25,0.25,0.0,0.0,nan,4.277785885334015,0.0,nan
12,41600,-89.94284653663635,-0.8994284564256668,-89.94284653663635,-0.8994284564256668,0.0,89.94284653663635,0.8994284564256668,1.8210746049880981,0.01821071445941924,4.075215170383453,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0006274093585613372,0.2514978498220444,1.5925347805023193,0.10947179868817329,0.03171110115945339,0.03171110115945339,0.2629492409527302,0.001747060562775317,0.004184375121258199,0.5445989370346069,1.0,0.009826923076923077,0.0006867307692307692,0,0.25,0.25,0.0,0.0,nan,4.075215170383453,0.0,nan
