module,alpha,seed,num_iters,ratio_min,ratio_max,nan_core_rows,explained_variance,eval_capture,capture_rate
identity,0.25,0,625,1.000000,1.000000,0,0.9757,0.2487,0.2822
identity,0.25,1,625,1.000000,1.000000,0,0.9797,0.2238,0.2421
identity,0.25,2,625,1.000000,1.000000,0,0.9319,0.4637,0.1751
identity,0.25,3,625,1.000000,1.000000,0,0.9737,0.0938,0.2426
identity,0.25,4,625,1.000000,1.000000,0,0.9781,0.1100,0.2505
identity,0.5,0,625,1.000000,1.000000,0,0.9676,0.2650,0.6791
identity,0.5,1,625,1.000000,1.000000,0,0.9641,0.3750,0.7188
identity,0.5,2,625,1.000000,1.000000,0,0.9657,0.4925,0.5769
identity,0.5,3,625,1.000000,1.000000,0,0.9694,0.2850,0.6786
identity,0.5,4,625,1.000000,1.000000,0,0.9674,0.1413,0.7361
attention,0.25,0,625,1.000000,1.000000,0,0.9725,0.2650,0.3666
attention,0.25,1,625,1.000000,1.000000,0,0.9214,0.0000,0.0228
attention,0.25,2,625,1.000000,1.000000,0,0.9639,0.3275,0.3497
attention,0.25,3,625,1.000000,1.000000,0,0.9587,0.1450,0.1627
attention,0.25,4,625,1.000000,1.000000,0,0.9545,0.0200,0.2659
attention,0.5,0,625,1.000000,1.000000,0,0.9772,0.0000,0.3011
attention,0.5,1,625,1.000000,1.000000,0,0.9827,0.0000,0.3527
attention,0.5,2,625,1.000000,1.000000,0,0.9640,0.0700,0.1483
attention,0.5,3,625,1.000000,1.000000,0,0.9753,0.0800,0.3438
attention,0.5,4,625,1.000000,1.000000,0,0.9795,0.1350,0.3641
attention_zm,0.25,0,625,1.000000,1.000000,0,0.9716,0.2562,0.3160
attention_zm,0.25,1,625,1.000000,1.000000,0,0.9764,0.0675,0.2748
attention_zm,0.25,2,625,1.000000,1.000000,0,0.9758,0.2475,0.2698
attention_zm,0.25,3,625,1.000000,1.000000,0,0.9168,0.0000,0.0928
attention_zm,0.25,4,625,1.000000,1.000000,0,0.9833,0.1075,0.3571
attention_zm,0.5,0,625,1.000000,1.000000,0,0.9658,0.2650,0.6181
attention_zm,0.5,1,625,1.000000,1.000000,0,0.9756,0.0013,0.1245
attention_zm,0.5,2,625,1.000000,1.000000,0,0.9665,0.4950,0.6319
attention_zm,0.5,3,625,1.000000,1.000000,0,0.9692,0.2850,0.6498
attention_zm,0.5,4,625,1.000000,1.000000,0,0.9780,0.1375,0.5412
