iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,alpha,env_alpha,capture_rate
0,3200,-283.3606935739517,-2.833606925010681,-283.3606935739517,-2.833606925010681,0.0,283.3606935739517,2.833606925010681,0.0,0.0,2.823606870174408,0.0,0.0,-176.72426760196686,-1.7672426760196687,-176.72426760196686,-1.7672426760196687,100.0,1.7572426855564118,0.0,0.0,176.72426760196686,0.0,32,-0.0013729458470596255,0.7316803336143494,1.6074068784713744,0.3483931511640549,0.028868523612618446,0.028868523612618446,0.2861915916204453,0.0020087742988835304,0.005212500132620335,-0.624752402305603,1.0,0.01,0.0007,2,0.75,0.75,0.0
1,6400,-226.64340209960938,-2.266434044837952,-226.64340209960938,-2.266434044837952,0.0,226.64340209960938,2.266434044837952,56.717291474342346,0.5671728801727292,2.2970590353012086,0.0040625,0.00123215870765531,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.001364788405248163,0.3636241167783737,1.59899799823761,0.1644803524017334,0.03938013240695,0.03938013240695,0.23932806998491288,0.0015898878678856031,0.0033312500454485416,0.23416191339492798,1.0,0.009985576923076923,0.0006988942307692308,2,0.75,0.75,0.03125
2,9600,-232.65659792721272,-2.326565990447998,-232.65659792721272,-2.326565990447998,0.0,232.65659792721272,2.326565990447998,50.704095646739006,0.5070409345626832,2.33531596660614,0.001875,0.0005621656295154283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,-0.0009463075836826818,0.46361528933048246,1.5875505685806275,0.21503162235021592,0.031222796998918056,0.031222796998918056,0.28410046845674514,0.0016476958102432826,0.0029937499202787876,0.22282671928405762,1.0,0.009971153846153847,0.0006977884615384615,2,0.75,0.75,0.0625
3,12800,-226.98313802480698,-2.2698313200473788,-226.98313802480698,-2.2698313200473788,0.0,226.98313802480698,2.2698313200473788,56.377555549144745,0.5637756049633023,2.4004563164710997,0.0140625,0.004135474386741623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,-0.001122944085661004,0.5387629091739654,1.565143918991089,0.25267478823661804,0.03605450727045536,0.03605450727045536,0.29580979198217394,0.0017095527258792795,0.006968749966472387,0.1473577618598938,1.0,0.00995673076923077,0.0006966826923076923,2,0.75,0.75,0.09375
4,16000,-241.31522941589355,-2.413152327537537,-241.31522941589355,-2.413152327537537,0.0,241.31522941589355,2.413152327537537,42.04546415805817,0.4204545974731442,2.4031523084640503,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,-0.0006394204603481057,0.3325893014669418,1.5600589275360108,0.1501446396112442,0.030166262201964854,0.030166262201964854,0.24966110438108444,0.0011137468642123157,0.0010374999837949872,0.33104079961776733,1.0,0.009942307692307693,0.0006955769230769231,2,0.75,0.75,0.0
5,19200,-293.2039748430252,-2.9320396828651427,-293.2039748430252,-2.9320396828651427,0.0,293.2039748430252,2.9320396828651427,-9.843281269073486,-0.0984327578544617,2.922039647102356,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,-0.001524410979018853,0.4843225657939911,1.5704171061515808,0.22504595369100572,0.0404879093170166,0.0404879093170166,0.3143996879458427,0.0022728167714380796,0.01025000015506521,0.27086520195007324,1.0,0.009927884615384616,0.0006944711538461538,2,0.75,0.75,0.0
6,22400,-275.33454993367195,-2.7533454751968383,-275.33454993367195,-2.7533454751968383,0.0,275.33454993367195,2.7533454751968383,8.02614364027977,0.08026144981384276,2.755845422744751,0.00125,0.00033281454887099874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224,-0.00096488792165772,0.33643223345279694,1.5557460188865662,0.1518284022808075,0.03572222553193569,0.03572222553193569,0.2731561899185181,0.0022614630383036194,0.007650000089779496,0.5342391729354858,1.0,0.00991346153846154,0.0006933653846153846,2,0.75,0.75,0.03125
7,25600,-285.84343671798706,-2.8584343910217287,-285.84343671798706,-2.8584343910217287,0.0,285.84343671798706,2.8584343910217287,-2.4827431440353394,-0.024827466011047683,2.848434340953827,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256,-0.0010380383967074636,0.3114375501871109,1.535912001132965,0.13947668448090553,0.028777197003364563,0.028777197003364563,0.283927021920681,0.00157894182375509,0.003568750061094761,0.4345405101776123,1.0,0.009899038461538463,0.0006922596153846154,2,0.75,0.75,0.0
8,28800,-227.39138060808182,-2.2739137423038485,-227.39138060808182,-2.2739137423038485,0.0,227.39138060808182,2.2739137423038485,55.969312965869904,0.5596931827068325,2.2889137291908264,0.0025,0.0007601293940340224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,288,-0.0007591412304755352,0.2669615998864174,1.5220867037773131,0.11767641752958298,0.03209807369858027,0.03209807369858027,0.26358057707548144,0.0014560963638365128,0.004425000003539026,0.034660518169403076,1.0,0.009884615384615384,0.0006911538461538461,2,0.75,0.75,0.03125
9,32000,-238.63064646720886,-2.386306438446045,-238.63064646720886,-2.386306438446045,0.0,238.63064646720886,2.386306438446045,44.73004710674286,0.44730048656463595,2.376306405067444,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320,-0.0009177474176013334,0.23793862611055375,1.5015228986740112,0.1032312460243702,0.033284975402057174,0.033284975402057174,0.21490878611803055,0.001703845316661194,0.00622499999590218,0.3367694616317749,1.0,0.009870192307692307,0.0006900480769230769,2,0.75,0.75,0.0
10,35200,-275.761118888855,-2.757611184120178,-275.761118888855,-2.757611184120178,0.0,275.761118888855,2.757611184120178,7.599574685096741,0.07599574089050298,2.747611174583435,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352,-0.0007235046493208941,0.32906338572502136,1.5339017987251282,0.14869040846824647,0.03210809491574764,0.03210809491574764,0.3083282634615898,0.001957522077282719,0.010187500109896063,0.2181066870689392,1.0,0.00985576923076923,0.0006889423076923077,2,0.75,0.75,0.0
11,38400,-269.4871633052826,-2.6948717045783996,-269.4871633052826,-2.6948717045783996,0.0,269.4871633052826,2.6948717045783996,13.873530268669128,0.13873522043228137,2.6848716521263123,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,384,-0.0009877189414865483,0.386591437458992,1.5295337915420533,0.17725532799959182,0.03264428861439228,0.03264428861439228,0.30038371235132216,0.0013151955390645407,0.0032875000033527613,0.1803644299507141,1.0,0.009841346153846154,0.0006878365384615384,2,0.75,0.75,0.0
12,41600,-343.5399215221405,-3.4353993773460387,-343.5399215221405,-3.4353993773460387,0.0,343.5399215221405,3.4353993773460387,-60.17922794818878,-0.6017924523353577,3.425399305820465,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,416,-0.0012699491975247668,0.5393725067377091,1.5272226929664612,0.25340840965509415,0.03438756763935089,0.03438756763935089,0.3638981908559799,0.002060810746116232,0.006231249897973612,-0.10375332832336426,1.0,0.009826923076923077,0.0006867307692307692,2,0.75,0.75,0.0
13,44800,-254.15730118751526,-2.541572995185852,-254.15730118751526,-2.541572995185852,0.0,254.15730118751526,2.541572995185852,29.203392386436462,0.2920339298248291,2.5315729808807372,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448,-0.0012305398357158382,0.1948600545525551,1.5134233593940736,0.08134902045130729,0.039418723247945306,0.039418723247945306,0.22153418213129045,0.002862523609656431,0.018106249894481154,0.35306668281555176,1.0,0.0098125,0.000685625,2,0.75,0.75,0.0
14,48000,-291.940376996994,-2.9194037652015687,-291.940376996994,-2.9194037652015687,0.0,291.940376996994,2.9194037652015687,-8.579683423042297,-0.08579684019088774,2.950028693675995,0.0040625,0.0010284735415983363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480,-0.0008782938459713563,0.2857488587498665,1.495547842979431,0.1273426428437233,0.04099127314984798,0.04099127314984798,0.27280779629945756,0.0021812295974093033,0.01841250022407621,0.4140351414680481,1.0,0.009798076923076923,0.0006845192307692307,2,0.75,0.75,0.0625
15,51200,-239.9413970708847,-2.399413878917694,-239.9413970708847,-2.399413878917694,0.0,239.9413970708847,2.399413878917694,43.41929650306702,0.4341930460929868,2.389413869380951,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,512,-0.0011741294076781372,0.11238424256443977,1.5175200939178466,0.04017110113054514,0.03967023268342018,0.03967023268342018,0.18633895814418794,0.0020880211573973146,0.012018749862909317,0.5501240491867065,1.0,0.009783653846153846,0.0006834134615384615,2,0.75,0.75,0.0
