iter,global_step,episode_return,mean_step_reward,optimized_episode_return,optimized_mean_step_reward,reward_shift,episode_return_gap_to_zero,mean_step_reward_gap_to_zero,episode_return_delta_from_start,mean_step_reward_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,entropy_coef,lr,seed,capture_rate
0,800,-18.20684552192688,-0.18206844449043275,-18.20684552192688,-0.18206844449043275,0.0,18.20684552192688,0.18206844449043275,0.0,0.0,0.5220684477686882,0.035,0.02299502368064266,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,-0.0009316693906051832,0.5658738136291503,1.6093542337417603,0.2659116923809052,0.06560046225786209,0.06560046225786209,0.3429402530193329,9.423662486369721e-05,0.0,-0.17509126663208008,1.0,0.01,0.0007,0,0.5
1,1600,-36.11876463890076,-0.36118763744831084,-36.11876463890076,-0.36118763744831084,0.0,36.11876463890076,0.36118763744831084,-17.911919116973877,-0.1791191929578781,0.6011876538395882,0.025,0.015613410420727973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16,-0.00024201723025178977,0.44375407695770264,1.608863854408264,0.20614970624446868,0.035021659731864926,0.035021659731864926,0.25554983615875243,5.743051096942509e-05,0.0,0.08507174253463745,1.0,0.009625,0.00067125,0,0.25
2,2400,-40.13330793380737,-0.4013331368565559,-40.13330793380737,-0.4013331368565559,0.0,40.13330793380737,0.4013331368565559,-21.926462411880493,-0.21926469236612317,0.7538331532478333,0.03625,0.02066901286069914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,-0.0004374375371263284,0.5613148212432861,1.6082716941833497,0.2653434634208679,0.08728105872869492,0.08728105872869492,0.37071710228919985,3.586863531381823e-05,0.0,0.09882956743240356,1.0,0.00925,0.0006425,0,0.125
3,3200,-26.979214668273926,-0.2697921806573868,-26.979214668273926,-0.2697921806573868,0.0,26.979214668273926,0.2697921806573868,-8.772369146347046,-0.08772373616695406,0.6722921895980835,0.04125,0.02466674200632006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32,-7.838891065325981e-05,0.5440511703491211,1.6078865289688111,0.2576771855354309,0.04772052690386772,0.04772052690386772,0.2834134817123413,2.1679318888345733e-05,0.0,0.10062801837921143,1.0,0.008875000000000001,0.00061375,0,0.375
4,4000,-27.20445680618286,-0.272044540643692,-27.20445680618286,-0.272044540643692,0.0,27.20445680618286,0.272044540643692,-8.997611284255981,-0.08997609615325924,0.6120445436239242,0.035,0.021711558863825788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40,1.5189055326381152e-06,0.5165225505828858,1.6074838399887086,0.2445991814136505,0.033247366547584534,0.033247366547584534,0.250631719827652,9.738871312947595e-06,0.0,0.026701688766479492,1.0,0.0085,0.000585,0,0.25
5,4800,-86.48358631134033,-0.8648358821868897,-86.48358631134033,-0.8648358821868897,0.0,86.48358631134033,0.8648358821868897,-68.27674078941345,-0.682767437696457,0.8548358941078186,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48,-0.00016624728863803284,0.1903330296278,1.6080122232437133,0.08193516731262207,0.04037215784192085,0.04037215784192085,0.33376914262771606,8.584191732552426e-06,0.0,0.2217465043067932,1.0,0.008125,0.00055625,0,0.0
6,5600,-47.26753234863281,-0.47267537653446196,-47.26753234863281,-0.47267537653446196,0.0,47.26753234863281,0.47267537653446196,-29.060686826705933,-0.2906069320440292,0.6376753854751587,0.0175,0.010685878382987672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56,-0.00017149746379203635,0.3526359498500824,1.607251191139221,0.16369028389453888,0.050731797516345975,0.050731797516345975,0.2902775526046753,1.690204203441681e-05,0.0,0.054021596908569336,1.0,0.00775,0.0005275,0,0.25
7,6400,-75.04177379608154,-0.7504177430272102,-75.04177379608154,-0.7504177430272102,0.0,75.04177379608154,0.7504177430272102,-56.83492827415466,-0.5683492985367775,0.8154177504777909,0.0075,0.004131280526493758,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,-0.00016131482265535624,0.23904487788677214,1.607900857925415,0.10750285685062408,0.035482869297266004,0.035482869297266004,0.3796038687229156,1.8555142696641268e-05,0.0,0.2840137481689453,1.0,0.007375,0.00049875,0,0.125
8,7200,-50.39277410507202,-0.5039277109503746,-50.39277410507202,-0.5039277109503746,0.0,50.39277410507202,0.5039277109503746,-32.18592858314514,-0.32185926645994184,0.6814277189970016,0.01875,0.01115123759895232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72,-3.8941463829189614e-05,0.2896776914596558,1.6074259996414184,0.1335479199886322,0.06158178895711899,0.06158178895711899,0.24817783236503602,5.5738146556905125e-06,0.0,0.14352381229400635,1.0,0.007,0.00047000000000000004,0,0.375
9,8000,-44.892507553100586,-0.4489251691102982,-44.892507553100586,-0.4489251691102982,0.0,44.892507553100586,0.4489251691102982,-26.685662031173706,-0.2668567246198654,0.6389251732826233,0.02,0.012203119657953483,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80,-0.00010521280806798927,0.3265558838844299,1.6076412916183471,0.15252210795879365,0.051467453688383104,0.051467453688383104,0.22211091816425324,5.830190343658615e-06,0.0,0.1480262279510498,1.0,0.006625,0.00044125,0,0.25
