alpha,cell,seed,r2_post,r2_raw,r2_ceil,branch
,attention,0,0.8414,0.1025,0.9916,HIGH
,attention,1,0.8603,0.1047,0.9918,HIGH
,attention,2,0.9015,0.0968,0.991,HIGH
,attention,3,0.9561,0.0929,0.991,HIGH
,attention,4,0.917,0.1003,0.9914,HIGH
,attention,5,0.9146,0.0966,0.991,HIGH
,attention,6,0.9007,0.0973,0.9915,HIGH
,attention,7,0.9301,0.0964,0.9906,HIGH
,attention,8,0.9647,0.0921,0.9909,HIGH
,attention,9,0.8339,0.0962,0.9912,HIGH
,attention_zm,0,0.1548,0.1065,0.9907,INTERMEDIATE
,attention_zm,1,0.1806,0.1073,0.9908,INTERMEDIATE
,attention_zm,2,0.1304,0.0953,0.991,LOW
,attention_zm,3,0.1161,0.0885,0.9913,LOW
,attention_zm,4,0.1675,0.0998,0.9914,INTERMEDIATE
,attention_zm,5,0.1449,0.0989,0.9913,LOW
,attention_zm,6,0.1498,0.1042,0.9917,LOW
,attention_zm,7,0.192,0.1082,0.9918,INTERMEDIATE
,attention_zm,8,0.1443,0.0954,0.9917,LOW
,attention_zm,9,0.1407,0.103,0.9915,LOW
,broadcast,0,0.9065,0.0935,0.991,HIGH
,broadcast,1,0.9174,0.0989,0.9912,HIGH
,broadcast,2,0.9103,0.1028,0.9918,HIGH
,broadcast,3,0.8727,0.0986,0.9916,HIGH
,broadcast,4,0.8703,0.1042,0.9914,HIGH
,broadcast,5,0.9146,0.0934,0.9906,HIGH
,broadcast,6,0.8964,0.0992,0.9915,HIGH
,broadcast,7,0.8913,0.1096,0.9913,HIGH
,broadcast,8,0.9032,0.0937,0.9914,HIGH
,broadcast,9,0.9003,0.0958,0.9916,HIGH
,broadcast_zm,0,0.2035,0.1035,0.9913,INTERMEDIATE
,broadcast_zm,1,0.2351,0.1007,0.9915,INTERMEDIATE
,broadcast_zm,2,0.2148,0.1002,0.9914,INTERMEDIATE
,broadcast_zm,3,0.2354,0.0966,0.9917,INTERMEDIATE
,broadcast_zm,4,0.1664,0.1054,0.992,INTERMEDIATE
,broadcast_zm,5,0.166,0.0952,0.9912,INTERMEDIATE
,broadcast_zm,6,0.1943,0.089,0.9908,INTERMEDIATE
,broadcast_zm,7,0.2,0.087,0.9909,INTERMEDIATE
,broadcast_zm,8,0.1922,0.1044,0.9917,INTERMEDIATE
,broadcast_zm,9,0.2042,0.1046,0.9913,INTERMEDIATE
,graph,0,0.9619,0.0858,0.9916,HIGH
,graph,1,0.9633,0.0981,0.9921,HIGH
,graph,2,0.9385,0.1073,0.9911,HIGH
,graph,3,0.9464,0.084,0.9915,HIGH
,graph,4,0.951,0.0929,0.9913,HIGH
,graph,5,0.9733,0.1038,0.9918,HIGH
,graph,6,0.9592,0.1078,0.9907,HIGH
,graph,7,0.9324,0.1113,0.9915,HIGH
,graph,8,0.9651,0.0938,0.9912,HIGH
,graph,9,0.9347,0.0884,0.9917,HIGH
,graph_zm,0,0.2979,0.1036,0.9912,INTERMEDIATE
,graph_zm,1,0.2362,0.1072,0.9913,INTERMEDIATE
,graph_zm,2,0.3206,0.1029,0.9915,INTERMEDIATE
,graph_zm,3,0.3039,0.1101,0.9909,INTERMEDIATE
,graph_zm,4,0.3581,0.1111,0.9917,INTERMEDIATE
,graph_zm,5,0.3373,0.11,0.9911,INTERMEDIATE
,graph_zm,6,0.2775,0.0949,0.9923,INTERMEDIATE
,graph_zm,7,0.1734,0.1055,0.992,INTERMEDIATE
,graph_zm,8,0.2379,0.0887,0.9915,INTERMEDIATE
,graph_zm,9,0.2892,0.0983,0.9914,INTERMEDIATE
,identity,0,0.1955,0.0917,0.9911,INTERMEDIATE
,identity,1,0.2291,0.1035,0.9903,INTERMEDIATE
,identity,2,0.1945,0.1062,0.9903,INTERMEDIATE
,identity,3,0.1816,0.0988,0.9912,INTERMEDIATE
,identity,4,0.247,0.0979,0.9912,INTERMEDIATE
,identity,5,0.2116,0.0841,0.9917,INTERMEDIATE
,identity,6,0.2584,0.0993,0.9906,INTERMEDIATE
,identity,7,0.2227,0.0929,0.9913,INTERMEDIATE
,identity,8,0.1955,0.0934,0.9913,INTERMEDIATE
,identity,9,0.2134,0.1063,0.9915,INTERMEDIATE
