iter,global_step,episode_return,mean_step_reward,episode_return_gap_to_zero,episode_return_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,td_loss,q_tot_mean,target_mean,grad_norm,mixer_w_min,epsilon,updates,buffer_size,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
624,20000,-65.75282406806946,-0.7373177608251572,65.75282406806946,0.0,5.721407883453369,0.00085,0.00012646160071500993,-54.21629673615098,-0.5421629673615098,-54.21629673615098,-0.5421629673615098,100.0,5.321629754453897,0.0,0.0,54.21629673615098,0.0,192,0.861276316863578,10.198209193215442,10.183593825236567,75.01285407588934,2.7939677238464355e-09,0.6206004120082402,469,20000,0.0005,9,0.0,0.0,0.010416666666666666,0.0628,0.0,0.0707,49.93115
1249,40000,-89.69698518514633,-0.8623857578277588,89.69698518514633,-23.944161117076874,6.775997870635987,0.0014,0.00018004120156549068,-71.10639759898186,-0.7110639759898185,-71.10639759898186,-0.7110639759898185,100.0,7.010639852285385,0.0,0.0,71.10639759898186,-16.890100862830877,384,0.19551841809153556,10.867468699645997,10.863166278076172,35.20489493713379,2.7939677238464355e-09,0.24059281185623715,1094,40000,0.0005,9,0.0,0.0,0.010416666666666666,0.03935,0.0,0.04625,52.0376
1874,60000,-82.75474190711975,-0.8845299086093903,82.75474190711975,-17.001917839050293,6.941944984436035,0.0021,0.00026441885509348223,-78.66125057637691,-0.7866125057637692,-78.66125057637691,-0.7866125057637692,100.0,7.766125028133392,0.0,0.0,78.66125057637691,-24.444953840225935,576,0.24904163298606874,10.11896072692871,10.115166606140138,42.25971960144043,2.8870999813079834e-08,0.050000000000000044,1719,60000,0.0005,9,0.0,0.0,0.015625,0.0655,0.0,0.07625,50.1786
2499,80000,-69.13783252239227,-0.7957414924144744,69.13783252239227,-3.385008454322815,6.409944852447509,0.00095,0.0001282060823551493,-44.83438491821289,-0.4483438491821289,-44.83438491821289,-0.4483438491821289,100.0,4.3834384977817535,0.0,0.0,44.83438491821289,9.38191181793809,800,0.2970254109025002,8.57177151260376,8.568604598236083,47.33648830566406,9.313225746154785e-10,0.050000000000000044,2344,80000,0.0005,9,0.0,0.0,0.017857142857142856,0.0467,0.0,0.06025,51.13595
3124,100000,-74.78060549497604,-0.7819441969871521,74.78060549497604,-9.027781426906586,6.282927378082276,0.0,0.0,-44.59018649160862,-0.4459018649160862,-44.59018649160862,-0.4459018649160862,100.0,4.3590186035633085,0.0,0.0,44.59018649160862,9.62611024454236,992,0.3399043669223785,6.740703646087646,6.736236434936523,51.27672097473145,1.30385160446167e-08,0.050000000000000044,2969,100000,0.0005,9,0.0,0.0,0.0,0.06655,0.0,0.0809,46.93045
3749,120000,-76.90276539325714,-0.7513084840297699,76.90276539325714,-11.149941325187683,6.2852066627502445,0.00065,8.922190269817521e-05,-37.15269382670522,-0.3715269382670522,-37.15269382670522,-0.3715269382670522,100.0,3.6029776322841642,0.0,0.0,37.15269382670522,17.063602909445763,1184,0.3878403090715408,5.108253115081787,5.107069870376587,56.87598639831543,6.577465683221817e-08,0.050000000000000044,3594,100000,0.0005,9,0.0,0.0,0.005208333333333333,0.0797,0.0,0.09355,46.93595
4374,140000,-63.176751017570496,-0.6518865511417389,63.176751017570496,2.5760730504989624,5.297921658325195,0.0015,0.00023817381056449896,-67.1527915596962,-0.671527915596962,-67.1527915596962,-0.671527915596962,100.0,6.615279224216938,0.0,0.0,67.1527915596962,-12.936494823545218,1376,0.40408073098659514,3.6202140327453614,3.6173687511444093,58.66426269226074,1.4901161193847656e-08,0.050000000000000044,4219,100000,0.0005,9,0.0,0.0,0.010416666666666666,0.11085,0.0,0.1315,44.62865
4999,160000,-28.745624274015427,-0.5424875328540802,28.745624274015427,37.00719979405403,4.8567884769439695,0.00425,0.0007256536610005113,-63.76210117340088,-0.6376210117340088,-63.76210117340088,-0.6376210117340088,100.0,6.276210133135319,0.0,0.0,63.76210117340088,-9.545804437249899,1600,0.3827339628219604,1.866357970237732,1.8653026265740396,57.472928604125975,2.2351741790771484e-08,0.050000000000000044,4844,100000,0.0005,9,0.0,0.0,0.017857142857142856,0.1333,0.0,0.15385,42.9521
5624,180000,-44.42370247840881,-0.580959097647667,44.42370247840881,21.329121589660645,4.911458060073852,0.00155,0.0002622026552922268,-16.904456177726388,-0.16904456177726387,-16.904456177726388,-0.16904456177726387,100.0,1.5904455623030662,0.0,0.0,16.904456177726388,37.31184055842459,1792,0.37339015810489656,0.15693231539130212,0.15615767542123796,53.44631528930664,1.4901161193847656e-08,0.050000000000000044,5469,100000,0.0005,9,0.0,0.0,0.015625,0.1441,0.0,0.16895,39.57725
6249,200000,-59.18329328298569,-0.461798505961895,59.18329328298569,6.569530785083771,4.074255904006958,0.00235,0.000463122090106707,-29.39838683977723,-0.2939838683977723,-29.39838683977723,-0.2939838683977723,100.0,2.4576852296292784,0.0,0.0,29.39838683977723,24.81790989637375,1984,0.4482200797319412,-0.977722504913807,-0.9802665374815464,58.613964965820315,7.450580596923828e-09,0.050000000000000044,6094,100000,0.0005,9,0.0,0.0,0.020833333333333332,0.22795,0.0,0.25705,34.18315
