iter,global_step,episode_return,mean_step_reward,episode_return_gap_to_zero,episode_return_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,td_loss,q_tot_mean,target_mean,grad_norm,mixer_w_min,epsilon,updates,buffer_size,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
624,20000,-96.79385375976562,-0.8655623517036438,96.79385375976562,0.0,6.606715685272217,0.0,0.0,-71.44384567439556,-0.7144384567439556,-71.44384567439556,-0.7144384567439556,100.0,7.044384588003158,0.0,0.0,71.44384567439556,0.0,192,1.4724010032281947,9.459158305674473,9.44349303886072,99.2579867173868,2.1420419216156006e-08,0.6206004120082402,469,20000,0.0005,0,0.0,0.0,0.0,0.0438,0.0,0.05225,51.4345
1249,40000,-105.36637556552887,-0.9051927228927612,105.36637556552887,-8.572521805763245,7.301483000946045,0.0,0.0,-89.74721311032772,-0.8974721311032772,-89.74721311032772,-0.8974721311032772,100.0,8.874721245765686,0.0,0.0,89.74721311032772,-18.30336743593216,384,0.10206824343204499,8.719292331695558,8.708879071044922,27.338436410522462,0.0,0.24059281185623715,1094,40000,0.0005,0,0.0,0.0,0.0,0.03795,0.0,0.0438,52.42405
1874,60000,-84.2702374458313,-0.8665894041061402,84.2702374458313,12.523616313934326,7.029335712432862,0.0,0.0,-79.27831123769283,-0.7927831123769283,-79.27831123769283,-0.7927831123769283,100.0,7.827831025123596,0.0,0.0,79.27831123769283,-7.834465563297272,576,0.12918441870212555,8.217144203948974,8.21103864440918,33.92967722473144,9.313225746154785e-10,0.050000000000000044,1719,60000,0.0005,0,0.0,0.0,0.0,0.0536,0.0,0.064,50.57525
2499,80000,-85.90432846546173,-0.8774835990905762,85.90432846546173,10.889525294303894,6.973947173309326,0.00065,8.151546353049625e-05,-36.41796636581421,-0.3641796636581421,-36.41796636581421,-0.3641796636581421,100.0,3.541796646118164,0.0,0.0,36.41796636581421,35.02587930858135,800,0.15955948493480682,6.481706362152099,6.474909931945801,37.03849216918945,0.0,0.050000000000000044,2344,80000,0.0005,0,0.0,0.0,0.004464285714285714,0.04665,0.0,0.0546,52.3708
3124,100000,-79.99203592538834,-0.7350133247852325,79.99203592538834,16.80181783437729,6.091645629882812,0.0009,0.00012690989468052034,-30.869802117347717,-0.30869802117347717,-30.869802117347717,-0.30869802117347717,100.0,2.9869802629947664,0.0,0.0,30.869802117347717,40.574043557047844,992,0.20136049225330352,4.392929152488708,4.389090249061584,40.696327069091794,5.21540641784668e-08,0.050000000000000044,2969,100000,0.0005,0,0.0,0.0,0.010416666666666666,0.07995,0.0,0.0941,46.2812
3749,120000,-64.88965824246407,-0.647022431230545,64.88965824246407,31.90419551730156,5.371164986419678,0.00045,7.063072467267573e-05,-44.94942360930145,-0.4494942360930145,-44.94942360930145,-0.4494942360930145,100.0,4.394942310154438,0.0,0.0,44.94942360930145,26.494422065094113,1184,0.19806762907505035,2.4549590618133545,2.4508940418720244,40.01527008972168,5.8673322200775146e-08,0.050000000000000044,3594,100000,0.0005,0,0.0,0.0,0.005208333333333333,0.10265,0.0,0.119,44.79855
4374,140000,-57.047807097435,-0.5998339461803436,57.047807097435,39.74604666233063,5.178269462203979,0.0,0.0,-35.672393158078194,-0.3567239315807819,-35.672393158078194,-0.3567239315807819,100.0,3.467239354103804,0.0,0.0,35.672393158078194,35.77145251631737,1376,0.2264082901239395,1.1552841673910619,1.149926214247942,43.329993789672855,3.166496753692627e-08,0.050000000000000044,4219,100000,0.0005,0,0.0,0.0,0.0,0.10095,0.0,0.1192,45.472
4999,160000,-49.90316119790077,-0.4619453215003014,49.90316119790077,46.89069256186485,4.06928229675293,0.001,0.000197266583603075,-42.89174630865455,-0.4289174630865455,-42.89174630865455,-0.4289174630865455,100.0,4.1891745199263095,0.0,0.0,42.89174630865455,28.552099365741014,1600,0.21723541967868806,-0.23707732607126236,-0.24135010377168656,42.68291217956543,1.0587973520159721e-07,0.050000000000000044,4844,100000,0.0005,0,0.0,0.0,0.017857142857142856,0.194,0.0,0.22495,36.3806
5624,180000,-31.53379461169243,-0.44268030692338944,31.53379461169243,65.2600591480732,3.774742837142944,0.00135,0.00028273774023980687,-32.265611447393894,-0.32265611447393894,-32.265611447393894,-0.32265611447393894,100.0,3.1265611861646176,0.0,0.0,32.265611447393894,39.17823422700167,1792,0.23443404545783997,-1.2024964811325074,-1.2044698596715928,42.153795697021486,2.60770320892334e-08,0.050000000000000044,5469,100000,0.0005,0,0.0,0.0,0.015625,0.31625,0.0,0.3441,27.7889
6249,200000,-32.53805959224701,-0.3213974265217781,32.53805959224701,64.25579416751862,2.9876645942687987,0.0031,0.0007773973780180562,-22.41118499264121,-0.22411184992641212,-22.41118499264121,-0.22411184992641212,100.0,2.141118519306183,0.0,0.0,22.41118499264121,49.03266068175435,1984,0.24400173387527466,-1.4639887182950972,-1.4669366931200027,41.41615242614746,2.9802322387695312e-08,0.050000000000000044,6094,100000,0.0005,0,0.0,0.0,0.026041666666666668,0.51,0.0,0.53185,17.6666
