iter,global_step,episode_return,mean_step_reward,episode_return_gap_to_zero,episode_return_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,td_loss,q_tot_mean,target_mean,grad_norm,mixer_w_min,epsilon,updates,buffer_size,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
624,20000,-86.63110029697418,-0.8071504784584045,86.63110029697418,0.0,6.164213805389404,5e-05,6.979132862057611e-06,-91.40766275674105,-0.9140766275674105,-91.40766275674105,-0.9140766275674105,100.0,8.242662294507026,0.0,0.0,91.40766275674105,0.0,192,0.6982310408515844,12.872271566248651,12.863293430190097,68.61043646188179,4.656612873077393e-10,0.6206004120082402,469,20000,0.0005,3,0.0,0.0,0.005208333333333333,0.051,0.0,0.059,50.6011
1249,40000,-87.61519381403923,-0.9015994757652283,87.61519381403923,-0.9840935170650482,6.856053874969483,0.0,0.0,-101.72389877587557,-1.0172389877587558,-101.72389877587557,-1.0172389877587558,100.0,8.338149445652961,0.0,0.0,101.72389877587557,-10.316236019134521,384,0.1109134417951107,13.892408720397949,13.88492241973877,30.94991581726074,9.313225746154785e-09,0.24059281185623715,1094,40000,0.0005,3,0.0,0.0,0.0,0.05585,0.0,0.06545,50.5485
1874,60000,-77.59439323097467,-0.9214300906181335,77.59439323097467,9.036707065999508,7.442691060638428,0.0003,3.553369391883378e-05,-74.70785333961248,-0.7470785333961248,-74.70785333961248,-0.7470785333961248,100.0,6.031710287928581,0.0,0.0,74.70785333961248,16.699809417128563,576,0.15164755688905715,13.642453092956544,13.634523522949218,39.72053310546875,1.7229467630386353e-08,0.050000000000000044,1719,60000,0.0005,3,0.0,0.0,0.010416666666666666,0.03335,0.0,0.0417,52.22405
2499,80000,-69.41063725948334,-0.8150133158206939,69.41063725948334,17.220463037490845,6.7279496673583985,0.0005,6.470021435464553e-05,-101.20789427310228,-1.0120789427310228,-101.20789427310228,-1.0120789427310228,100.0,6.022740796804428,0.0,0.0,101.20789427310228,-9.800231516361237,800,0.17365676611661912,12.651377799987793,12.645707119750977,44.30489121398926,1.30385160446167e-08,0.050000000000000044,2344,80000,0.0005,3,0.0,0.0,0.004464285714285714,0.0744,0.0,0.08485,50.28775
3124,100000,-72.85267674922943,-0.7346403740882873,72.85267674922943,13.778423547744751,5.749046461486817,5e-05,7.408453962396488e-06,-59.30854666233063,-0.5930854666233063,-59.30854666233063,-0.5930854666233063,100.0,5.534851224422455,0.0,0.0,59.30854666233063,32.09911609441042,992,0.1808489474058151,10.933136211395263,10.928295796966554,45.00980362243652,1.862645149230957e-09,0.050000000000000044,2969,100000,0.0005,3,0.0,0.0,0.005208333333333333,0.11015,0.0,0.1248,43.614
3749,120000,-71.57817164063454,-0.6349267176389695,71.57817164063454,15.052928656339645,5.188143058013916,0.001,0.00016159936682539301,-78.37316379696131,-0.7837316379696131,-78.37316379696131,-0.7837316379696131,100.0,6.79871286869049,0.0,0.0,78.37316379696131,13.03449895977974,1184,0.21739959725141525,9.760602683258057,9.755150675964355,50.13597756958008,1.4901161193847656e-08,0.050000000000000044,3594,100000,0.0005,3,0.0,0.0,0.015625,0.17375,0.0,0.1912,39.73645
4374,140000,-48.394912511110306,-0.5323346029758453,48.394912511110306,38.236187785863876,4.738224419784546,0.00225,0.0003921073550630634,-35.309848330914974,-0.3530984833091497,-35.309848330914974,-0.3530984833091497,100.0,3.182338616847992,0.0,0.0,35.309848330914974,56.09781442582607,1376,0.2777731263399124,8.914482754516602,8.910061947631837,57.703520843505856,5.587935447692871e-09,0.050000000000000044,4219,100000,0.0005,3,0.0,0.0,0.020833333333333332,0.21925,0.0,0.24405,36.396
4999,160000,-32.50337180495262,-0.41247905727624895,32.50337180495262,54.12772849202156,3.857558113479614,0.0034,0.0006999401593498339,-64.59688694775105,-0.6459688694775104,-64.59688694775105,-0.6459688694775104,100.0,5.440683012902737,0.0,0.0,64.59688694775105,26.81077580899,1600,0.34542871849536894,8.156456423950194,8.151916876983643,63.058281628417966,1.0244548320770264e-08,0.050000000000000044,4844,100000,0.0005,3,0.0,0.0,0.03125,0.31665,0.0,0.3471,28.35655
5624,180000,-43.959998428821564,-0.4816102386713028,43.959998428821564,42.67110186815262,4.05114753036499,0.00045,8.908866694049687e-05,-34.59158489480615,-0.3459158489480615,-34.59158489480615,-0.3459158489480615,100.0,3.2732342490553856,0.0,0.0,34.59158489480615,56.8160778619349,1792,0.40383475029468535,7.484597196960449,7.483094973754882,67.88641881103516,6.51925802230835e-09,0.050000000000000044,5469,100000,0.0005,3,0.0,0.0,0.005208333333333333,0.3566,0.0,0.3782,26.433
6249,200000,-25.01703092455864,-0.3309639136791229,25.01703092455864,61.61406937241554,3.3196258087158204,0.0063,0.0014584596627069707,-49.7817647382617,-0.497817647382617,-49.7817647382617,-0.497817647382617,100.0,4.745253396630287,0.0,0.0,49.7817647382617,41.62589801847935,1984,0.46941740272045135,7.37537887802124,7.373830254364013,72.09024891967773,4.470348358154297e-08,0.050000000000000044,6094,100000,0.0005,3,0.0,0.0,0.0625,0.4358,0.0,0.4607,21.24345
6874,220000,-28.710179328918457,-0.3374861224770546,28.710179328918457,57.920920968055725,3.043177917098999,0.0028,0.0006925245580112917,-48.20880548283458,-0.48208805482834577,-48.20880548283458,-0.48208805482834577,100.0,3.9544883969426157,0.0,0.0,48.20880548283458,43.19885727390647,2176,0.6026613907337188,7.704938747406006,7.704145397186279,83.31050026855469,7.450580596923828e-09,0.050000000000000044,6719,100000,0.0005,3,0.0,0.0,0.03125,0.47505,0.0,0.50815,18.86135
7499,240000,-31.73916820436716,-0.3307397311925888,31.73916820436716,54.89193209260702,3.0643106107711793,0.0044,0.001082594422862067,-30.899091988801956,-0.3089909198880196,-30.899091988801956,-0.3089909198880196,100.0,2.860847624540329,0.0,0.0,30.899091988801956,60.50857076793909,2400,0.7034284570932389,7.960538429260254,7.956915296173095,89.35904688415528,2.2351741790771484e-08,0.050000000000000044,7344,100000,0.0005,3,0.0,0.0,0.03571428571428571,0.47185,0.0,0.503,18.9914
