iter,global_step,episode_return,mean_step_reward,episode_return_gap_to_zero,episode_return_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,td_loss,q_tot_mean,target_mean,grad_norm,mixer_w_min,epsilon,updates,buffer_size,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
624,20000,-83.40299633145332,-0.8176928405761719,83.40299633145332,0.0,6.404257599639893,0.0,0.0,-135.5905112028122,-1.355905112028122,-135.5905112028122,-1.355905112028122,100.0,4.971496229469776,0.0,0.0,135.5905112028122,0.0,192,0.2710759063868889,9.270560120214531,9.254302048225647,42.84591877130049,1.6763806343078613e-08,0.6206004120082402,469,20000,0.0005,4,0.0,0.0,0.0,0.03745,0.0,0.0449,51.30695
1249,40000,-81.70991277694702,-0.8384237697124481,81.70991277694702,1.6930835545063019,6.767006449890137,0.00065,8.368732589493269e-05,-95.46719491481781,-0.9546719491481781,-95.46719491481781,-0.9546719491481781,100.0,6.126311264038086,0.0,0.0,95.46719491481781,40.123316287994385,384,0.1312877778172493,10.498726480102539,10.49221566772461,32.3579657333374,9.313225746154785e-10,0.24059281185623715,1094,40000,0.0005,4,0.0,0.0,0.010416666666666666,0.06085,0.0,0.07025,50.24815
1874,60000,-96.34090828895569,-0.8347298288345337,96.34090828895569,-12.937911957502365,6.741137819671631,5e-05,6.458998814481893e-06,-99.10283963382244,-0.9910283963382244,-99.10283963382244,-0.9910283963382244,100.0,6.535005557537079,0.0,0.0,99.10283963382244,36.487671568989754,576,0.18906887151002885,10.885240348815918,10.880894088745118,42.97727195129394,7.450580596923828e-09,0.050000000000000044,1719,60000,0.0005,4,0.0,0.0,0.005208333333333333,0.04705,0.0,0.05745,50.54805
2499,80000,-79.52263158559799,-0.7369542518854141,79.52263158559799,3.8803647458553314,6.231273164367676,0.00055,7.605852904439321e-05,-89.22283504903316,-0.8922283504903317,-89.22283504903316,-0.8922283504903317,100.0,4.976077249050141,0.0,0.0,89.22283504903316,46.36767615377903,800,0.19037840589284896,9.9009611869812,9.895640487670898,44.48242659606934,5.587935447692871e-09,0.050000000000000044,2344,80000,0.0005,4,0.0,0.0,0.008928571428571428,0.0763,0.0,0.0925,48.04595
3124,100000,-48.65800929069519,-0.6459078093528747,48.65800929069519,34.74498704075813,5.426311177062988,0.00075,0.00011670770047316194,-64.4749406427145,-0.644749406427145,-64.4749406427145,-0.644749406427145,100.0,4.2612070620059965,0.0,0.0,64.4749406427145,71.1155705600977,992,0.22291330053806305,8.5557404006958,8.551896436309814,45.768265621948245,0.0,0.050000000000000044,2969,100000,0.0005,4,0.0,0.0,0.005208333333333333,0.1175,0.0,0.1335,42.52735
3749,120000,-53.58244501054287,-0.6078542894840241,53.58244501054287,29.820551320910454,5.028268601608277,0.0005,8.29425549927562e-05,-51.956754460930824,-0.5195675446093082,-51.956754460930824,-0.5195675446093082,100.0,1.5362482109665871,0.0,0.0,51.956754460930824,83.63375674188137,1184,0.24644456193447112,8.024170681762696,8.018618312835693,49.494539053344724,2.60770320892334e-08,0.050000000000000044,3594,100000,0.0005,4,0.0,0.0,0.005208333333333333,0.1761,0.0,0.2003,38.2446
4374,140000,-51.93432888388634,-0.4911378625869751,51.93432888388634,31.468667447566986,4.193739163970947,0.00175,0.0003369441446231606,-51.95348968356848,-0.5195348968356848,-51.95348968356848,-0.5195348968356848,100.0,4.254531245827675,0.0,0.0,51.95348968356848,83.63702151924372,1376,0.2892979289531708,7.638330831146241,7.63585234375,53.21310719604492,7.264316082000732e-08,0.050000000000000044,4219,100000,0.0005,4,0.0,0.0,0.026041666666666668,0.315,0.0,0.3422,30.4539
4999,160000,-49.03090849518776,-0.42258880593776704,49.03090849518776,34.372087836265564,3.4155662673950196,0.0,0.0,-48.41706424346194,-0.4841706424346194,-48.41706424346194,-0.4841706424346194,100.0,2.52056919422932,0.0,0.0,48.41706424346194,87.17344695935026,1600,0.28637602647542953,6.990011547088623,6.988231340026855,50.70258873291016,2.0489096641540527e-08,0.050000000000000044,4844,100000,0.0005,4,0.0,0.0,0.0,0.4075,0.0,0.4472,22.8909
5624,180000,-38.859295815229416,-0.38948317996263504,38.859295815229416,44.54370051622391,3.63529415473938,0.0068,0.0014670050644029365,-49.054235480725765,-0.49054235480725766,-49.054235480725765,-0.49054235480725766,100.0,3.3627624928951265,0.0,0.0,49.054235480725765,86.53627572208643,1792,0.32827947092056275,7.025490839385986,7.02452631072998,57.727975378417966,5.366746336221695e-08,0.050000000000000044,5469,100000,0.0005,4,0.0,0.0,0.015625,0.41975,0.0,0.4427,22.71135
6249,200000,-43.361994326114655,-0.41224485082626344,43.361994326114655,40.04100200533867,3.571516523551941,0.00345,0.0007546729804488264,-51.84390517324209,-0.5184390517324209,-51.84390517324209,-0.5184390517324209,100.0,3.2427158308029176,0.0,0.0,51.84390517324209,83.7466060295701,1984,0.42176126499176025,6.995537990570068,6.994500970458985,63.0215743560791,1.1175870895385742e-08,0.050000000000000044,6094,100000,0.0005,4,0.0,0.0,0.036458333333333336,0.44255,0.0,0.4726,21.0993
