iter,global_step,episode_return,mean_step_reward,episode_return_gap_to_zero,episode_return_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,td_loss,q_tot_mean,target_mean,grad_norm,mixer_w_min,epsilon,updates,buffer_size,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
624,20000,-61.82937204837799,-0.7383380979537963,61.82937204837799,0.0,5.801282912445068,0.00095,0.00013967952991069944,-39.49636549130082,-0.3949636549130082,-39.49636549130082,-0.3949636549130082,100.0,3.8496366752684117,0.0,0.0,39.49636549130082,0.0,192,0.4200707884914458,9.736279639099706,9.714024110643594,49.82174676110241,1.862645149230957e-09,0.6206004120082402,469,20000,0.0005,9,0.0,0.0,0.005208333333333333,0.0625,0.0,0.0721,49.5936
1249,40000,-79.37787455320358,-0.816141471529007,79.37787455320358,-17.548502504825592,6.556052303314209,0.00115,0.0001521958760787814,-51.73354513570666,-0.5173354513570666,-51.73354513570666,-0.5173354513570666,100.0,5.073354637473821,0.0,0.0,51.73354513570666,-12.237179644405842,384,0.1677026422381401,10.715153684997558,10.71030549621582,34.18188312072754,3.166496753692627e-08,0.24059281185623715,1094,40000,0.0005,9,0.0,0.0,0.005208333333333333,0.05995,0.0,0.07065,49.50125
1874,60000,-74.91528758406639,-0.8188578053951263,74.91528758406639,-13.0859155356884,6.755928456115723,0.0009,0.00011604026585499638,-43.58398101106286,-0.4358398101106286,-43.58398101106286,-0.4358398101106286,100.0,4.258398121744395,0.0,0.0,43.58398101106286,-4.087615519762039,576,0.2556258720397949,10.126237451171875,10.124760261535645,44.397257064819335,3.725290298461914e-09,0.050000000000000044,1719,60000,0.0005,9,0.0,0.0,0.020833333333333332,0.0797,0.0,0.09195,48.49945
2499,80000,-71.286904245615,-0.755102815079689,71.286904245615,-9.457532197237015,6.313972832489013,0.001,0.00013672459864192448,-24.035790387541056,-0.24035790387541056,-24.035790387541056,-0.24035790387541056,100.0,2.303579020053148,0.0,0.0,24.035790387541056,15.460575103759766,800,0.2880280414700508,8.805439224243164,8.803866744232177,48.53748709411621,7.450580596923828e-09,0.050000000000000044,2344,80000,0.0005,9,0.0,0.0,0.013392857142857142,0.0831,0.0,0.10005,47.6452
3124,100000,-57.743689864873886,-0.685554069852829,57.743689864873886,4.085682183504105,5.758941938781739,0.00105,0.00015534975880992057,-28.223347011953592,-0.2822334701195359,-28.223347011953592,-0.2822334701195359,100.0,2.7223347038030625,0.0,0.0,28.223347011953592,11.273018479347229,992,0.3093570877075195,7.342746669006348,7.340850415802002,51.18066187438965,4.6566128730773926e-08,0.050000000000000044,2969,100000,0.0005,9,0.0,0.0,0.010416666666666666,0.1181,0.0,0.1385,42.1016
3749,120000,-60.52321419119835,-0.6602595012664795,60.52321419119835,1.3061578571796417,5.62135174407959,0.00125,0.00018878320444426985,-28.854954712092876,-0.2885495471209288,-28.854954712092876,-0.2885495471209288,100.0,2.7854955685138703,0.0,0.0,28.854954712092876,10.641410779207945,1184,0.3170260323047638,6.663619706726074,6.662439860534668,53.985059118652345,3.725290298461914e-08,0.050000000000000044,3594,100000,0.0005,9,0.0,0.0,0.005208333333333333,0.14875,0.0,0.16725,41.5185
4374,140000,-56.09364253282547,-0.5005242350101471,56.09364253282547,5.735729515552521,4.402997388458252,0.004,0.0007403298044423822,-24.169378325343132,-0.24169378325343133,-24.169378325343132,-0.24169378325343133,100.0,2.316937780380249,0.0,0.0,24.169378325343132,15.32698716595769,1376,0.3443730609416962,5.366721275329589,5.363701489639282,57.01020697631836,5.587935447692871e-08,0.050000000000000044,4219,100000,0.0005,9,0.0,0.0,0.026041666666666668,0.21095,0.0,0.23735,36.1024
4999,160000,-33.81945341825485,-0.36589327708482744,33.81945341825485,28.00991863012314,3.789250980758667,0.00815,0.0017017274794625516,-35.76210166886449,-0.3576210166886449,-35.76210166886449,-0.3576210166886449,100.0,3.4762101608514784,0.0,0.0,35.76210166886449,3.7342638224363327,1600,0.397270493721962,4.87537082862854,4.872899917984009,64.89645561523437,2.0489096641540527e-08,0.050000000000000044,4844,100000,0.0005,9,0.0,0.0,0.026785714285714284,0.29545,0.0,0.32365,29.78765
5624,180000,-27.0719984062016,-0.39962957081794737,27.0719984062016,34.75737364217639,3.4387402238845826,0.0025,0.0005632228681795021,-29.24306507408619,-0.2924306507408619,-29.24306507408619,-0.2924306507408619,100.0,2.824306557178497,0.0,0.0,29.24306507408619,10.253300417214632,1792,0.46026627781391144,4.721507528686524,4.7171617618560795,74.82172925415038,1.4901161193847656e-08,0.050000000000000044,5469,100000,0.0005,9,0.0,0.0,0.036458333333333336,0.37875,0.0,0.40355,24.08665
6249,200000,-44.34957730770111,-0.3264274113059044,44.34957730770111,17.47979474067688,3.073421863937378,0.0039,0.0009574259996312416,-14.555066246539354,-0.14555066246539355,-14.555066246539354,-0.14555066246539355,100.0,1.3555066129565239,0.0,0.0,14.555066246539354,24.941299244761467,1984,0.5748504438877106,5.3855394222259525,5.385643221282959,90.3997821472168,1.339358277618885e-07,0.050000000000000044,6094,100000,0.0005,9,0.0,0.0,0.041666666666666664,0.4283,0.0,0.45915,21.22385
6874,220000,-33.03464424610138,-0.35456092014312746,33.03464424610138,28.79472780227661,3.086004023551941,0.0015,0.00036710683380484246,-17.081411872059107,-0.17081411872059107,-17.081411872059107,-0.17081411872059107,100.0,1.6081411382555961,0.0,0.0,17.081411872059107,22.414953619241714,2176,0.6207620842218399,6.01939285697937,6.0192446029663085,99.89459937744141,0.0,0.050000000000000044,6719,100000,0.0005,9,0.0,0.0,0.015625,0.44345,0.0,0.4674,20.71475
7499,240000,-34.040167182683945,-0.3960543809652328,34.040167182683945,27.789204865694046,3.3348179494857786,0.00065,0.00014994862704144398,-18.240974701941013,-0.18240974701941012,-18.240974701941013,-0.18240974701941012,100.0,1.7240974336862565,0.0,0.0,18.240974701941013,21.255390789359808,2400,0.6339573690652848,7.009975045776367,7.00676329498291,106.42248161010743,1.30385160446167e-08,0.050000000000000044,7344,100000,0.0005,9,0.0,0.0,0.022321428571428572,0.47425,0.0,0.494,20.9832
8124,260000,-41.881837129592896,-0.38743011466264726,41.881837129592896,19.947534918785095,3.539011857318878,0.00315,0.000693983646445166,-14.660460583865643,-0.14660460583865642,-14.660460583865643,-0.14660460583865642,100.0,1.3660460467636586,0.0,0.0,14.660460583865643,24.83590490743518,2592,0.6000494774341584,7.295113520812988,7.296995359802246,100.69404340820313,7.450580596923828e-08,0.050000000000000044,7969,100000,0.0005,9,0.0,0.0,0.03125,0.4932,0.0,0.5093,18.06885
