iter,global_step,episode_return,mean_step_reward,episode_return_gap_to_zero,episode_return_delta_from_start,pursuer_target_distance,capture,task_score,eval_mean_return,eval_mean_step_reward,eval_optimized_mean_return,eval_optimized_mean_step_reward,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,eval_task_score,eval_return_gap_to_zero,eval_return_delta_from_start,episodes_completed,td_loss,q_tot_mean,target_mean,grad_norm,mixer_w_min,epsilon,updates,buffer_size,lr,seed,alpha,env_alpha,capture_rate,detection_event_rate,capture_without_recent_detection_rate,window_open,steps_since_detection
781,25024,-90.13021838665009,-0.8491431737647337,90.13021838665009,0.0,6.7647356797972,0.0,0.0,-76.17343878746033,-0.7617343878746032,-76.17343878746033,-0.7617343878746032,100.0,6.880698522329331,0.0,0.0,76.17343878746033,0.0,224,0.15328085982499604,11.856128913525955,11.849584570327124,35.628117533918385,1.30385160446167e-08,0.525142502850057,626,25024,0.0005,2,0.0,0.0,0.0,0.03284846547314578,0.0,0.03980179028132992,52.27445652173913
1562,50016,-110.16827341914177,-0.9257726167899851,110.16827341914177,-20.038055032491684,7.408932096063709,0.0,0.0,-5.9507270604372025,-0.059507270604372026,-5.9507270604372025,-0.059507270604372026,100.0,4.250918833315373,0.04,0.007617714398137904,5.9507270604372025,70.22271172702312,480,0.10918761255570167,12.431186034951105,12.424997000016567,32.64575409492366,1.862645149230957e-09,0.05028500570011407,1407,50016,0.0005,2,0.0,0.0,0.0,0.04917573623559539,0.0,0.05785851472471191,50.583226632522404
2343,75008,-78.97952643036842,-0.8463752514536036,78.97952643036842,11.150691956281662,7.179475666466199,0.00420134443021767,0.0005136447128808181,-75.7012485563755,-0.757012485563755,-75.7012485563755,-0.757012485563755,100.0,6.8557874238491054,0.0,0.0,75.7012485563755,0.4721902310848236,736,0.1996200483068156,11.90913435438989,11.907321562382384,45.5835019354631,0.0,0.050000000000000044,2188,75008,0.0005,2,0.0,0.0,0.015625,0.06566101152368758,0.0,0.07550416133162612,48.954825544174135
3124,100000,-75.72093218564987,-0.7293905003733274,75.72093218564987,14.409286201000214,6.052315230864111,0.0,0.0,-69.65792438387871,-0.6965792438387871,-69.65792438387871,-0.6965792438387871,100.0,6.254464164972306,0.0,0.0,69.65792438387871,6.515514403581619,992,0.24309849810623177,10.124131164843844,10.120543073295174,50.733325801951935,5.122274160385132e-09,0.050000000000000044,2969,100000,0.0005,2,0.0,0.0,0.0,0.10187259923175417,0.0,0.11691741357234314,46.155449743918055
3906,125024,-62.29514044523239,-0.6287551752060575,62.29514044523239,27.835077941417694,4.874302428091883,3.9961636828644505e-05,6.802788470260122e-06,-63.46108637750149,-0.6346108637750149,-63.46108637750149,-0.6346108637750149,100.0,5.844953423738479,0.0,0.0,63.46108637750149,12.71235240995884,1248,0.2510580112562155,8.72063741537616,8.717139687379607,53.139131109427915,5.587935447692871e-09,0.050000000000000044,3751,100000,0.0005,2,0.0,0.0,0.00390625,0.18054667519181586,0.0,0.2059223145780051,39.166400255754475
4687,150016,-57.23783677816391,-0.559786041017989,57.23783677816391,32.892381608486176,4.149119864963233,4.001280409731114e-05,7.770804554303544e-06,-36.96244862675667,-0.36962448626756667,-36.96244862675667,-0.36962448626756667,100.0,3.409947551488876,0.0,0.0,36.96244862675667,39.21099016070366,1472,0.28707269112676115,7.733980517686558,7.731973949070929,59.21838502969388,9.313225746154785e-10,0.050000000000000044,4532,100000,0.0005,2,0.0,0.0,0.004464285714285714,0.2743677976952625,0.0,0.29949583866837387,31.618998079385403
5468,175008,-32.31579062342644,-0.3954895960784752,32.31579062342644,57.81442776322365,3.4715109112626,0.0021606914212548016,0.0004832128254037285,-34.315591752529144,-0.34315591752529145,-34.315591752529144,-0.34315591752529145,100.0,3.1741962695121764,0.0,0.0,34.315591752529144,41.85784703493118,1728,0.2932700010328989,7.315405603865503,7.311900591270261,59.8648313016806,2.7939677238464355e-08,0.050000000000000044,5313,100000,0.0005,2,0.0,0.0,0.01953125,0.39420614596670933,0.0,0.42001440460947503,23.5580585787452
6249,200000,-25.927592515945435,-0.4130729279944747,25.927592515945435,64.20262587070465,3.488893032989795,0.002000640204865557,0.0004456867628973206,-19.346728060394526,-0.19346728060394525,-19.346728060394526,-0.19346728060394525,100.0,1.6744516575336457,0.0,0.0,19.346728060394526,56.8267107270658,1984,0.3254882823031935,7.304260374794544,7.301143405684741,61.3663828089051,7.450580596923828e-09,0.050000000000000044,6094,100000,0.0005,2,0.0,0.0,0.015625,0.46754961587708066,0.0,0.48179417413572345,20.997679257362357
7031,225024,-39.910973876714706,-0.3233967570449843,39.910973876714706,50.21924450993538,2.8962797581234856,0.003356777493606138,0.0008615340021741199,-25.929992198944092,-0.2592999219894409,-25.929992198944092,-0.2592999219894409,100.0,2.2789506417512895,0.0,0.0,25.929992198944092,50.243446588516235,2240,0.412837621424814,7.219279814254293,7.218181144246055,70.353839588897,1.1175870895385742e-08,0.050000000000000044,6876,100000,0.0005,2,0.0,0.0,0.0390625,0.5515105498721228,0.0,0.565537084398977,16.407528772378516
7812,250016,-22.87310926616192,-0.30493806815788477,22.87310926616192,67.25710912048817,2.8022234111680873,0.004001280409731114,0.00105235278862845,-15.960451193153858,-0.15960451193153857,-15.960451193153858,-0.15960451193153857,100.0,1.1197130405902862,0.0,0.0,15.960451193153858,60.21298759430647,2496,0.506052959457555,7.928015314510018,7.92649228014195,76.93363343066656,0.0,0.050000000000000044,7657,100000,0.0005,2,0.0,0.0,0.02734375,0.5618597951344431,0.0,0.5708226632522407,16.52484795134443
