iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
0,3200,-597.770637512207,-5.977706270217896,32,-0.0011995904915487188,4156.274688720703,2.1969646215438843,2078.114158630371,30.56743949651718,0.00022624699158771893,0.0,0.0023378729820251465,1.0,0.0005,2
1,6400,-584.9665946960449,-5.849665875434876,64,-0.000573331162710744,4107.14973449707,2.1958145648241043,2053.552314758301,35.32018482685089,0.0001324790206071132,0.0,-0.0005855560302734375,1.0,0.0005,2
2,9600,-590.8315205574036,-5.9083152723312375,96,-0.0003433738871017056,4236.462600708008,2.1948723196983337,2118.2089614868164,37.25021809339523,0.00010149710425384725,0.0,-0.0018330812454223633,1.0,0.0005,2
3,12800,-596.2102756500244,-5.962102823257446,128,-0.0003176612965232195,4169.450500488281,2.194307804107666,2084.7029724121094,38.93607807159424,8.330181762537747e-05,0.0,0.0016262531280517578,1.0,0.0005,2
4,16000,-565.769850730896,-5.65769856929779,160,-0.0004626522878856676,3730.331771850586,2.193302199244499,1865.1434478759766,33.68333399295807,7.711985123417697e-05,0.0,0.011269807815551758,1.0,0.0005,2
5,19200,-585.7085332870483,-5.857085409164429,192,-0.00034920690168593893,4036.883758544922,2.192537546157837,2018.4195556640625,37.96040642261505,6.60609186342829e-05,0.0,-0.008108139038085938,1.0,0.0005,2
6,22400,-576.0838279724121,-5.760838375091553,224,-0.000386125688426997,3773.401824951172,2.191309690475464,1886.678596496582,39.48059785366058,8.685501974553108e-05,0.0,-0.005303740501403809,1.0,0.0005,2
7,25600,-562.9978151321411,-5.629978241920472,256,-0.0003230816089641042,3707.2348022460938,2.1897872537374496,1853.5952224731445,41.373788237571716,7.651010567175117e-05,0.0,-0.0010405778884887695,1.0,0.0005,2
8,28800,-615.4122848510742,-6.154122824668884,288,-0.00043524259683191957,4341.69091796875,2.190231680870056,2170.8231048583984,46.81979048252106,7.430038549245029e-05,0.0,0.007144272327423096,1.0,0.0005,2
9,32000,-561.2165212631226,-5.612165060043335,320,-0.0003096617030906579,3672.745132446289,2.189720496535301,1836.3504104614258,47.118947863578796,9.957594407726478e-05,0.0,0.002306520938873291,1.0,0.0005,2
10,35200,-551.6428265571594,-5.516428046226501,352,-0.0004349584770821924,3701.236526489258,2.187587633728981,1850.5959854125977,45.55383801460266,0.00010525068050557603,0.0,-0.01143646240234375,1.0,0.0005,2
11,38400,-542.6287956237793,-5.426288084983826,384,-0.00040261931515050975,3590.7254638671875,2.187768280506134,1795.340476989746,45.72531718015671,0.00012275007848964515,0.0,-0.00944209098815918,1.0,0.0005,2
12,41600,-532.3044242858887,-5.32304437160492,416,-0.00015836169269967115,3245.830322265625,2.1867978423833847,1622.8931427001953,44.95566803216934,0.00016585146903515553,0.0,0.004033803939819336,1.0,0.0005,2
13,44800,-535.7938842773438,-5.357938799858093,448,-0.00032210183647896073,3313.0178985595703,2.186665490269661,1656.4867858886719,46.983200651127845,0.00018732223017573768,0.0,0.005985915660858154,1.0,0.0005,2
14,48000,-516.7138123512268,-5.167138562202454,480,0.00015533670698797408,3104.834915161133,2.184891402721405,1552.395751953125,51.41751701384783,0.000787002095308152,0.0,-0.006936073303222656,1.0,0.0005,2
15,51200,-566.576455116272,-5.665764698982239,512,0.0002286151293751093,3606.2247619628906,2.1844498217105865,1803.0907440185547,52.34743000334129,0.00010041081372984206,0.0,6.42538070678711e-05,1.0,0.0005,2
16,54400,-553.0384917259216,-5.530384678840637,544,2.6068960199410185e-05,3634.210205078125,2.1822450757026672,1817.0832748413086,61.63202827749774,0.0005457650704560507,0.0,-0.010744333267211914,1.0,0.0005,2
17,57600,-477.2802219390869,-4.772802228927612,576,-0.00015062239145891,2533.790985107422,2.1801371723413467,1266.8734970092773,49.302672154735774,0.0003396444912486185,0.0,-0.015825271606445312,1.0,0.0005,2
18,60800,-588.4598245620728,-5.88459804058075,608,0.00013790488477427587,3861.8457946777344,2.1783337742090225,1930.9012908935547,60.52777811978012,0.00019923801130554178,0.0,-0.007348895072937012,1.0,0.0005,2
19,64000,-554.6726007461548,-5.546725945472717,640,0.0004006713171383902,3486.536666870117,2.1837971806526184,1743.2468872070312,63.8163035758771,0.0009626602306984047,0.0001822916674427688,-0.011618852615356445,1.0,0.0005,2
20,67200,-536.408805847168,-5.364087905883789,672,-7.011431297998527e-05,3352.130630493164,2.1800327748060226,1676.0434341430664,61.647793433163315,0.0007558040321104297,5.208333459449932e-05,-0.009097814559936523,1.0,0.0005,2
21,70400,-518.5928320884705,-5.185928139686585,704,-0.00026561106285960534,3087.031753540039,2.1777127981185913,1543.4938583374023,53.250350314658135,0.0003317929294443672,0.0,0.007752716541290283,1.0,0.0005,2
22,73600,-561.2762174606323,-5.612762093544006,736,-0.0004554347128098435,3497.511703491211,2.1750856041908264,1748.7336730957031,62.080023255664855,0.0003002595310594734,0.0,-0.024864912033081055,1.0,0.0005,2
23,76800,-511.72546100616455,-5.117254490852356,768,-0.00045366981872274614,2935.994384765625,2.175334706902504,1467.9749908447266,55.17136952932924,0.0008691475968594092,0.0005208333386690356,-0.009381532669067383,1.0,0.0005,2
24,80000,-518.9685335159302,-5.189685392379761,800,-0.0002788268388895787,2999.316436767578,2.1658146679401398,1499.6362838745117,60.1619706149213,0.001120476228380095,0.0008072916898527183,-0.009901881217956543,1.0,0.0005,2
25,83200,-507.4888153076172,-5.074888205528259,832,-9.927842190639302e-05,2935.157272338867,2.1578888446092606,1467.5569305419922,61.27589421905577,0.0006032230982105195,0.0,-0.0021979808807373047,1.0,0.0005,2
26,86400,-479.3599262237549,-4.793599429130555,864,-0.0006136693771745527,2518.5853118896484,2.158350646495819,1259.2704315185547,54.53720403229818,0.0004489225393063045,0.0,-0.01797330379486084,1.0,0.0005,2
27,89600,-498.6573905944824,-4.986573972702026,896,0.00025234461332956926,2808.9933166503906,2.15630379319191,1404.4753036499023,57.94943596282974,0.0007350911150757067,0.0,0.00575023889541626,1.0,0.0005,2
28,92800,-512.9783687591553,-5.129783382415772,928,-0.00030693315403773624,2821.9205169677734,2.1546997874975204,1410.9384002685547,61.96058906149119,0.0006417586018874405,0.0005989583405607846,-0.020592331886291504,1.0,0.0005,2
29,96000,-527.5121154785156,-5.275121150016784,960,-0.0001259010115424175,3062.4237213134766,2.1481901109218597,1531.1902542114258,65.3072708887048,0.0006501330619817604,0.0,-0.01301884651184082,1.0,0.0005,2
30,99200,-459.48823165893555,-4.5948824787139895,992,-0.0005857455164308689,2371.4575805664062,2.1501007974147797,1185.7067260742188,54.57680373219773,0.000489702839559463,2.604166729724966e-05,-0.014490365982055664,1.0,0.0005,2
31,102400,-498.68337059020996,-4.986833744049072,1024,-0.0003094563285048757,2727.2936096191406,2.1484795063734055,1363.6250305175781,58.93359117442742,0.001174284609988348,0.0036197916779201478,-0.024405360221862793,1.0,0.0005,2
32,105600,-487.4879264831543,-4.874879446029663,1056,0.0004911729876280191,2583.1979064941406,2.158794939517975,1291.5778274536133,57.96965745650232,0.0004711928165766536,0.0,-0.011652231216430664,1.0,0.0005,2
33,108800,-526.2462425231934,-5.262462286949158,1088,-0.0005618395623501193,3132.6659240722656,2.1448769569396973,1566.310935974121,64.96507747890428,0.0008787325845111141,0.0007812499788997229,-0.017064809799194336,1.0,0.0005,2
34,112000,-524.8031854629517,-5.248031854629517,1120,0.00043796929152062347,3046.8179626464844,2.1371613144874573,1523.388069152832,61.83784593408927,0.0014076768848104912,0.0003125000002910383,0.003940761089324951,1.0,0.0005,2
35,115200,-476.2215404510498,-4.762215390205383,1152,-0.0010957277252900965,2409.2452850341797,2.1486901342868805,1204.6000518798828,55.970729558262974,0.0011747194337209392,0.004479166753299069,-0.010344386100769043,1.0,0.0005,2
36,118400,-515.4178829193115,-5.1541788864135745,1184,-0.000561752589891551,2881.1398162841797,2.1516628563404083,1440.547866821289,61.948943903669715,0.0009996669739399259,0.000651041653327411,-0.007170915603637695,1.0,0.0005,2
37,121600,-495.3272523880005,-4.953272566795349,1216,-0.0005425178602393999,2573.3318786621094,2.1429361701011658,1286.6439666748047,60.48140733875334,0.0006539109424471329,0.0,-0.005716919898986816,1.0,0.0005,2
38,124800,-496.41735076904297,-4.964173402786255,1248,0.0004312897209874933,2700.2711486816406,2.131085768342018,1350.1147079467773,66.67065470293164,0.001132961687290483,0.00020833333474001847,-0.011185765266418457,1.0,0.0005,2
39,128000,-576.0547704696655,-5.760547857284546,1280,-0.00019206998680587617,3876.1309356689453,2.134956866502762,1938.043930053711,73.47820732882246,0.0009056799732439906,0.0004687500113504939,-0.003207683563232422,1.0,0.0005,2
40,131200,-514.1602697372437,-5.14160234451294,1312,-0.00027187426060315545,2828.016082763672,2.1425194144248962,1413.9863357543945,63.59631314687431,0.0010227643724652958,0.0008593749989813659,-0.012716531753540039,1.0,0.0005,2
41,134400,-488.6744451522827,-4.886744513511657,1344,-0.0004101611149054385,2577.467544555664,2.150360584259033,1288.7118911743164,56.97482590191066,0.0006333111344935043,0.0003906250130967237,-0.00446164608001709,1.0,0.0005,2
42,137600,-483.55001068115234,-4.835499982833863,1376,-0.00021994686894721838,2484.048583984375,2.1453883796930313,1242.0025939941406,56.575704225338995,0.0010976850458069933,0.0011458333574410062,-0.0050351619720458984,1.0,0.0005,2
43,140800,-448.63953161239624,-4.486395318508148,1408,-0.0007477580038357523,2149.6656951904297,2.136040613055229,1074.8107452392578,53.38977589830756,0.0007158016866247535,0.00010416666918899864,-0.004613041877746582,1.0,0.0005,2
44,144000,-502.2623682022095,-5.022623734474182,1440,-0.001018756476439009,2614.263458251953,2.1295420974493027,1307.1094360351562,60.68146542273462,0.000800299383172943,0.00020833333837799728,-0.011356592178344727,1.0,0.0005,2
45,147200,-488.8302035331726,-4.8883016443252565,1472,-0.0006252298251974153,2614.823486328125,2.116410478949547,1307.3899383544922,59.356767151039094,0.0009295959484921784,0.001718749957944965,-0.009124755859375,1.0,0.0005,2
46,150400,-428.02545738220215,-4.280254666805267,1504,-0.00024517031297977,1890.2628326416016,2.1128865480422974,945.1100463867188,52.34636270906776,0.0010464875097119363,0.0008333333535119891,-0.008050203323364258,1.0,0.0005,2
47,153600,-457.2813982963562,-4.572813861370086,1536,-0.0010117086625784921,2256.473434448242,2.0971801429986954,1128.2147064208984,56.22434880863875,0.0006580408825704687,0.00135416670673294,-0.0008513927459716797,1.0,0.0005,2
48,156800,-461.88213205337524,-4.618821125030518,1568,-0.0005129653658574873,2282.0818786621094,2.107002705335617,1141.0193634033203,59.56576422415674,0.0009021631501588164,0.002031250020081643,-0.003307938575744629,1.0,0.0005,2
49,160000,-460.79398012161255,-4.607939953804016,1600,-0.00037228346020112824,2258.7806854248047,2.1236743927001953,1129.3687362670898,57.54734172625467,0.0009206463292918376,0.0023697917204117402,0.0005397200584411621,1.0,0.0005,2
50,163200,-489.8649559020996,-4.898649454116821,1632,-0.00011349936101856528,2491.746566772461,2.109966903924942,1245.8520889282227,61.460125755053014,0.0007425624779677025,0.0005208333459449932,-0.005578160285949707,1.0,0.0005,2
51,166400,-450.51805210113525,-4.505180373191833,1664,0.0003663001702047808,2098.4915084838867,2.1235083043575287,1049.2248840332031,59.488152269273996,0.0011843575989593227,0.002213541680248454,-0.0018651485443115234,1.0,0.0005,2
52,169600,-464.44379138946533,-4.644437952041626,1696,-0.0003098727489683206,2205.8998107910156,2.1211326867341995,1102.9283599853516,59.8277651257813,0.0006040888408739783,0.0,-0.003880023956298828,1.0,0.0005,2
53,172800,-436.4019556045532,-4.364019482135773,1728,-0.00046422616720409593,1966.9121475219727,2.126994624733925,983.4343299865723,54.10949925845489,0.0004755249393616473,0.00010416666918899864,-0.0062590837478637695,1.0,0.0005,2
54,176000,-444.47327852249146,-4.444732863903045,1760,0.00017125822857821937,1984.1960067749023,2.115724593400955,992.0770149230957,53.984198410995305,0.0006264181603234124,0.0,-0.002445697784423828,1.0,0.0005,2
55,179200,-487.6300439834595,-4.876300067901611,1792,-0.0005433132515637595,2402.201919555664,2.111915200948715,1201.0792999267578,63.9202969414182,0.0006979148203078193,0.0005729166587116197,-0.0019211769104003906,1.0,0.0005,2
56,182400,-474.9558730125427,-4.749558367729187,1824,-0.00019976915640951276,2337.0863647460938,2.106373369693756,1168.5219345092773,62.90694335428998,0.0007736486884374655,0.0003906250094587449,-0.0029129981994628906,1.0,0.0005,2
57,185600,-482.2166118621826,-4.822166209220886,1856,8.029942916154553e-06,2355.774612426758,2.094976767897606,1177.866355895996,63.18542406242341,0.0006818618605854564,0.0,-0.0038908720016479492,1.0,0.0005,2
58,188800,-465.81360816955566,-4.658135924339295,1888,4.421790088882105e-05,2319.4148712158203,2.105206549167633,1159.6864471435547,61.52623580349609,0.0006855499879072306,0.0008072916643868666,-0.0028340816497802734,1.0,0.0005,2
59,192000,-462.7521867752075,-4.627522006034851,1920,7.954660989528684e-05,2158.906509399414,2.106824114918709,1079.432258605957,62.14128625812009,0.0006790179076012091,5.208333459449932e-05,-0.0012357234954833984,1.0,0.0005,2
