iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
0,20,0.0,-6.381909370422363,0,-0.004351270461726564,600.4686622619629,2.197173982858658,300.20800399780273,26.05498433113098,4.455290130067624e-05,0.0,-0.007940053939819336,1.0,0.0005,7
1,40,0.0,-6.988808488845825,0,-0.0009150698888333864,714.5013427734375,2.1969953775405884,357.22778129577637,33.63298153877258,1.9939204818915832e-05,0.0,-0.000647425651550293,1.0,0.0005,7
2,60,0.0,-7.519457864761352,0,-0.0011044978114416182,825.1391696929932,2.196795016527176,412.54651165008545,36.19342124462128,1.3140747526563246e-05,0.0,0.001285552978515625,1.0,0.0005,7
3,80,0.0,-6.803147315979004,0,-0.001656764017752721,668.8438262939453,2.196578621864319,334.3982810974121,29.736788272857666,1.5033945121700754e-05,0.0,0.006253540515899658,1.0,0.0005,7
4,100,0.0,-6.590746021270752,0,-0.00028167541246748584,656.7224617004395,2.1963455080986023,328.3389778137207,29.59583008289337,1.0947358930479822e-05,0.0,0.013787686824798584,1.0,0.0005,7
5,120,0.0,-6.347415018081665,0,-0.0022739817635741844,574.2049827575684,2.1962350010871887,287.07824897766113,25.679953575134277,1.8094258607230055e-05,0.0,0.022374212741851807,1.0,0.0005,7
6,140,0.0,-5.9729820728302006,0,-0.0006203713619168383,546.647590637207,2.195997476577759,273.3012065887451,24.625550508499146,1.5511095355691396e-05,0.0,0.027478814125061035,1.0,0.0005,7
7,160,0.0,-6.044891405105591,0,-0.0012050401343610684,554.4086227416992,2.195716619491577,277.18115425109863,21.658891439437866,1.6763177214447942e-05,0.0,0.04013758897781372,1.0,0.0005,7
8,180,0.0,-6.439942121505737,0,-0.0002702429814238627,604.9746284484863,2.1956337690353394,302.46509742736816,24.135531425476074,6.360932509726543e-06,0.0,0.04425382614135742,1.0,0.0005,7
9,200,-655.2458038330078,-6.435277986526489,2,-0.001958805570757338,583.216739654541,2.195520967245102,291.5844612121582,22.682034850120544,2.501777477448286e-05,0.0,0.04532736539840698,1.0,0.0005,7
