[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 20/70: broadcast_zm seed0 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/broadcast_zm/seed0  Start: Sat Jun 27 17:02:27 EDT 2026
Sat Jun 27 17:02:27 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:3B:00.0 Off |                    0 |
| N/A   31C    P0             36W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=0 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-91.814 eval_ret=-54.058 pursuer_target_distance=6.601 capture=0.000 cap=0.000 td_loss=0.4145 q_tot=+11.377 tgt=+11.362 gnorm=52.87 w_min=9.20e-09 eps=0.621 buf=20000 upd=469 seed=0
step=   40000 ep_ret=-94.621 eval_ret=-55.631 pursuer_target_distance=7.037 capture=0.000 cap=0.010 td_loss=0.1087 q_tot=+11.590 tgt=+11.581 gnorm=29.09 w_min=6.05e-09 eps=0.241 buf=40000 upd=1094 seed=0
step=   60000 ep_ret=-88.633 eval_ret=-43.360 pursuer_target_distance=7.117 capture=0.000 cap=0.000 td_loss=0.1467 q_tot=+11.586 tgt=+11.582 gnorm=36.19 w_min=3.73e-09 eps=0.050 buf=60000 upd=1719 seed=0
step=   80000 ep_ret=-82.681 eval_ret=-72.470 pursuer_target_distance=7.117 capture=0.001 cap=0.004 td_loss=0.2006 q_tot=+10.595 tgt=+10.592 gnorm=44.07 w_min=4.47e-08 eps=0.050 buf=80000 upd=2344 seed=0
step=  100000 ep_ret=-74.139 eval_ret=-47.419 pursuer_target_distance=5.926 capture=0.003 cap=0.042 td_loss=0.2213 q_tot=+9.043 tgt=+9.037 gnorm=46.48 w_min=6.33e-08 eps=0.050 buf=100000 upd=2969 seed=0
step=  120000 ep_ret=-64.446 eval_ret=-34.799 pursuer_target_distance=4.971 capture=0.006 cap=0.031 td_loss=0.3308 q_tot=+8.151 tgt=+8.147 gnorm=56.71 w_min=9.31e-09 eps=0.050 buf=100000 upd=3594 seed=0
step=  140000 ep_ret=-52.417 eval_ret=-22.394 pursuer_target_distance=4.410 capture=0.000 cap=0.005 td_loss=0.4078 q_tot=+7.913 tgt=+7.910 gnorm=65.78 w_min=3.26e-09 eps=0.050 buf=100000 upd=4219 seed=0
step=  160000 ep_ret=-48.930 eval_ret=-19.429 pursuer_target_distance=3.828 capture=0.001 cap=0.013 td_loss=0.4169 q_tot=+7.674 tgt=+7.672 gnorm=71.87 w_min=5.96e-08 eps=0.050 buf=100000 upd=4844 seed=0
step=  180000 ep_ret=-28.489 eval_ret=-21.843 pursuer_target_distance=3.642 capture=0.002 cap=0.021 td_loss=0.4639 q_tot=+7.941 tgt=+7.939 gnorm=79.76 w_min=7.45e-09 eps=0.050 buf=100000 upd=5469 seed=0
step=  200000 ep_ret=-35.563 eval_ret=-25.456 pursuer_target_distance=3.205 capture=0.002 cap=0.021 td_loss=0.5011 q_tot=+8.225 tgt=+8.224 gnorm=81.82 w_min=1.86e-09 eps=0.050 buf=100000 upd=6094 seed=0
step=  220000 ep_ret=-41.173 eval_ret=-22.269 pursuer_target_distance=3.075 capture=0.003 cap=0.036 td_loss=0.4276 q_tot=+8.840 tgt=+8.842 gnorm=74.35 w_min=2.24e-08 eps=0.050 buf=100000 upd=6719 seed=0
step=  240000 ep_ret=-33.436 eval_ret=-22.432 pursuer_target_distance=2.879 capture=0.003 cap=0.040 td_loss=0.5344 q_tot=+9.673 tgt=+9.671 gnorm=83.41 w_min=0.00e+00 eps=0.050 buf=100000 upd=7344 seed=0
step=  260000 ep_ret=-30.181 eval_ret=-28.845 pursuer_target_distance=2.892 capture=0.005 cap=0.031 td_loss=0.5874 q_tot=+10.555 tgt=+10.557 gnorm=87.15 w_min=1.86e-09 eps=0.050 buf=100000 upd=7969 seed=0
step=  280000 ep_ret=-25.712 eval_ret=-18.688 pursuer_target_distance=2.615 capture=0.002 cap=0.031 td_loss=0.6309 q_tot=+10.413 tgt=+10.412 gnorm=95.09 w_min=1.02e-08 eps=0.050 buf=100000 upd=8594 seed=0
step=  300000 ep_ret=-20.071 eval_ret=-23.279 pursuer_target_distance=2.550 capture=0.004 cap=0.031 td_loss=0.6643 q_tot=+10.977 tgt=+10.977 gnorm=96.86 w_min=1.27e-07 eps=0.050 buf=100000 upd=9219 seed=0
step=  320000 ep_ret=-25.240 eval_ret=-17.575 pursuer_target_distance=2.491 capture=0.003 cap=0.027 td_loss=0.7049 q_tot=+11.286 tgt=+11.283 gnorm=103.75 w_min=1.42e-07 eps=0.050 buf=100000 upd=9844 seed=0
step=  340000 ep_ret=-30.677 eval_ret=-19.216 pursuer_target_distance=2.946 capture=0.004 cap=0.052 td_loss=0.7042 q_tot=+11.064 tgt=+11.061 gnorm=107.53 w_min=2.61e-08 eps=0.050 buf=100000 upd=10469 seed=0
step=  360000 ep_ret=-31.491 eval_ret=-17.931 pursuer_target_distance=2.833 capture=0.003 cap=0.031 td_loss=0.7624 q_tot=+10.129 tgt=+10.128 gnorm=110.27 w_min=8.94e-08 eps=0.050 buf=100000 upd=11094 seed=0
step=  380000 ep_ret=-28.664 eval_ret=+92.341 pursuer_target_distance=3.086 capture=0.004 cap=0.068 td_loss=0.7790 q_tot=+9.596 tgt=+9.596 gnorm=110.32 w_min=9.31e-09 eps=0.050 buf=100000 upd=11719 seed=0
step=  400000 ep_ret=-28.458 eval_ret=-22.696 pursuer_target_distance=2.801 capture=0.002 cap=0.018 td_loss=0.7912 q_tot=+8.421 tgt=+8.417 gnorm=110.83 w_min=0.00e+00 eps=0.050 buf=100000 upd=12344 seed=0
step=  420000 ep_ret=-40.082 eval_ret=-26.418 pursuer_target_distance=2.948 capture=0.002 cap=0.021 td_loss=0.7959 q_tot=+8.204 tgt=+8.203 gnorm=114.15 w_min=2.61e-08 eps=0.050 buf=100000 upd=12969 seed=0
step=  440000 ep_ret=-39.289 eval_ret=-30.815 pursuer_target_distance=2.958 capture=0.004 cap=0.036 td_loss=0.7549 q_tot=+8.608 tgt=+8.607 gnorm=112.41 w_min=4.47e-08 eps=0.050 buf=100000 upd=13594 seed=0
step=  460000 ep_ret=-22.740 eval_ret=-20.350 pursuer_target_distance=2.474 capture=0.001 cap=0.016 td_loss=0.7249 q_tot=+8.832 tgt=+8.831 gnorm=110.97 w_min=8.09e-09 eps=0.050 buf=100000 upd=14219 seed=0
step=  480000 ep_ret=-23.581 eval_ret=-19.595 pursuer_target_distance=2.762 capture=0.006 cap=0.040 td_loss=0.7333 q_tot=+8.921 tgt=+8.919 gnorm=110.45 w_min=6.71e-08 eps=0.050 buf=100000 upd=14844 seed=0
step=  500000 ep_ret=-31.048 eval_ret=-15.481 pursuer_target_distance=3.263 capture=0.001 cap=0.021 td_loss=0.7535 q_tot=+9.059 tgt=+9.058 gnorm=111.71 w_min=3.73e-08 eps=0.050 buf=100000 upd=15469 seed=0
step=  520000 ep_ret=-15.040 eval_ret=-21.969 pursuer_target_distance=3.142 capture=0.004 cap=0.036 td_loss=0.7717 q_tot=+9.228 tgt=+9.229 gnorm=117.45 w_min=4.66e-08 eps=0.050 buf=100000 upd=16094 seed=0
step=  540000 ep_ret=-26.720 eval_ret=-24.996 pursuer_target_distance=2.946 capture=0.005 cap=0.062 td_loss=0.8131 q_tot=+9.211 tgt=+9.207 gnorm=115.10 w_min=6.71e-08 eps=0.050 buf=100000 upd=16719 seed=0
step=  560000 ep_ret=-34.843 eval_ret=-32.407 pursuer_target_distance=3.081 capture=0.005 cap=0.036 td_loss=0.9111 q_tot=+9.556 tgt=+9.554 gnorm=123.42 w_min=9.31e-09 eps=0.050 buf=100000 upd=17344 seed=0
step=  580000 ep_ret=-15.488 eval_ret=-20.567 pursuer_target_distance=3.290 capture=0.011 cap=0.042 td_loss=0.9503 q_tot=+9.292 tgt=+9.289 gnorm=126.94 w_min=5.22e-08 eps=0.050 buf=100000 upd=17969 seed=0
step=  600000 ep_ret=-28.378 eval_ret=-47.255 pursuer_target_distance=2.832 capture=0.008 cap=0.036 td_loss=1.0142 q_tot=+9.387 tgt=+9.385 gnorm=130.83 w_min=4.47e-08 eps=0.050 buf=100000 upd=18594 seed=0
step=  620000 ep_ret=-30.067 eval_ret=-23.958 pursuer_target_distance=2.984 capture=0.001 cap=0.021 td_loss=1.1076 q_tot=+10.282 tgt=+10.285 gnorm=143.11 w_min=4.17e-08 eps=0.050 buf=100000 upd=19219 seed=0
step=  640000 ep_ret=-36.259 eval_ret=-36.312 pursuer_target_distance=2.990 capture=0.004 cap=0.036 td_loss=1.0552 q_tot=+9.795 tgt=+9.792 gnorm=144.71 w_min=3.73e-09 eps=0.050 buf=100000 upd=19844 seed=0
step=  660000 ep_ret=-37.340 eval_ret=-36.544 pursuer_target_distance=3.125 capture=0.001 cap=0.016 td_loss=1.0206 q_tot=+9.253 tgt=+9.249 gnorm=147.68 w_min=1.25e-07 eps=0.050 buf=100000 upd=20469 seed=0
step=  680000 ep_ret=-17.143 eval_ret=-24.970 pursuer_target_distance=3.153 capture=0.003 cap=0.036 td_loss=0.9844 q_tot=+9.170 tgt=+9.173 gnorm=145.61 w_min=0.00e+00 eps=0.050 buf=100000 upd=21094 seed=0
step=  700000 ep_ret=-10.228 eval_ret=-47.946 pursuer_target_distance=2.867 capture=0.006 cap=0.057 td_loss=0.8287 q_tot=+8.664 tgt=+8.664 gnorm=123.90 w_min=2.09e-07 eps=0.050 buf=100000 upd=21719 seed=0
step=  720000 ep_ret=-36.142 eval_ret=-24.890 pursuer_target_distance=3.002 capture=0.001 cap=0.013 td_loss=0.8288 q_tot=+7.960 tgt=+7.958 gnorm=123.40 w_min=4.47e-08 eps=0.050 buf=100000 upd=22344 seed=0
step=  740000 ep_ret=-31.397 eval_ret=-32.551 pursuer_target_distance=2.739 capture=0.003 cap=0.021 td_loss=0.7476 q_tot=+7.711 tgt=+7.710 gnorm=118.40 w_min=1.49e-08 eps=0.050 buf=100000 upd=22969 seed=0
step=  760000 ep_ret=-44.468 eval_ret=-50.698 pursuer_target_distance=3.074 capture=0.007 cap=0.031 td_loss=0.8987 q_tot=+7.815 tgt=+7.816 gnorm=130.01 w_min=3.73e-08 eps=0.050 buf=100000 upd=23594 seed=0
step=  780000 ep_ret=-27.822 eval_ret=-47.982 pursuer_target_distance=2.750 capture=0.002 cap=0.021 td_loss=0.9810 q_tot=+7.098 tgt=+7.093 gnorm=136.71 w_min=6.71e-08 eps=0.050 buf=100000 upd=24219 seed=0
step=  800000 ep_ret=-30.326 eval_ret=-40.179 pursuer_target_distance=2.758 capture=0.004 cap=0.049 td_loss=0.9109 q_tot=+6.294 tgt=+6.293 gnorm=125.76 w_min=1.04e-07 eps=0.050 buf=100000 upd=24844 seed=0
step=  820000 ep_ret=-22.026 eval_ret=-53.798 pursuer_target_distance=2.915 capture=0.004 cap=0.042 td_loss=0.8573 q_tot=+6.822 tgt=+6.818 gnorm=117.42 w_min=9.69e-08 eps=0.050 buf=100000 upd=25469 seed=0
step=  840000 ep_ret=-27.173 eval_ret=-19.527 pursuer_target_distance=2.865 capture=0.004 cap=0.031 td_loss=0.8903 q_tot=+6.321 tgt=+6.320 gnorm=116.82 w_min=8.41e-08 eps=0.050 buf=100000 upd=26094 seed=0
step=  860000 ep_ret=-22.360 eval_ret=+21.816 pursuer_target_distance=2.639 capture=0.004 cap=0.042 td_loss=0.9067 q_tot=+5.246 tgt=+5.247 gnorm=115.72 w_min=3.73e-08 eps=0.050 buf=100000 upd=26719 seed=0
step=  880000 ep_ret=-28.268 eval_ret=-20.615 pursuer_target_distance=3.135 capture=0.001 cap=0.018 td_loss=0.7978 q_tot=+5.071 tgt=+5.070 gnorm=103.99 w_min=1.04e-07 eps=0.050 buf=100000 upd=27344 seed=0
step=  900000 ep_ret=-27.434 eval_ret=-25.072 pursuer_target_distance=2.974 capture=0.003 cap=0.026 td_loss=0.8527 q_tot=+4.833 tgt=+4.829 gnorm=115.13 w_min=3.96e-08 eps=0.050 buf=100000 upd=27969 seed=0
step=  920000 ep_ret=-28.920 eval_ret=-25.372 pursuer_target_distance=2.912 capture=0.001 cap=0.021 td_loss=0.7935 q_tot=+3.825 tgt=+3.825 gnorm=108.51 w_min=2.98e-08 eps=0.050 buf=100000 upd=28594 seed=0
step=  940000 ep_ret=-35.587 eval_ret=-46.268 pursuer_target_distance=2.924 capture=0.006 cap=0.026 td_loss=0.8436 q_tot=+4.008 tgt=+4.007 gnorm=112.84 w_min=7.64e-08 eps=0.050 buf=100000 upd=29219 seed=0
step=  960000 ep_ret=-24.849 eval_ret=-18.393 pursuer_target_distance=2.896 capture=0.003 cap=0.031 td_loss=0.7885 q_tot=+3.403 tgt=+3.403 gnorm=105.65 w_min=1.64e-07 eps=0.050 buf=100000 upd=29844 seed=0
step=  980000 ep_ret=-33.721 eval_ret=+2.237 pursuer_target_distance=3.021 capture=0.003 cap=0.026 td_loss=0.7661 q_tot=+3.575 tgt=+3.577 gnorm=99.29 w_min=0.00e+00 eps=0.050 buf=100000 upd=30469 seed=0
step= 1000000 ep_ret=-33.355 eval_ret=-54.661 pursuer_target_distance=2.752 capture=0.001 cap=0.016 td_loss=0.7667 q_tot=+2.946 tgt=+2.950 gnorm=97.33 w_min=0.00e+00 eps=0.050 buf=100000 upd=31094 seed=0
step= 1020000 ep_ret=-31.521 eval_ret=-23.120 pursuer_target_distance=2.765 capture=0.006 cap=0.036 td_loss=0.7957 q_tot=+2.975 tgt=+2.979 gnorm=101.81 w_min=1.49e-08 eps=0.050 buf=100000 upd=31719 seed=0
