[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 29/70: broadcast_zm seed9 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/broadcast_zm/seed9  Start: Sat Jun 27 17:03:59 EDT 2026
Sat Jun 27 17:03:59 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:D8:00.0 Off |                    0 |
| N/A   29C    P0             37W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=9 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-67.237 eval_ret=-51.977 pursuer_target_distance=5.785 capture=0.001 cap=0.005 td_loss=0.2352 q_tot=+11.260 tgt=+11.250 gnorm=41.25 w_min=5.59e-09 eps=0.621 buf=20000 upd=469 seed=9
step=   40000 ep_ret=-84.181 eval_ret=-62.857 pursuer_target_distance=6.679 capture=0.003 cap=0.010 td_loss=0.1689 q_tot=+12.593 tgt=+12.588 gnorm=36.63 w_min=3.73e-09 eps=0.241 buf=40000 upd=1094 seed=9
step=   60000 ep_ret=-68.703 eval_ret=-40.470 pursuer_target_distance=6.542 capture=0.000 cap=0.005 td_loss=0.2653 q_tot=+13.164 tgt=+13.163 gnorm=51.09 w_min=1.49e-08 eps=0.050 buf=60000 upd=1719 seed=9
step=   80000 ep_ret=-71.059 eval_ret=-32.678 pursuer_target_distance=6.156 capture=0.000 cap=0.004 td_loss=0.2350 q_tot=+12.654 tgt=+12.651 gnorm=50.22 w_min=1.30e-08 eps=0.050 buf=80000 upd=2344 seed=9
step=  100000 ep_ret=-58.081 eval_ret=-26.872 pursuer_target_distance=5.810 capture=0.000 cap=0.000 td_loss=0.2500 q_tot=+11.961 tgt=+11.959 gnorm=57.17 w_min=3.73e-09 eps=0.050 buf=100000 upd=2969 seed=9
step=  120000 ep_ret=-69.207 eval_ret=-26.017 pursuer_target_distance=5.456 capture=0.001 cap=0.010 td_loss=0.2727 q_tot=+11.192 tgt=+11.190 gnorm=60.16 w_min=1.86e-08 eps=0.050 buf=100000 upd=3594 seed=9
step=  140000 ep_ret=-51.364 eval_ret=-28.777 pursuer_target_distance=4.184 capture=0.001 cap=0.010 td_loss=0.2804 q_tot=+10.809 tgt=+10.806 gnorm=65.56 w_min=5.82e-09 eps=0.050 buf=100000 upd=4219 seed=9
step=  160000 ep_ret=-31.099 eval_ret=-18.383 pursuer_target_distance=3.459 capture=0.004 cap=0.045 td_loss=0.3359 q_tot=+10.408 tgt=+10.405 gnorm=69.25 w_min=8.01e-08 eps=0.050 buf=100000 upd=4844 seed=9
step=  180000 ep_ret=-29.975 eval_ret=-20.291 pursuer_target_distance=3.586 capture=0.005 cap=0.057 td_loss=0.4581 q_tot=+10.044 tgt=+10.042 gnorm=80.47 w_min=1.49e-08 eps=0.050 buf=100000 upd=5469 seed=9
step=  200000 ep_ret=-47.165 eval_ret=-16.655 pursuer_target_distance=3.074 capture=0.002 cap=0.021 td_loss=0.5253 q_tot=+9.944 tgt=+9.944 gnorm=87.28 w_min=7.45e-09 eps=0.050 buf=100000 upd=6094 seed=9
step=  220000 ep_ret=-33.993 eval_ret=-18.009 pursuer_target_distance=3.117 capture=0.002 cap=0.016 td_loss=0.5595 q_tot=+10.547 tgt=+10.546 gnorm=91.30 w_min=1.12e-08 eps=0.050 buf=100000 upd=6719 seed=9
step=  240000 ep_ret=-34.026 eval_ret=-12.115 pursuer_target_distance=3.352 capture=0.003 cap=0.027 td_loss=0.6470 q_tot=+10.945 tgt=+10.941 gnorm=102.86 w_min=1.96e-08 eps=0.050 buf=100000 upd=7344 seed=9
step=  260000 ep_ret=-45.169 eval_ret=-24.527 pursuer_target_distance=3.615 capture=0.002 cap=0.031 td_loss=0.6299 q_tot=+11.219 tgt=+11.218 gnorm=103.56 w_min=3.73e-09 eps=0.050 buf=100000 upd=7969 seed=9
step=  280000 ep_ret=-36.969 eval_ret=-17.095 pursuer_target_distance=3.112 capture=0.002 cap=0.010 td_loss=0.5923 q_tot=+10.996 tgt=+10.993 gnorm=103.39 w_min=2.24e-08 eps=0.050 buf=100000 upd=8594 seed=9
step=  300000 ep_ret=-40.528 eval_ret=-18.181 pursuer_target_distance=3.070 capture=0.004 cap=0.036 td_loss=0.6017 q_tot=+9.908 tgt=+9.903 gnorm=103.69 w_min=1.21e-08 eps=0.050 buf=100000 upd=9219 seed=9
step=  320000 ep_ret=-30.338 eval_ret=-18.604 pursuer_target_distance=2.740 capture=0.004 cap=0.027 td_loss=0.7000 q_tot=+9.516 tgt=+9.515 gnorm=111.77 w_min=0.00e+00 eps=0.050 buf=100000 upd=9844 seed=9
step=  340000 ep_ret=-22.984 eval_ret=-14.164 pursuer_target_distance=2.542 capture=0.004 cap=0.026 td_loss=0.7169 q_tot=+9.905 tgt=+9.904 gnorm=111.06 w_min=3.73e-08 eps=0.050 buf=100000 upd=10469 seed=9
step=  360000 ep_ret=-31.385 eval_ret=-21.511 pursuer_target_distance=2.930 capture=0.002 cap=0.016 td_loss=0.7636 q_tot=+10.156 tgt=+10.155 gnorm=118.01 w_min=1.49e-08 eps=0.050 buf=100000 upd=11094 seed=9
step=  380000 ep_ret=-31.643 eval_ret=-21.738 pursuer_target_distance=2.851 capture=0.005 cap=0.016 td_loss=0.7846 q_tot=+10.100 tgt=+10.098 gnorm=120.23 w_min=3.73e-08 eps=0.050 buf=100000 upd=11719 seed=9
step=  400000 ep_ret=-27.999 eval_ret=-19.000 pursuer_target_distance=2.892 capture=0.004 cap=0.040 td_loss=0.8209 q_tot=+10.129 tgt=+10.127 gnorm=130.46 w_min=7.45e-08 eps=0.050 buf=100000 upd=12344 seed=9
step=  420000 ep_ret=-33.368 eval_ret=-12.488 pursuer_target_distance=3.145 capture=0.002 cap=0.026 td_loss=0.7792 q_tot=+10.038 tgt=+10.035 gnorm=129.26 w_min=2.05e-08 eps=0.050 buf=100000 upd=12969 seed=9
step=  440000 ep_ret=-29.806 eval_ret=-18.978 pursuer_target_distance=2.947 capture=0.001 cap=0.016 td_loss=0.7250 q_tot=+9.385 tgt=+9.384 gnorm=125.60 w_min=7.45e-09 eps=0.050 buf=100000 upd=13594 seed=9
step=  460000 ep_ret=-26.696 eval_ret=-21.815 pursuer_target_distance=3.012 capture=0.002 cap=0.021 td_loss=0.6869 q_tot=+9.193 tgt=+9.188 gnorm=126.03 w_min=8.20e-08 eps=0.050 buf=100000 upd=14219 seed=9
step=  480000 ep_ret=-37.103 eval_ret=-20.112 pursuer_target_distance=2.794 capture=0.006 cap=0.036 td_loss=0.7562 q_tot=+9.076 tgt=+9.078 gnorm=135.26 w_min=7.45e-09 eps=0.050 buf=100000 upd=14844 seed=9
step=  500000 ep_ret=-35.212 eval_ret=-25.299 pursuer_target_distance=3.128 capture=0.003 cap=0.047 td_loss=0.8179 q_tot=+9.222 tgt=+9.221 gnorm=131.66 w_min=3.54e-08 eps=0.050 buf=100000 upd=15469 seed=9
step=  520000 ep_ret=-46.402 eval_ret=-26.228 pursuer_target_distance=3.036 capture=0.003 cap=0.021 td_loss=0.8682 q_tot=+8.974 tgt=+8.974 gnorm=137.49 w_min=1.06e-07 eps=0.050 buf=100000 upd=16094 seed=9
step=  540000 ep_ret=-28.442 eval_ret=-24.499 pursuer_target_distance=2.869 capture=0.004 cap=0.042 td_loss=0.8459 q_tot=+8.408 tgt=+8.406 gnorm=131.97 w_min=2.24e-08 eps=0.050 buf=100000 upd=16719 seed=9
step=  560000 ep_ret=-39.664 eval_ret=-23.678 pursuer_target_distance=3.123 capture=0.006 cap=0.027 td_loss=0.9187 q_tot=+8.369 tgt=+8.368 gnorm=135.42 w_min=1.86e-08 eps=0.050 buf=100000 upd=17344 seed=9
step=  580000 ep_ret=-37.024 eval_ret=-26.412 pursuer_target_distance=3.035 capture=0.002 cap=0.036 td_loss=1.0020 q_tot=+8.578 tgt=+8.574 gnorm=152.68 w_min=1.12e-07 eps=0.050 buf=100000 upd=17969 seed=9
step=  600000 ep_ret=-33.317 eval_ret=-22.714 pursuer_target_distance=3.177 capture=0.001 cap=0.010 td_loss=0.8770 q_tot=+8.496 tgt=+8.492 gnorm=150.11 w_min=7.45e-09 eps=0.050 buf=100000 upd=18594 seed=9
step=  620000 ep_ret=-35.848 eval_ret=-21.778 pursuer_target_distance=2.935 capture=0.006 cap=0.047 td_loss=0.8530 q_tot=+7.637 tgt=+7.634 gnorm=140.54 w_min=4.20e-08 eps=0.050 buf=100000 upd=19219 seed=9
step=  640000 ep_ret=-38.618 eval_ret=-26.617 pursuer_target_distance=3.251 capture=0.002 cap=0.013 td_loss=0.9146 q_tot=+7.199 tgt=+7.200 gnorm=142.19 w_min=0.00e+00 eps=0.050 buf=100000 upd=19844 seed=9
step=  660000 ep_ret=-31.974 eval_ret=-25.728 pursuer_target_distance=2.787 capture=0.004 cap=0.042 td_loss=0.8825 q_tot=+6.828 tgt=+6.823 gnorm=144.40 w_min=8.57e-08 eps=0.050 buf=100000 upd=20469 seed=9
step=  680000 ep_ret=-32.862 eval_ret=-14.462 pursuer_target_distance=3.064 capture=0.002 cap=0.016 td_loss=0.8571 q_tot=+7.317 tgt=+7.312 gnorm=143.54 w_min=4.47e-08 eps=0.050 buf=100000 upd=21094 seed=9
step=  700000 ep_ret=-34.272 eval_ret=-38.170 pursuer_target_distance=2.772 capture=0.007 cap=0.052 td_loss=0.9416 q_tot=+8.160 tgt=+8.160 gnorm=147.44 w_min=1.86e-09 eps=0.050 buf=100000 upd=21719 seed=9
step=  720000 ep_ret=-52.078 eval_ret=-30.510 pursuer_target_distance=3.261 capture=0.002 cap=0.027 td_loss=0.9239 q_tot=+8.521 tgt=+8.518 gnorm=141.88 w_min=1.71e-07 eps=0.050 buf=100000 upd=22344 seed=9
step=  740000 ep_ret=-32.582 eval_ret=-19.732 pursuer_target_distance=3.382 capture=0.002 cap=0.026 td_loss=0.9243 q_tot=+8.435 tgt=+8.432 gnorm=147.21 w_min=1.49e-07 eps=0.050 buf=100000 upd=22969 seed=9
step=  760000 ep_ret=-24.966 eval_ret=-18.599 pursuer_target_distance=2.928 capture=0.003 cap=0.052 td_loss=0.8264 q_tot=+8.370 tgt=+8.369 gnorm=136.18 w_min=7.45e-08 eps=0.050 buf=100000 upd=23594 seed=9
step=  780000 ep_ret=-37.657 eval_ret=-1.376 pursuer_target_distance=3.048 capture=0.007 cap=0.052 td_loss=0.9980 q_tot=+8.489 tgt=+8.486 gnorm=156.23 w_min=8.94e-08 eps=0.050 buf=100000 upd=24219 seed=9
step=  800000 ep_ret=-36.912 eval_ret=-16.568 pursuer_target_distance=2.848 capture=0.008 cap=0.071 td_loss=1.0270 q_tot=+8.521 tgt=+8.520 gnorm=150.38 w_min=5.54e-08 eps=0.050 buf=100000 upd=24844 seed=9
step=  820000 ep_ret=-24.536 eval_ret=-13.191 pursuer_target_distance=2.997 capture=0.003 cap=0.031 td_loss=1.0840 q_tot=+8.382 tgt=+8.382 gnorm=155.76 w_min=6.71e-08 eps=0.050 buf=100000 upd=25469 seed=9
step=  840000 ep_ret=-32.772 eval_ret=-13.272 pursuer_target_distance=2.787 capture=0.001 cap=0.021 td_loss=1.0551 q_tot=+8.495 tgt=+8.493 gnorm=153.47 w_min=1.30e-08 eps=0.050 buf=100000 upd=26094 seed=9
step=  860000 ep_ret=-32.615 eval_ret=-11.948 pursuer_target_distance=2.877 capture=0.004 cap=0.052 td_loss=1.1361 q_tot=+8.761 tgt=+8.760 gnorm=159.82 w_min=2.98e-08 eps=0.050 buf=100000 upd=26719 seed=9
step=  880000 ep_ret=-29.676 eval_ret=+2.418 pursuer_target_distance=2.879 capture=0.006 cap=0.040 td_loss=1.0312 q_tot=+8.262 tgt=+8.262 gnorm=150.81 w_min=3.73e-09 eps=0.050 buf=100000 upd=27344 seed=9
