[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 52/70: graph seed2 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/graph/seed2  Start: Sat Jun 27 17:15:23 EDT 2026
Sat Jun 27 17:15:23 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:3B:00.0 Off |                    0 |
| N/A   32C    P0             37W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=2 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-91.116 eval_ret=-95.321 pursuer_target_distance=6.492 capture=0.000 cap=0.000 td_loss=0.6003 q_tot=+12.306 tgt=+12.281 gnorm=59.28 w_min=3.73e-09 eps=0.621 buf=20000 upd=469 seed=2
step=   40000 ep_ret=-92.716 eval_ret=-92.304 pursuer_target_distance=6.941 capture=0.003 cap=0.010 td_loss=0.1339 q_tot=+12.065 tgt=+12.058 gnorm=30.04 w_min=2.79e-08 eps=0.241 buf=40000 upd=1094 seed=2
step=   60000 ep_ret=-89.442 eval_ret=-70.476 pursuer_target_distance=7.329 capture=0.001 cap=0.016 td_loss=0.2659 q_tot=+11.762 tgt=+11.759 gnorm=46.02 w_min=1.30e-08 eps=0.050 buf=60000 upd=1719 seed=2
step=   80000 ep_ret=-71.112 eval_ret=-54.047 pursuer_target_distance=6.114 capture=0.000 cap=0.004 td_loss=0.3285 q_tot=+11.098 tgt=+11.095 gnorm=53.79 w_min=2.24e-08 eps=0.050 buf=80000 upd=2344 seed=2
step=  100000 ep_ret=-73.629 eval_ret=-37.551 pursuer_target_distance=5.451 capture=0.000 cap=0.005 td_loss=0.3890 q_tot=+9.678 tgt=+9.675 gnorm=59.84 w_min=1.86e-08 eps=0.050 buf=100000 upd=2969 seed=2
step=  120000 ep_ret=-62.815 eval_ret=-24.431 pursuer_target_distance=4.795 capture=0.000 cap=0.010 td_loss=0.4095 q_tot=+8.508 tgt=+8.505 gnorm=61.64 w_min=0.00e+00 eps=0.050 buf=100000 upd=3594 seed=2
step=  140000 ep_ret=-51.755 eval_ret=-26.067 pursuer_target_distance=4.512 capture=0.001 cap=0.021 td_loss=0.3913 q_tot=+7.790 tgt=+7.787 gnorm=62.34 w_min=3.73e-08 eps=0.050 buf=100000 upd=4219 seed=2
step=  160000 ep_ret=-38.812 eval_ret=-18.947 pursuer_target_distance=3.783 capture=0.005 cap=0.027 td_loss=0.3310 q_tot=+7.037 tgt=+7.034 gnorm=57.30 w_min=4.47e-08 eps=0.050 buf=100000 upd=4844 seed=2
step=  180000 ep_ret=-38.941 eval_ret=+44.051 pursuer_target_distance=3.436 capture=0.007 cap=0.036 td_loss=0.4153 q_tot=+6.591 tgt=+6.588 gnorm=63.95 w_min=1.68e-08 eps=0.050 buf=100000 upd=5469 seed=2
step=  200000 ep_ret=-24.847 eval_ret=-22.153 pursuer_target_distance=3.604 capture=0.003 cap=0.026 td_loss=0.5347 q_tot=+6.676 tgt=+6.674 gnorm=75.96 w_min=9.27e-08 eps=0.050 buf=100000 upd=6094 seed=2
step=  220000 ep_ret=-32.577 eval_ret=+62.545 pursuer_target_distance=3.089 capture=0.005 cap=0.057 td_loss=0.7252 q_tot=+7.123 tgt=+7.125 gnorm=93.13 w_min=7.45e-09 eps=0.050 buf=100000 upd=6719 seed=2
