[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 54/70: graph seed4 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/graph/seed4  Start: Sat Jun 27 17:16:51 EDT 2026
Sat Jun 27 17:16:51 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:D8:00.0 Off |                    0 |
| N/A   32C    P0             37W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=4 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-82.757 eval_ret=-93.057 pursuer_target_distance=6.357 capture=0.000 cap=0.000 td_loss=0.2293 q_tot=+9.302 tgt=+9.286 gnorm=38.88 w_min=6.75e-09 eps=0.621 buf=20000 upd=469 seed=4
step=   40000 ep_ret=-83.541 eval_ret=-103.001 pursuer_target_distance=6.844 capture=0.001 cap=0.005 td_loss=0.1246 q_tot=+10.405 tgt=+10.398 gnorm=31.26 w_min=2.79e-09 eps=0.241 buf=40000 upd=1094 seed=4
step=   60000 ep_ret=-95.283 eval_ret=-115.923 pursuer_target_distance=6.720 capture=0.000 cap=0.000 td_loss=0.1880 q_tot=+10.593 tgt=+10.587 gnorm=41.94 w_min=3.26e-09 eps=0.050 buf=60000 upd=1719 seed=4
step=   80000 ep_ret=-91.796 eval_ret=-74.522 pursuer_target_distance=6.491 capture=0.000 cap=0.000 td_loss=0.1723 q_tot=+9.613 tgt=+9.608 gnorm=42.37 w_min=1.49e-08 eps=0.050 buf=80000 upd=2344 seed=4
step=  100000 ep_ret=-66.392 eval_ret=-71.110 pursuer_target_distance=5.835 capture=0.000 cap=0.000 td_loss=0.1763 q_tot=+8.212 tgt=+8.207 gnorm=41.64 w_min=1.49e-08 eps=0.050 buf=100000 upd=2969 seed=4
step=  120000 ep_ret=-53.131 eval_ret=-90.850 pursuer_target_distance=5.300 capture=0.002 cap=0.021 td_loss=0.2213 q_tot=+7.161 tgt=+7.158 gnorm=46.30 w_min=1.49e-08 eps=0.050 buf=100000 upd=3594 seed=4
step=  140000 ep_ret=-52.327 eval_ret=-46.633 pursuer_target_distance=4.180 capture=0.003 cap=0.021 td_loss=0.2678 q_tot=+6.177 tgt=+6.173 gnorm=50.97 w_min=9.31e-08 eps=0.050 buf=100000 upd=4219 seed=4
step=  160000 ep_ret=-45.529 eval_ret=-43.063 pursuer_target_distance=3.471 capture=0.002 cap=0.013 td_loss=0.3344 q_tot=+5.428 tgt=+5.425 gnorm=56.32 w_min=4.84e-08 eps=0.050 buf=100000 upd=4844 seed=4
step=  180000 ep_ret=-41.876 eval_ret=-46.951 pursuer_target_distance=3.732 capture=0.004 cap=0.036 td_loss=0.4264 q_tot=+5.228 tgt=+5.227 gnorm=64.09 w_min=4.47e-08 eps=0.050 buf=100000 upd=5469 seed=4
step=  200000 ep_ret=-27.222 eval_ret=-38.176 pursuer_target_distance=3.660 capture=0.007 cap=0.047 td_loss=0.5440 q_tot=+4.859 tgt=+4.858 gnorm=71.75 w_min=9.31e-10 eps=0.050 buf=100000 upd=6094 seed=4
step=  220000 ep_ret=-39.031 eval_ret=-42.464 pursuer_target_distance=3.626 capture=0.005 cap=0.031 td_loss=0.7267 q_tot=+4.668 tgt=+4.667 gnorm=84.88 w_min=4.28e-08 eps=0.050 buf=100000 upd=6719 seed=4
