[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 65/70: graph_zm seed5 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/graph_zm/seed5  Start: Sat Jun 27 17:20:42 EDT 2026
Sat Jun 27 17:20:42 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:D8:00.0 Off |                    0 |
| N/A   30C    P0             36W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=5 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-88.486 eval_ret=-79.682 pursuer_target_distance=6.634 capture=0.000 cap=0.000 td_loss=1.4987 q_tot=+11.304 tgt=+11.261 gnorm=92.23 w_min=1.19e-08 eps=0.621 buf=20000 upd=469 seed=5
step=   40000 ep_ret=-96.962 eval_ret=-79.031 pursuer_target_distance=7.119 capture=0.000 cap=0.000 td_loss=0.0958 q_tot=+11.989 tgt=+11.980 gnorm=26.69 w_min=5.24e-09 eps=0.241 buf=40000 upd=1094 seed=5
step=   60000 ep_ret=-71.165 eval_ret=-94.941 pursuer_target_distance=6.404 capture=0.004 cap=0.010 td_loss=0.2196 q_tot=+11.680 tgt=+11.676 gnorm=42.85 w_min=0.00e+00 eps=0.050 buf=60000 upd=1719 seed=5
step=   80000 ep_ret=-62.955 eval_ret=-60.466 pursuer_target_distance=6.290 capture=0.001 cap=0.004 td_loss=0.2602 q_tot=+11.224 tgt=+11.220 gnorm=49.16 w_min=5.59e-09 eps=0.050 buf=80000 upd=2344 seed=5
step=  100000 ep_ret=-59.843 eval_ret=-54.114 pursuer_target_distance=5.726 capture=0.001 cap=0.005 td_loss=0.3085 q_tot=+9.922 tgt=+9.921 gnorm=52.95 w_min=5.96e-08 eps=0.050 buf=100000 upd=2969 seed=5
step=  120000 ep_ret=-58.285 eval_ret=-63.082 pursuer_target_distance=5.297 capture=0.000 cap=0.005 td_loss=0.3970 q_tot=+9.325 tgt=+9.324 gnorm=63.03 w_min=7.45e-09 eps=0.050 buf=100000 upd=3594 seed=5
step=  140000 ep_ret=-55.142 eval_ret=-37.761 pursuer_target_distance=4.773 capture=0.003 cap=0.021 td_loss=0.4216 q_tot=+8.879 tgt=+8.878 gnorm=67.64 w_min=4.28e-08 eps=0.050 buf=100000 upd=4219 seed=5
step=  160000 ep_ret=-44.023 eval_ret=-40.432 pursuer_target_distance=4.239 capture=0.001 cap=0.018 td_loss=0.4110 q_tot=+7.970 tgt=+7.969 gnorm=63.12 w_min=7.45e-09 eps=0.050 buf=100000 upd=4844 seed=5
step=  180000 ep_ret=-40.958 eval_ret=-37.884 pursuer_target_distance=4.099 capture=0.001 cap=0.016 td_loss=0.3984 q_tot=+7.087 tgt=+7.086 gnorm=61.34 w_min=1.12e-08 eps=0.050 buf=100000 upd=5469 seed=5
step=  200000 ep_ret=-49.680 eval_ret=-56.409 pursuer_target_distance=3.510 capture=0.002 cap=0.021 td_loss=0.4016 q_tot=+6.848 tgt=+6.849 gnorm=60.44 w_min=1.49e-08 eps=0.050 buf=100000 upd=6094 seed=5
step=  220000 ep_ret=-39.560 eval_ret=-55.101 pursuer_target_distance=3.331 capture=0.008 cap=0.036 td_loss=0.4525 q_tot=+6.908 tgt=+6.908 gnorm=63.25 w_min=7.08e-08 eps=0.050 buf=100000 upd=6719 seed=5
