[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 66/70: graph_zm seed6 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/graph_zm/seed6  Start: Sat Jun 27 17:21:04 EDT 2026
Sat Jun 27 17:21:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:3B:00.0 Off |                    0 |
| N/A   28C    P0             34W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=6 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-79.083 eval_ret=-136.600 pursuer_target_distance=6.139 capture=0.003 cap=0.010 td_loss=1.6413 q_tot=+10.669 tgt=+10.614 gnorm=105.02 w_min=1.96e-08 eps=0.621 buf=20000 upd=469 seed=6
step=   40000 ep_ret=-99.150 eval_ret=-91.372 pursuer_target_distance=6.988 capture=0.001 cap=0.000 td_loss=0.2966 q_tot=+10.555 tgt=+10.546 gnorm=46.06 w_min=3.73e-09 eps=0.241 buf=40000 upd=1094 seed=6
step=   60000 ep_ret=-81.657 eval_ret=-117.581 pursuer_target_distance=6.354 capture=0.002 cap=0.031 td_loss=0.4364 q_tot=+9.637 tgt=+9.632 gnorm=60.28 w_min=4.07e-10 eps=0.050 buf=60000 upd=1719 seed=6
step=   80000 ep_ret=-71.170 eval_ret=-86.424 pursuer_target_distance=6.528 capture=0.000 cap=0.000 td_loss=0.4337 q_tot=+8.199 tgt=+8.197 gnorm=64.65 w_min=7.45e-09 eps=0.050 buf=80000 upd=2344 seed=6
step=  100000 ep_ret=-70.217 eval_ret=-122.775 pursuer_target_distance=6.602 capture=0.000 cap=0.005 td_loss=0.4192 q_tot=+6.346 tgt=+6.344 gnorm=62.15 w_min=3.73e-09 eps=0.050 buf=100000 upd=2969 seed=6
step=  120000 ep_ret=-61.615 eval_ret=-83.690 pursuer_target_distance=6.214 capture=0.001 cap=0.010 td_loss=0.4326 q_tot=+5.167 tgt=+5.166 gnorm=64.61 w_min=0.00e+00 eps=0.050 buf=100000 upd=3594 seed=6
step=  140000 ep_ret=-70.022 eval_ret=-109.444 pursuer_target_distance=6.052 capture=0.000 cap=0.005 td_loss=0.3338 q_tot=+4.622 tgt=+4.619 gnorm=53.52 w_min=1.49e-08 eps=0.050 buf=100000 upd=4219 seed=6
step=  160000 ep_ret=-54.311 eval_ret=-103.949 pursuer_target_distance=5.321 capture=0.002 cap=0.013 td_loss=0.3033 q_tot=+3.581 tgt=+3.579 gnorm=53.34 w_min=2.98e-08 eps=0.050 buf=100000 upd=4844 seed=6
step=  180000 ep_ret=-58.392 eval_ret=-110.966 pursuer_target_distance=4.782 capture=0.004 cap=0.021 td_loss=0.3317 q_tot=+2.507 tgt=+2.504 gnorm=53.80 w_min=5.59e-09 eps=0.050 buf=100000 upd=5469 seed=6
step=  200000 ep_ret=-41.900 eval_ret=-76.501 pursuer_target_distance=4.777 capture=0.003 cap=0.031 td_loss=0.4400 q_tot=+2.004 tgt=+2.002 gnorm=61.57 w_min=3.54e-08 eps=0.050 buf=100000 upd=6094 seed=6
step=  220000 ep_ret=-42.838 eval_ret=-111.147 pursuer_target_distance=4.312 capture=0.001 cap=0.010 td_loss=0.5062 q_tot=+2.028 tgt=+2.026 gnorm=69.61 w_min=5.22e-08 eps=0.050 buf=100000 upd=6719 seed=6
step=  240000 ep_ret=-33.952 eval_ret=-76.229 pursuer_target_distance=3.610 capture=0.002 cap=0.022 td_loss=0.5650 q_tot=+2.287 tgt=+2.288 gnorm=72.80 w_min=6.87e-09 eps=0.050 buf=100000 upd=7344 seed=6
step=  260000 ep_ret=-44.865 eval_ret=-89.033 pursuer_target_distance=3.980 capture=0.006 cap=0.031 td_loss=0.6608 q_tot=+2.322 tgt=+2.319 gnorm=83.22 w_min=0.00e+00 eps=0.050 buf=100000 upd=7969 seed=6
step=  280000 ep_ret=-39.194 eval_ret=-51.117 pursuer_target_distance=3.615 capture=0.003 cap=0.036 td_loss=0.7448 q_tot=+2.840 tgt=+2.837 gnorm=88.17 w_min=2.10e-08 eps=0.050 buf=100000 upd=8594 seed=6
step=  300000 ep_ret=-31.665 eval_ret=-38.805 pursuer_target_distance=3.309 capture=0.003 cap=0.031 td_loss=0.6457 q_tot=+3.115 tgt=+3.113 gnorm=80.14 w_min=7.45e-09 eps=0.050 buf=100000 upd=9219 seed=6
step=  320000 ep_ret=-44.689 eval_ret=-47.874 pursuer_target_distance=3.467 capture=0.003 cap=0.022 td_loss=0.7616 q_tot=+3.134 tgt=+3.133 gnorm=90.13 w_min=0.00e+00 eps=0.050 buf=100000 upd=9844 seed=6
step=  340000 ep_ret=-36.474 eval_ret=-67.751 pursuer_target_distance=3.280 capture=0.006 cap=0.052 td_loss=0.8656 q_tot=+3.467 tgt=+3.466 gnorm=97.05 w_min=2.98e-08 eps=0.050 buf=100000 upd=10469 seed=6
step=  360000 ep_ret=-29.146 eval_ret=-42.710 pursuer_target_distance=3.368 capture=0.003 cap=0.026 td_loss=0.7861 q_tot=+3.598 tgt=+3.596 gnorm=88.42 w_min=1.58e-08 eps=0.050 buf=100000 upd=11094 seed=6
step=  380000 ep_ret=-45.037 eval_ret=-38.183 pursuer_target_distance=3.365 capture=0.000 cap=0.005 td_loss=0.7710 q_tot=+4.151 tgt=+4.149 gnorm=87.13 w_min=0.00e+00 eps=0.050 buf=100000 upd=11719 seed=6
step=  400000 ep_ret=-17.668 eval_ret=-42.325 pursuer_target_distance=3.352 capture=0.005 cap=0.031 td_loss=0.7322 q_tot=+4.200 tgt=+4.200 gnorm=83.96 w_min=5.22e-08 eps=0.050 buf=100000 upd=12344 seed=6
step=  420000 ep_ret=-14.165 eval_ret=-34.667 pursuer_target_distance=3.165 capture=0.008 cap=0.057 td_loss=0.8141 q_tot=+4.500 tgt=+4.500 gnorm=91.13 w_min=2.24e-08 eps=0.050 buf=100000 upd=12969 seed=6
step=  440000 ep_ret=-34.952 eval_ret=-35.706 pursuer_target_distance=3.482 capture=0.002 cap=0.026 td_loss=0.8665 q_tot=+5.197 tgt=+5.194 gnorm=95.76 w_min=3.54e-08 eps=0.050 buf=100000 upd=13594 seed=6
step=  460000 ep_ret=-34.500 eval_ret=-34.461 pursuer_target_distance=3.281 capture=0.003 cap=0.016 td_loss=0.8113 q_tot=+5.325 tgt=+5.327 gnorm=97.26 w_min=4.47e-08 eps=0.050 buf=100000 upd=14219 seed=6
step=  480000 ep_ret=-30.777 eval_ret=-36.649 pursuer_target_distance=3.150 capture=0.003 cap=0.022 td_loss=0.8951 q_tot=+5.450 tgt=+5.451 gnorm=100.42 w_min=5.40e-08 eps=0.050 buf=100000 upd=14844 seed=6
step=  500000 ep_ret=-29.855 eval_ret=-32.528 pursuer_target_distance=3.263 capture=0.002 cap=0.026 td_loss=0.9106 q_tot=+5.775 tgt=+5.774 gnorm=105.16 w_min=6.71e-08 eps=0.050 buf=100000 upd=15469 seed=6
step=  520000 ep_ret=-31.680 eval_ret=-38.914 pursuer_target_distance=3.135 capture=0.008 cap=0.042 td_loss=0.8796 q_tot=+5.894 tgt=+5.892 gnorm=104.59 w_min=7.45e-09 eps=0.050 buf=100000 upd=16094 seed=6
step=  540000 ep_ret=-32.884 eval_ret=-34.198 pursuer_target_distance=2.915 capture=0.002 cap=0.026 td_loss=0.8087 q_tot=+6.147 tgt=+6.147 gnorm=99.86 w_min=9.31e-09 eps=0.050 buf=100000 upd=16719 seed=6
step=  560000 ep_ret=-42.482 eval_ret=-44.755 pursuer_target_distance=3.092 capture=0.002 cap=0.027 td_loss=0.8431 q_tot=+6.648 tgt=+6.649 gnorm=102.62 w_min=3.35e-08 eps=0.050 buf=100000 upd=17344 seed=6
step=  580000 ep_ret=-32.294 eval_ret=-42.643 pursuer_target_distance=3.241 capture=0.002 cap=0.031 td_loss=0.8330 q_tot=+7.164 tgt=+7.168 gnorm=102.03 w_min=2.24e-08 eps=0.050 buf=100000 upd=17969 seed=6
step=  600000 ep_ret=-35.928 eval_ret=-33.623 pursuer_target_distance=3.048 capture=0.005 cap=0.042 td_loss=0.8227 q_tot=+7.943 tgt=+7.944 gnorm=92.73 w_min=2.24e-08 eps=0.050 buf=100000 upd=18594 seed=6
