[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 4/70: identity seed4 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/identity/seed4  Start: Sat Jun 27 16:55:04 EDT 2026
Sat Jun 27 16:55:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:D8:00.0 Off |                    0 |
| N/A   25C    P0             25W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=4 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-83.240 eval_ret=-126.264 pursuer_target_distance=6.225 capture=0.001 cap=0.005 td_loss=0.3241 q_tot=+12.502 tgt=+12.495 gnorm=47.27 w_min=0.00e+00 eps=0.621 buf=20000 upd=469 seed=4
step=   40000 ep_ret=-75.750 eval_ret=-118.158 pursuer_target_distance=6.796 capture=0.000 cap=0.000 td_loss=0.1634 q_tot=+12.706 tgt=+12.700 gnorm=32.69 w_min=3.73e-09 eps=0.241 buf=40000 upd=1094 seed=4
step=   60000 ep_ret=-101.015 eval_ret=-78.641 pursuer_target_distance=6.714 capture=0.000 cap=0.000 td_loss=0.1760 q_tot=+12.318 tgt=+12.313 gnorm=40.34 w_min=5.59e-09 eps=0.050 buf=60000 upd=1719 seed=4
step=   80000 ep_ret=-75.676 eval_ret=-92.964 pursuer_target_distance=6.558 capture=0.001 cap=0.004 td_loss=0.1915 q_tot=+10.905 tgt=+10.900 gnorm=42.81 w_min=1.07e-08 eps=0.050 buf=80000 upd=2344 seed=4
step=  100000 ep_ret=-65.121 eval_ret=-63.178 pursuer_target_distance=5.768 capture=0.002 cap=0.031 td_loss=0.2440 q_tot=+9.531 tgt=+9.526 gnorm=48.99 w_min=7.45e-09 eps=0.050 buf=100000 upd=2969 seed=4
step=  120000 ep_ret=-70.383 eval_ret=-105.625 pursuer_target_distance=5.507 capture=0.002 cap=0.010 td_loss=0.2979 q_tot=+8.207 tgt=+8.204 gnorm=55.88 w_min=1.68e-08 eps=0.050 buf=100000 upd=3594 seed=4
step=  140000 ep_ret=-52.995 eval_ret=-108.792 pursuer_target_distance=4.392 capture=0.001 cap=0.016 td_loss=0.3285 q_tot=+7.086 tgt=+7.079 gnorm=61.36 w_min=0.00e+00 eps=0.050 buf=100000 upd=4219 seed=4
step=  160000 ep_ret=-47.870 eval_ret=-64.935 pursuer_target_distance=3.682 capture=0.002 cap=0.013 td_loss=0.3571 q_tot=+6.057 tgt=+6.056 gnorm=64.30 w_min=9.31e-08 eps=0.050 buf=100000 upd=4844 seed=4
step=  180000 ep_ret=-35.305 eval_ret=-42.047 pursuer_target_distance=3.372 capture=0.004 cap=0.036 td_loss=0.4731 q_tot=+5.807 tgt=+5.807 gnorm=77.85 w_min=7.45e-09 eps=0.050 buf=100000 upd=5469 seed=4
step=  200000 ep_ret=-36.353 eval_ret=-50.232 pursuer_target_distance=3.270 capture=0.006 cap=0.026 td_loss=0.5077 q_tot=+5.672 tgt=+5.671 gnorm=83.77 w_min=5.77e-08 eps=0.050 buf=100000 upd=6094 seed=4
step=  220000 ep_ret=-28.002 eval_ret=-39.823 pursuer_target_distance=3.140 capture=0.002 cap=0.021 td_loss=0.5812 q_tot=+5.822 tgt=+5.820 gnorm=90.78 w_min=7.45e-09 eps=0.050 buf=100000 upd=6719 seed=4
