[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 6/70: identity seed6 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/identity/seed6  Start: Sat Jun 27 16:55:04 EDT 2026
Sat Jun 27 16:55:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:D8:00.0 Off |                    0 |
| N/A   26C    P0             25W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=6 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-83.306 eval_ret=-128.960 pursuer_target_distance=6.189 capture=0.004 cap=0.010 td_loss=0.4086 q_tot=+10.599 tgt=+10.586 gnorm=52.86 w_min=2.70e-08 eps=0.621 buf=20000 upd=469 seed=6
step=   40000 ep_ret=-96.010 eval_ret=-93.624 pursuer_target_distance=6.849 capture=0.002 cap=0.000 td_loss=0.2738 q_tot=+10.671 tgt=+10.664 gnorm=45.10 w_min=2.47e-08 eps=0.241 buf=40000 upd=1094 seed=6
step=   60000 ep_ret=-80.343 eval_ret=-104.898 pursuer_target_distance=6.282 capture=0.003 cap=0.016 td_loss=0.3948 q_tot=+9.974 tgt=+9.972 gnorm=61.37 w_min=2.03e-08 eps=0.050 buf=60000 upd=1719 seed=6
step=   80000 ep_ret=-77.720 eval_ret=-80.636 pursuer_target_distance=6.122 capture=0.003 cap=0.009 td_loss=0.4123 q_tot=+9.368 tgt=+9.364 gnorm=67.20 w_min=1.68e-08 eps=0.050 buf=80000 upd=2344 seed=6
step=  100000 ep_ret=-60.485 eval_ret=-83.689 pursuer_target_distance=5.973 capture=0.000 cap=0.000 td_loss=0.4888 q_tot=+7.944 tgt=+7.940 gnorm=76.45 w_min=4.66e-10 eps=0.050 buf=100000 upd=2969 seed=6
step=  120000 ep_ret=-59.941 eval_ret=-66.899 pursuer_target_distance=5.564 capture=0.001 cap=0.005 td_loss=0.5566 q_tot=+6.911 tgt=+6.911 gnorm=86.60 w_min=5.96e-08 eps=0.050 buf=100000 upd=3594 seed=6
step=  140000 ep_ret=-63.563 eval_ret=-121.286 pursuer_target_distance=5.150 capture=0.001 cap=0.005 td_loss=0.4668 q_tot=+6.748 tgt=+6.747 gnorm=81.28 w_min=3.17e-08 eps=0.050 buf=100000 upd=4219 seed=6
step=  160000 ep_ret=-42.321 eval_ret=-97.552 pursuer_target_distance=4.454 capture=0.002 cap=0.018 td_loss=0.4303 q_tot=+6.488 tgt=+6.487 gnorm=80.60 w_min=3.35e-08 eps=0.050 buf=100000 upd=4844 seed=6
step=  180000 ep_ret=-60.665 eval_ret=-53.479 pursuer_target_distance=4.261 capture=0.002 cap=0.031 td_loss=0.4900 q_tot=+6.237 tgt=+6.235 gnorm=83.29 w_min=4.47e-08 eps=0.050 buf=100000 upd=5469 seed=6
step=  200000 ep_ret=-46.409 eval_ret=-86.785 pursuer_target_distance=4.127 capture=0.005 cap=0.031 td_loss=0.5399 q_tot=+6.726 tgt=+6.722 gnorm=87.85 w_min=3.91e-08 eps=0.050 buf=100000 upd=6094 seed=6
step=  220000 ep_ret=-40.749 eval_ret=-79.578 pursuer_target_distance=3.767 capture=0.003 cap=0.026 td_loss=0.6017 q_tot=+7.077 tgt=+7.076 gnorm=96.60 w_min=9.69e-08 eps=0.050 buf=100000 upd=6719 seed=6
step=  240000 ep_ret=-37.140 eval_ret=-87.071 pursuer_target_distance=3.463 capture=0.005 cap=0.049 td_loss=0.6963 q_tot=+7.749 tgt=+7.749 gnorm=105.55 w_min=3.73e-08 eps=0.050 buf=100000 upd=7344 seed=6
step=  260000 ep_ret=-49.577 eval_ret=-51.768 pursuer_target_distance=3.684 capture=0.008 cap=0.026 td_loss=0.8483 q_tot=+9.159 tgt=+9.157 gnorm=128.21 w_min=7.45e-09 eps=0.050 buf=100000 upd=7969 seed=6
step=  280000 ep_ret=-35.115 eval_ret=-85.926 pursuer_target_distance=3.204 capture=0.002 cap=0.010 td_loss=0.9105 q_tot=+9.460 tgt=+9.458 gnorm=133.72 w_min=1.08e-07 eps=0.050 buf=100000 upd=8594 seed=6
step=  300000 ep_ret=-28.611 eval_ret=-35.355 pursuer_target_distance=2.796 capture=0.004 cap=0.021 td_loss=0.8502 q_tot=+9.318 tgt=+9.316 gnorm=125.86 w_min=7.45e-09 eps=0.050 buf=100000 upd=9219 seed=6
step=  320000 ep_ret=-40.261 eval_ret=-43.168 pursuer_target_distance=2.939 capture=0.001 cap=0.018 td_loss=0.8632 q_tot=+9.797 tgt=+9.796 gnorm=123.11 w_min=2.05e-08 eps=0.050 buf=100000 upd=9844 seed=6
step=  340000 ep_ret=-29.137 eval_ret=-77.990 pursuer_target_distance=2.853 capture=0.005 cap=0.026 td_loss=0.8345 q_tot=+9.942 tgt=+9.939 gnorm=128.95 w_min=1.49e-08 eps=0.050 buf=100000 upd=10469 seed=6
step=  360000 ep_ret=-33.122 eval_ret=-76.672 pursuer_target_distance=2.793 capture=0.003 cap=0.021 td_loss=0.8388 q_tot=+10.589 tgt=+10.590 gnorm=127.83 w_min=5.59e-08 eps=0.050 buf=100000 upd=11094 seed=6
step=  380000 ep_ret=-18.307 eval_ret=-42.110 pursuer_target_distance=2.671 capture=0.006 cap=0.036 td_loss=0.8286 q_tot=+11.566 tgt=+11.564 gnorm=132.92 w_min=2.24e-08 eps=0.050 buf=100000 upd=11719 seed=6
step=  400000 ep_ret=-24.051 eval_ret=-62.774 pursuer_target_distance=3.019 capture=0.002 cap=0.031 td_loss=0.8775 q_tot=+12.257 tgt=+12.255 gnorm=138.80 w_min=9.31e-09 eps=0.050 buf=100000 upd=12344 seed=6
step=  420000 ep_ret=-26.918 eval_ret=-84.063 pursuer_target_distance=3.060 capture=0.008 cap=0.047 td_loss=0.9383 q_tot=+12.338 tgt=+12.337 gnorm=142.59 w_min=7.45e-09 eps=0.050 buf=100000 upd=12969 seed=6
