[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 7/70: identity seed7 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/identity/seed7  Start: Sat Jun 27 16:55:04 EDT 2026
Sat Jun 27 16:55:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:3B:00.0 Off |                    0 |
| N/A   27C    P0             26W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=7 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-72.626 eval_ret=-97.927 pursuer_target_distance=6.582 capture=0.004 cap=0.010 td_loss=0.4740 q_tot=+13.256 tgt=+13.249 gnorm=63.15 w_min=1.49e-08 eps=0.621 buf=20000 upd=469 seed=7
step=   40000 ep_ret=-90.405 eval_ret=-60.187 pursuer_target_distance=6.598 capture=0.001 cap=0.005 td_loss=0.2411 q_tot=+14.093 tgt=+14.084 gnorm=46.37 w_min=7.45e-09 eps=0.241 buf=40000 upd=1094 seed=7
step=   60000 ep_ret=-86.126 eval_ret=-54.935 pursuer_target_distance=7.262 capture=0.001 cap=0.005 td_loss=0.2896 q_tot=+13.461 tgt=+13.456 gnorm=53.82 w_min=1.77e-08 eps=0.050 buf=60000 upd=1719 seed=7
step=   80000 ep_ret=-81.108 eval_ret=-59.905 pursuer_target_distance=6.615 capture=0.004 cap=0.004 td_loss=0.3715 q_tot=+12.263 tgt=+12.260 gnorm=65.33 w_min=6.52e-09 eps=0.050 buf=80000 upd=2344 seed=7
step=  100000 ep_ret=-73.162 eval_ret=-42.745 pursuer_target_distance=6.193 capture=0.000 cap=0.000 td_loss=0.3530 q_tot=+10.752 tgt=+10.748 gnorm=66.19 w_min=2.79e-08 eps=0.050 buf=100000 upd=2969 seed=7
step=  120000 ep_ret=-68.024 eval_ret=-38.585 pursuer_target_distance=6.050 capture=0.001 cap=0.021 td_loss=0.4010 q_tot=+9.465 tgt=+9.461 gnorm=72.73 w_min=3.73e-09 eps=0.050 buf=100000 upd=3594 seed=7
step=  140000 ep_ret=-55.419 eval_ret=-67.457 pursuer_target_distance=5.229 capture=0.002 cap=0.021 td_loss=0.3900 q_tot=+8.186 tgt=+8.184 gnorm=70.59 w_min=7.45e-09 eps=0.050 buf=100000 upd=4219 seed=7
step=  160000 ep_ret=-49.727 eval_ret=-22.361 pursuer_target_distance=4.586 capture=0.002 cap=0.018 td_loss=0.4408 q_tot=+7.379 tgt=+7.377 gnorm=77.36 w_min=4.10e-08 eps=0.050 buf=100000 upd=4844 seed=7
step=  180000 ep_ret=-34.708 eval_ret=-22.396 pursuer_target_distance=4.021 capture=0.003 cap=0.036 td_loss=0.4800 q_tot=+7.437 tgt=+7.436 gnorm=84.08 w_min=2.98e-08 eps=0.050 buf=100000 upd=5469 seed=7
step=  200000 ep_ret=-53.637 eval_ret=-24.562 pursuer_target_distance=4.302 capture=0.004 cap=0.031 td_loss=0.5557 q_tot=+7.762 tgt=+7.759 gnorm=91.47 w_min=4.47e-08 eps=0.050 buf=100000 upd=6094 seed=7
step=  220000 ep_ret=-39.859 eval_ret=-23.517 pursuer_target_distance=3.821 capture=0.003 cap=0.026 td_loss=0.6234 q_tot=+7.998 tgt=+7.995 gnorm=102.73 w_min=2.24e-08 eps=0.050 buf=100000 upd=6719 seed=7
step=  240000 ep_ret=-61.215 eval_ret=-30.051 pursuer_target_distance=3.417 capture=0.006 cap=0.031 td_loss=0.7333 q_tot=+9.097 tgt=+9.097 gnorm=111.16 w_min=3.73e-09 eps=0.050 buf=100000 upd=7344 seed=7
step=  260000 ep_ret=-41.015 eval_ret=-22.069 pursuer_target_distance=3.544 capture=0.002 cap=0.026 td_loss=0.7516 q_tot=+10.029 tgt=+10.030 gnorm=123.83 w_min=3.35e-08 eps=0.050 buf=100000 upd=7969 seed=7
step=  280000 ep_ret=-42.294 eval_ret=-26.730 pursuer_target_distance=3.156 capture=0.003 cap=0.021 td_loss=0.7938 q_tot=+10.165 tgt=+10.162 gnorm=131.41 w_min=1.86e-08 eps=0.050 buf=100000 upd=8594 seed=7
step=  300000 ep_ret=-36.961 eval_ret=-21.540 pursuer_target_distance=3.065 capture=0.005 cap=0.010 td_loss=0.7990 q_tot=+10.253 tgt=+10.250 gnorm=132.09 w_min=1.72e-08 eps=0.050 buf=100000 upd=9219 seed=7
step=  320000 ep_ret=-34.427 eval_ret=-22.242 pursuer_target_distance=3.038 capture=0.002 cap=0.031 td_loss=0.8601 q_tot=+11.893 tgt=+11.887 gnorm=143.99 w_min=1.86e-08 eps=0.050 buf=100000 upd=9844 seed=7
step=  340000 ep_ret=-40.277 eval_ret=-30.166 pursuer_target_distance=3.440 capture=0.003 cap=0.031 td_loss=0.8430 q_tot=+12.435 tgt=+12.435 gnorm=144.67 w_min=6.52e-09 eps=0.050 buf=100000 upd=10469 seed=7
